N	2gram	Nazirov_Tr_1	DiskursI
1	не только	8	28
2	в том	2	23
3	а не	1	22
4	то есть	3	20
5	тогда как	1	19
6	том что	4	19
7	представляет собой	1	17
8	может быть	7	17
9	как и	5	16
10	и в	18	16
11	в этом	9	15
12	еще не	4	14
13	но и	4	14
14	при этом	3	13
15	по своей	1	11
16	но не	1	11
17	прежде всего	4	11
18	и не	7	11
19	как в	3	10
20	в нем	4	9
21	не может	5	9
22	с одной	1	9
23	в частности	2	9
24	отнюдь не	3	8
25	но в	6	8
26	своего рода	3	8
27	о том	2	8
28	так и	5	8
29	а также	1	8
30	не было	1	7
31	в себе	4	7
32	то же	5	7
33	не в	2	7
34	роль в	1	7
35	в его	3	7
36	только в	1	7
37	в своем	3	6
38	и как	3	6
39	и на	7	5
40	во всех	1	5
41	отличие от	2	5
42	природе своей	1	5
43	в котором	1	5
44	в отличие	2	5
45	по природе	1	5
46	в эпоху	1	5
47	в данном	2	5
48	как бы	7	5
49	к тому	2	5
50	то что	4	5
51	в своей	1	5
52	и о	1	4
53	с его	2	4
54	отношение к	2	4
55	в истории	1	4
56	уже не	2	4
57	в целом	4	4
58	не как	1	4
59	лишь в	1	4
60	в них	1	4
61	потому что	2	4
62	могут быть	1	4
63	и т.д	1	4
64	же время	6	4
65	между тем	1	4
66	что он	6	4
67	для него	3	4
68	в особенности	1	4
69	что не	1	4
70	связи с	1	4
71	не является	1	4
72	что в	4	4
73	и потому	1	3
74	в первом	2	3
75	столь же	2	3
76	перед нами	2	3
77	в самом	2	3
78	заключается в	1	3
79	это не	5	3
80	ведет к	1	3
81	в ходе	2	3
82	по себе	1	3
83	в то	5	3
84	таким образом	1	3
85	но при	2	3
86	в ее	2	3
87	еще в	2	3
88	и даже	4	3
89	по слову	1	3
90	что и	2	3
91	не сводится	1	3
92	хотя бы	1	3
93	к ним	1	3
94	тем что	2	3
95	именно в	1	3
96	того что	1	3
97	один из	3	3
98	все же	5	3
99	мог быть	1	3
100	это понятие	1	3
101	одним из	1	2
102	например в	1	2
103	и есть	1	2
104	он всегда	4	2
105	в году	9	2
106	на себя	1	2
107	ему в	1	2
108	в виду	1	2
109	между собой	1	2
110	но как	1	2
111	за пределы	1	2
112	писателя в	1	2
113	опирается на	1	2
114	в этой	4	2
115	так сказать	1	2
116	по словам	2	2
117	и по	1	2
118	на этом	1	2
119	об этом	4	2
120	к области	2	2
121	наших дней	1	2
122	не менее	1	2
123	но они	2	2
124	что с	3	2
125	вольно или	1	2
126	х годов	1	2
127	и его	6	2
128	в момент	1	2
129	к себе	1	2
130	не есть	1	2
131	и он	3	2
132	самом общем	1	2
133	как мы	1	2
134	с ее	3	2
135	данном случае	2	2
136	литературе это	1	2
137	в другом	1	2
138	было в	2	2
139	с литературными	1	2
140	а по	1	2
141	иисуса христа	1	2
142	о нем	1	2
143	во всяком	1	2
144	и что	4	2
145	времени в	2	2
146	это было	1	2
147	в форме	1	2
148	в литературе	1	2
149	дело с	1	2
150	и ее	2	2
151	есть в	1	2
152	уже в	3	2
153	свидетельствует о	1	2
154	слова в	1	2
155	в одном	2	2
156	как его	1	2
157	никогда не	2	2
158	никого не	1	2
159	чем он	2	2
160	и др	1	2
161	героя и	1	2
162	в рассказе	2	2
163	его как	1	2
164	одну из	1	2
165	о чем	3	2
166	более чем	1	2
167	для понимания	1	2
168	жизни в	1	2
169	известной степени	1	2
170	и все	4	2
171	указывает на	1	2
172	что даже	1	2
173	это в	1	2
174	чтобы не	1	1
175	сам по	1	1
176	и то	2	1
177	необходимо отметить	1	1
178	самом деле	1	1
179	это и	1	1
180	значение однако	1	1
181	и до	2	1
182	и за	2	1
183	той же	1	1
184	в и	1	1
185	человеком и	1	1
186	собой как	1	1
187	из своих	2	1
188	ивана петровича	6	1
189	в становлении	1	1
190	я не	4	1
191	но уже	1	1
192	событий и	1	1
193	как свой	1	1
194	в xix	1	1
195	на них	1	1
196	он сам	7	1
197	ее к	2	1
198	могло быть	1	1
199	в противовес	1	1
200	этот тон	1	1
201	тут же	2	1
202	как говорит	2	1
203	о жизни	2	1
204	я к	2	1
205	к числу	1	1
206	отнесены к	1	1
207	со своей	1	1
208	в которой	1	1
209	бы и	2	1
210	что это	5	1
211	не был	2	1
212	он в	1	1
213	право на	1	1
214	говорит не	1	1
215	жизнь как	1	1
216	человек не	1	1
217	что она	2	1
218	он не	2	1
219	для разработки	1	1
220	которым человек	1	1
221	он вдруг	5	1
222	чем у	1	1
223	к одному	1	1
224	не к	1	1
225	содержит в	1	1
226	на земле	1	1
227	дистанции между	1	1
228	но все	2	1
229	не за	2	1
230	распространяется на	1	1
231	в мире	3	1
232	на все	1	1
233	приходит в	1	1
234	наличием в	1	1
235	с этой	1	1
236	с тем	2	1
237	со своими	1	1
238	которой он	1	1
239	и вне	1	1
240	не мог	2	1
241	и при	1	1
242	а как	2	1
243	если можно	1	1
244	не столько	1	1
245	должны были	1	1
246	вплоть до	1	1
247	в россии	1	1
248	тем не	1	1
249	не могли	1	1
250	вместе со	2	1
251	раз и	2	1
252	до конца	2	1
253	романа на	1	1
254	тем самым	3	1
255	даже не	1	1
256	и художественной	1	1
257	самого начала	1	1
258	не имеет	2	1
259	и притом	1	1
260	но только	1	1
261	в отношениях	1	1
262	не вполне	1	1
263	во всем	1	1
264	xix веке	2	1
265	и теперь	1	1
266	входят в	1	1
267	как будто	3	1
268	что на	1	1
269	перед ним	1	1
270	не могут	2	1
271	встречается в	1	1
272	и должно	1	1
273	уже было	1	1
274	он стал	1	1
275	его с	1	1
276	как некое	1	1
277	и это	2	1
278	за самим	1	1
279	эффект как	1	1
280	и от	1	1
281	мысль о	1	1
282	с самого	1	1
283	и сам	3	1
284	а тип	1	1
285	мог бы	3	1
286	действия не	1	1
287	развития в	1	1
288	быть в	1	1
289	теперь и	2	1
290	к нему	3	1
291	теперь уже	1	1
292	отметить что	1	1
293	романа в	1	1
294	при самом	1	1
295	сюжетом но	1	1
296	согласиться с	1	1
297	с ними	1	1
298	этом состоит	1	1
299	по мнению	2	1
300	от самых	1	1
301	которое уже	1	1
302	я в	1	1
303	только на	1	1
304	то и	2	1
305	в виде	2	1
306	которых можно	1	1
307	за счет	1	1
308	но от	1	1
309	и их	1	1
310	всяком случае	1	1
311	в известной	2	1
312	и один	1	1
313	в конце	3	1
