N	3gram	Propp_Morf_1	Myslijsy
1	в том что	3	16
2	и то же	1	5
3	по отношению к	4	5
4	одно и то	1	5
5	с другой стороны	4	4
6	в то время	3	4
7	далеко не все	3	3
8	более или менее	2	3
9	до сих пор	1	3
10	с одной стороны	1	3
11	и т д	39	3
12	тем не менее	4	3
13	для того чтобы	2	3
14	не может быть	9	3
15	что и в	1	3
16	дает нам возможность	1	2
17	и может быть	1	2
18	подобно тому как	5	2
19	том что он	1	2
20	мы должны будем	1	2
21	в таком случае	1	2
22	в этом отношении	1	2
23	в собственном смысле	3	2
24	мысль о необходимости	1	2
25	в первом случае	3	2
26	не могут быть	2	2
27	между собою так	1	2
28	мы не можем	1	2
29	как и в	2	2
30	можно сказать что	1	2
31	к тому что	3	2
32	по своему строению	1	1
33	таким образом что	1	1
34	мы видим не	1	1
35	и вне связи	2	1
36	в сказке о	1	1
37	которые не могут	1	1
38	следует заметить что	2	1
39	в чем же	1	1
40	противном случае он	1	1
41	потому что в	1	1
42	в глаза что	1	1
43	с большим количеством	1	1
44	на самом деле	4	1
45	при таких условиях	1	1
46	с этим в	1	1
47	имеет смысла но	1	1
48	и там где	1	1
49	например в сказке	1	1
50	это дает нам	1	1
51	и в других	1	1
52	в противном случае	1	1
53	может быть сравниваемо	1	1
54	не менее она	2	1
55	в том случае	1	1
56	ясно что и	1	1
57	можно заметить что	2	1
58	то время как	3	1
59	в таких случаях	2	1
60	в этой работе	1	1
61	к соединению с	1	1
62	в данном случае	1	1
63	если мы не	3	1
64	соединению с другими	1	1
65	между тем в	1	1
66	может быть названо	3	1
67	один из его	1	1
68	не останавливаясь на	1	1
69	что это и	1	1
70	крайняя бедность и	1	1
71	самом деле в	1	1
72	бросается в глаза	1	1
73	и таким образом	2	1
74	это было бы	1	1
75	но оно имеет	1	1
76	один пример в	1	1
77	или нет это	1	1
78	далеко не всегда	1	1
79	это и не	2	1
80	такое же развитие	1	1
81	на свое место	1	1
82	на одном месте	1	1
83	о том что	1	1
84	тем и другим	2	1
85	это значит что	1	1
86	на то что	2	1
87	заметить что в	1	1
88	после того как	1	1
89	бы только один	1	1
90	из них не	1	1
91	может быть объяснено	1	1
92	друг с другом	1	1
93	или вовсе не	1	1
94	и вслед за	1	1
95	здесь как и	1	1
96	на первый взгляд	3	1
97	не имеет смысла	1	1
98	могло бы быть	1	1
99	и многие другие	1	1
100	вне связи с	2	1
