N	3gram	Nazirov_Tv_1	VerxiiNi
1	вместе с тем	1	8
2	с одной стороны	1	7
3	до сих пор	1	5
4	по крайней мере	2	5
5	о том что	5	4
6	к тому же	1	4
7	точно так же	2	3
8	в конце концов	1	3
9	в связи с	1	3
10	тем не менее	2	3
11	в том что	6	3
12	говорили о том	1	2
13	то же самое	1	2
14	те и другие	1	2
15	но все это	1	2
16	друг на друга	1	2
17	заключает в себе	1	2
18	не только для	1	2
19	некоторые из них	1	2
20	то ни было	1	2
21	бы то ни	1	2
22	так и от	1	2
23	волю к жизни	1	2
24	то же время	12	2
25	с самого начала	3	2
26	можно сказать что	2	2
27	в то же	13	2
28	и те и	1	2
29	и того же	1	1
30	и все же	3	1
31	не может не	1	1
32	в прямом смысле	1	1
33	это не означает	2	1
34	чуть ли не	1	1
35	по отношению к	1	1
36	имеем в виду	1	1
37	в настоящее время	1	1
38	одного и того	1	1
39	в соответствии с	3	1
40	же время он	2	1
41	и в то	2	1
42	сами по себе	1	1
43	в первую очередь	1	1
44	можно только в	1	1
45	а вместе с	1	1
46	к мысли о	1	1
47	между человеком и	1	1
48	таким образом уже	1	1
49	в этой области	1	1
50	в данном случае	2	1
51	но в то	4	1
52	и мир его	1	1
53	но при этом	1	1
54	в отличие от	1	1
55	все более и	1	1
56	мы уже говорили	1	1
57	в разные стороны	1	1
58	с другой стороны	1	1
59	только то что	1	1
60	у него в	1	1
61	в свою очередь	1	1
62	и превращается в	1	1
63	более и более	1	1
64	добра и зла	2	1
65	мы имеем в	1	1
66	то есть о	1	1
