N	3gram	Potebnia_M_2	slovoVRo
1	и т п	3	23
2	то же время	2	12
3	в то же	2	12
4	в большинстве случаев	1	6
5	во всяком случае	7	5
6	и т д	3	5
7	с одной стороны	3	4
8	с другой стороны	2	4
9	большей или меньшей	1	4
10	в нем в	1	3
11	в большей или	1	3
12	более или менее	8	3
13	таким образом в	2	3
14	по всей вероятности	1	3
15	так и в	2	3
16	а между тем	4	2
17	в этом случае	1	2
18	до сих пор	4	2
19	и во всех	2	2
20	и не может	1	2
21	и др и	1	2
22	может быть только	1	2
23	одно и то	2	2
24	то время как	3	2
25	в то время	4	2
26	и то же	2	2
27	к языку и	1	2
28	и в этом	1	2
29	не могут быть	3	2
30	в свою очередь	6	2
31	как бы ни	3	2
32	не только на	1	2
33	и связанное с	1	1
34	заключает его в	1	1
35	было бы невозможно	5	1
36	одной и той	1	1
37	не только по	2	1
38	то есть не	3	1
39	дело в том	1	1
40	бы ни был	1	1
41	и той же	1	1
42	это было бы	1	1
43	с одним из	1	1
44	но это не	1	1
45	в нем самом	1	1
46	но и по	1	1
47	то есть к	1	1
48	и не в	1	1
49	в отличие от	1	1
50	бы то ни	1	1
51	на предметы и	1	1
52	не дает им	1	1
53	занимает в нем	1	1
54	т д можно	1	1
55	со всех сторон	1	1
56	с этой точки	1	1
57	по крайней мере	5	1
58	может быть не	3	1
59	каждый из этих	1	1
60	то ни было	1	1
61	мы не знаем	1	1
62	что для нас	1	1
63	вовсе не может	2	1
64	только в одном	1	1
65	оба эти условия	1	1
66	во всех этих	1	1
67	в его сознании	1	1
68	языке и на	1	1
69	могла бы быть	1	1
70	о которых мы	1	1
71	не может быть	2	1
72	предмет на который	1	1
73	не все слова	1	1
74	тем не менее	5	1
75	что они не	1	1
76	о том что	1	1
77	так что мы	2	1
78	но с другой	1	1
79	в одном из	1	1
80	то есть в	1	1
81	с самого начала	2	1
82	у нас в	1	1
83	но во всяком	3	1
84	др и они	1	1
85	не может находиться	1	1
86	для того чтобы	2	1
87	в том что	7	1
88	том же языке	1	1
89	как и в	1	1
