N	2gram	Potebnia_M_4	FransuaR
1	и в	23	41
2	то есть	34	24
3	мы уже	3	18
4	во всех	1	17
5	таким образом	24	17
6	в нем	7	16
7	и с	4	16
8	тела и	2	15
9	и его	2	13
10	но и	11	13
11	в этом	23	12
12	как мы	2	12
13	все эти	3	11
14	все это	5	11
15	в самом	3	10
16	не только	10	10
17	так как	14	10
18	и др	2	10
19	прежде всего	1	10
20	то что	29	10
21	и на	3	9
22	кроме того	3	9
23	во время	2	9
24	границы между	1	9
25	о том	8	9
26	здесь в	1	9
27	и все	4	9
28	в сущности	2	8
29	но в	8	8
30	в этой	1	8
31	никогда не	3	8
32	и до	3	7
33	в них	3	7
34	как и	14	7
35	том что	12	7
36	в его	5	7
37	вовсе не	7	7
38	у него	1	7
39	как бы	5	7
40	этот образ	2	7
41	что в	17	7
42	например в	3	6
43	в то	4	6
44	в образе	2	6
45	один из	2	6
46	тела но	1	6
47	мы видим	2	6
48	вместе с	6	6
49	в следующей	1	6
50	или в	1	6
51	сказать что	8	6
52	что он	4	6
53	в ее	2	5
54	в своем	8	5
55	что это	7	5
56	в себе	14	5
57	человеческого тела	1	5
58	то же	14	5
59	той же	3	5
60	рядом с	1	5
61	но он	1	5
62	во всем	1	5
63	тем что	10	5
64	все то	1	5
65	так и	6	5
66	и что	7	5
67	а также	1	5
68	же время	3	5
69	из них	1	5
70	в одном	4	5
71	большинстве случаев	2	5
72	там где	3	5
73	между собою	4	5
74	так же	4	5
75	в той	4	5
76	одним из	1	4
77	того же	1	4
78	самом деле	3	4
79	в ней	2	4
80	меньшей степени	1	4
81	как в	7	4
82	и как	2	4
83	та же	1	4
84	в другом	1	4
85	не в	11	4
86	даже в	2	4
87	но они	1	4
88	того чтобы	4	4
89	все же	1	4
90	у нас	2	4
91	роль в	1	4
92	и вообще	2	4
93	с ним	5	4
94	тот же	2	4
95	с одной	1	4
96	именно на	2	4
97	уже в	5	4
98	в большинстве	2	4
99	в котором	4	4
100	и даже	2	4
101	с другой	2	4
102	именно в	3	4
103	одной стороны	1	4
104	о котором	1	4
105	а в	5	4
106	не может	11	4
107	из этого	2	4
108	все что	2	4
109	как во	1	3
110	он сам	1	3
111	в чем	1	3
112	как у	1	3
113	с этим	7	3
114	перед нами	1	3
115	в первом	3	3
