N	4gram	Medvedev_F_3	VeschiIm
1	бы то ни было	4	9
2	в то же время	7	4
3	и в то же	2	3
4	дело в том что	1	2
5	с этой точки зрения	1	2
6	какого бы то ни	1	2
7	т е в конце	1	1
8	и тем не менее	1	1
9	одного и того же	1	1
10	чего бы то ни	1	1
11	какой бы то ни	1	1
12	и т д таким	1	1
13	потому в нем нет	1	1
14	между а и в	2	1
15	у нас все же	1	1
16	т д таким образом	1	1
17	каких бы то ни	1	1
18	в том что это	1	1
19	о которых идет речь	1	1
20	только один из моментов	1	1
21	с тем же правом	3	1
22	не может быть никакого	1	1
