N	3gram	Tiupa_Narr_2	Freidism
1	с точки зрения	2	11
2	по отношению к	5	8
3	во всяком случае	1	7
4	не может быть	2	7
5	в самом деле	1	6
6	в большинстве случаев	1	5
7	в то же	3	4
8	можно сказать что	3	4
9	на самом деле	2	4
10	то же время	3	4
11	в зависимости от	1	4
12	в данном случае	6	4
13	в таком случае	1	3
14	для того чтобы	1	3
15	в конечном счете	3	3
16	на этот вопрос	1	3
17	с одной стороны	5	2
18	до сих пор	1	2
19	а с другой	1	2
20	и не может	2	2
21	так и в	1	2
22	внутреннюю и внешнюю	1	2
23	в отличие от	5	2
24	все то что	2	2
25	в чем не	1	2
26	в этом отношении	3	2
27	то же самое	1	2
28	это прежде всего	1	2
29	ни в чем	1	2
30	тем не менее	4	2
31	о том что	4	1
32	в другом человеке	1	1
33	социальной ситуации в	1	1
34	но при этом	3	1
35	по сравнению с	1	1
36	можно не только	1	1
37	что с точки	1	1
38	каждого из этих	1	1
39	или хотя бы	1	1
40	о которой он	1	1
41	а также и	1	1
42	однако и здесь	1	1
43	не только не	2	1
44	для него уже	1	1
45	ведь есть же	1	1
46	в этом смысле	1	1
47	что все эти	1	1
48	обратим внимание на	1	1
49	в том что	8	1
50	ответ на этот	1	1
51	со всеми уже	1	1
52	в нашем сознании	1	1
53	можно ли признать	1	1
54	в то время	1	1
55	но и не	1	1
56	как раз и	1	1
57	к себе самому	3	1
58	далеко не всегда	1	1
59	и все его	1	1
60	точки зрения настоящего	1	1
61	той или иной	3	1
62	физическое так и	1	1
63	находится за пределами	1	1
64	все что находится	1	1
65	в основе своей	1	1
66	следует заметить что	1	1
67	что с ним	1	1
68	по аналогии с	1	1
69	не найдя для	1	1
70	том что с	1	1
71	а во время	1	1
72	данном случае в	1	1
73	относится и к	1	1
74	все что можно	1	1
75	то что он	1	1
76	и все же	2	1
77	да и не	1	1
78	с ним было	1	1
79	в слове и	1	1
80	что можно сказать	1	1
81	не в его	1	1
82	на первый взгляд	1	1
83	и потому не	1	1
