N	3gram	Tiupa_Narr_2	Russkaja
1	то же время	3	10
2	в то же	3	10
3	с точки зрения	2	9
4	в том что	8	7
5	на самом деле	2	6
6	во всяком случае	1	6
7	для того чтобы	1	6
8	а между тем	1	5
9	до сих пор	1	5
10	более или менее	1	4
11	быть самим собой	1	4
12	не может быть	2	4
13	не может не	1	3
14	можно было бы	1	3
15	и не может	2	3
16	в данном случае	6	3
17	той или иной	3	3
18	точно так же	2	2
19	которой он сам	1	2
20	в противоречие с	1	2
21	самим собой это	1	2
22	не только к	1	2
23	в этом направлении	1	2
24	того или иного	3	2
25	о том что	4	2
26	и тем самым	2	2
27	в большинстве случаев	1	2
28	к тому что	3	2
29	но и к	1	2
30	и в другом	1	2
31	и того же	1	1
32	в том виде	1	1
33	самим собой в	1	1
34	или хотя бы	1	1
35	и в жизни	1	1
36	состоит в том	4	1
37	прежде всего на	1	1
38	как бы не	1	1
39	по отношению к	5	1
40	стороны и в	1	1
41	одной из этих	1	1
42	в самом деле	1	1
43	уже не на	1	1
44	то же самое	1	1
45	является не только	1	1
46	оставаться самим собой	1	1
47	видеть в этой	1	1
48	и оставаться самим	1	1
49	что с точки	1	1
50	что он может	1	1
51	и в других	1	1
52	не может иметь	1	1
53	не могло бы	1	1
54	в этом отношении	3	1
55	ни у кого	1	1
56	на этот вопрос	1	1
57	в противном случае	1	1
58	к себе и	2	1
59	и что в	1	1
60	и с точки	1	1
61	но при этом	3	1
62	в связи с	1	1
63	ее в качестве	1	1
64	тем что они	1	1
65	ничего подобного не	1	1
66	в полной мере	1	1
67	так же как	2	1
68	об этом и	1	1
69	а в том	2	1
70	и все же	2	1
71	того и другого	1	1
72	одного и того	1	1
73	тем более что	1	1
74	тем не менее	4	1
75	к той или	1	1
76	на первый взгляд	1	1
77	а лишь к	1	1
78	к тому же	4	1
