N	3gram	Berdyaev_N_1	Poddanst
1	не только в	1	4
2	в том что	1	4
3	сами по себе	1	3
4	с одной стороны	2	3
5	нужно помнить что	1	2
6	в том числе	1	2
7	но и в	1	2
8	заключает в себе	1	2
9	что в этом	1	1
10	в этом смысле	2	1
11	есть прежде всего	1	1
12	философской мысли но	1	1
13	и не может	1	1
14	в эту эпоху	1	1
15	в жизни народа	1	1
16	в отличие от	1	1
17	в россии и	1	1
18	вместе с тем	2	1
19	и пр в	1	1
20	коммунистической партии в	1	1
21	или иная форма	1	1
22	так же как	2	1
23	не в том	1	1
24	в извращенной форме	1	1
25	во всяком случае	1	1
26	с другой стороны	2	1
27	не может быть	4	1
28	и в формах	1	1
29	та или иная	1	1
30	в последние годы	1	1
31	россию от европы	1	1
32	в большинстве случаев	1	1
33	и не менее	1	1
34	в известном смысле	1	1
35	том числе и	1	1
