N	2gram	Nazirov_Tv_2	Otkroven
1	о человеке	2	29
2	у него	6	22
3	и в	20	19
4	у достоевского	30	19
5	но и	8	13
6	и не	9	13
7	в этом	8	12
8	из подполья	6	11
9	человека в	3	11
10	не в	4	11
11	не только	13	11
12	может быть	8	11
13	а не	6	11
14	человека и	3	10
15	в нем	3	10
16	прежде всего	8	9
17	не было	2	9
18	никогда не	11	9
19	потому что	7	9
20	он был	1	8
21	и он	2	8
22	ивана карамазова	8	7
23	он всегда	2	7
24	в его	10	7
25	он не	3	7
26	в глубине	1	7
27	лишь в	1	7
28	нет ничего	3	7
29	но он	1	7
30	от него	1	7
31	великом инквизиторе	3	6
32	человеческой души	1	6
33	человеческой личности	2	6
34	о великом	3	6
35	как и	6	6
36	все это	6	6
37	достоевский раскрывает	1	5
38	отношение к	1	5
39	в том	8	5
40	в самом	3	5
41	в этой	5	5
42	для него	3	5
43	в россии	2	5
44	достоевского и	2	5
45	в творчестве	5	5
46	него в	2	5
47	для достоевского	2	5
48	а в	4	5
49	то что	3	5
50	записок из	1	5
51	достоевского есть	1	4
52	он сам	3	4
53	в преступлении	10	4
54	с его	1	4
55	достоевского не	8	4
56	все эти	4	4
57	герои достоевского	4	4
58	на земле	1	4
59	в самую	1	4
60	что не	3	4
61	в идиоте	1	4
62	не может	7	4
63	в романах	13	4
64	достоевский не	5	4
65	человек и	1	4
66	и его	9	4
67	что в	7	4
68	нем нет	1	3
69	и есть	2	3
70	в бесах	6	3
71	достоевского в	9	3
72	быть может	3	3
73	о том	5	3
74	еще не	5	3
75	самого достоевского	2	3
76	во имя	1	3
77	преступлении и	11	3
78	человек был	1	3
79	было бы	1	3
80	когда он	4	3
81	что он	6	3
82	и ее	2	3
83	в себе	3	3
84	записках из	3	3
85	в записках	3	3
86	и вот	1	3
87	не могут	1	3
88	это не	7	3
89	достоевский был	1	3
90	мысли и	1	3
91	могут быть	2	3
92	как бы	11	3
93	записки из	2	3
94	романах достоевского	13	3
95	с ним	3	3
96	в русской	2	3
97	и от	4	3
98	в этих	1	3
99	более всего	2	3
100	в своих	3	3
101	и наказании	10	3
102	и с	8	2
103	из всего	1	2
104	в ее	2	2
105	достоевского к	2	2
106	мысль о	1	2
107	человека достоевский	1	2
108	на западе	3	2
109	что у	4	2
110	умирает в	1	2
111	так и	6	2
112	его героев	1	2
113	и о	1	2
114	по себе	1	2
115	и на	5	2
116	не все	1	2
117	что и	1	2
118	что они	4	2
119	достоевский великий	1	2
120	в истории	2	2
121	и нет	1	2
122	все же	5	2
