N	3gram	Voloshinov_1	formyVre
1	то же время	1	9
2	человека и его	1	7
3	в то же	1	6
4	в связи с	1	5
5	для того чтобы	1	5
6	вполне понятно что	3	4
7	по отношению к	3	3
8	в этом отношении	1	3
9	одно и то	3	3
10	не может быть	4	3
11	и то же	2	3
12	само собой разумеется	1	2
13	равно как и	1	2
14	с точки зрения	5	2
15	в отличие от	1	2
16	так же как	1	2
17	с одной стороны	2	2
18	может быть и	1	2
19	все то что	1	2
20	а также и	1	2
21	собой разумеется что	1	2
22	с самого начала	2	2
23	в том что	2	2
24	как и в	1	2
25	в другом месте	1	1
26	в своих руках	1	1
27	в одном ряду	1	1
28	том что в	1	1
29	а вовсе не	1	1
30	в виду что	1	1
31	прежде всего в	1	1
32	мы можем поставить	2	1
33	в самом деле	2	1
34	не физическое тело	1	1
35	одно из проявлений	1	1
36	тех случаях когда	1	1
37	в зависимости от	2	1
38	не входит в	1	1
39	в значительной мере	1	1
40	вместе с ними	1	1
41	включает в себя	1	1
42	важное значение имеет	1	1
43	можем поставить вопрос	2	1
44	в тех случаях	1	1
45	мы не касаемся	1	1
46	в особенности в	1	1
47	в данном случае	2	1
48	но в то	1	1
49	не касаемся здесь	1	1
50	первое и последнее	1	1
51	и как бы	1	1
52	в этот момент	1	1
53	в разных местах	1	1
54	автора и его	1	1
55	мы уже видели	1	1
56	вступает в свои	1	1
57	в свои права	1	1
58	смысле слова и	1	1
59	узком смысле слова	1	1
60	быть и речи	1	1
61	та или иная	1	1
62	уже видели как	1	1
63	не только на	1	1
64	то что имеет	1	1
65	в последнем счете	1	1
