1	и в	15	29
2	том что	7	27
3	в том	6	27
4	в этом	11	21
5	что в	12	19
6	но и	14	19
7	не только	18	19
8	о том	3	17
9	что он	24	13
10	в его	6	13
11	между прочим	3	12
12	в которой	2	11
13	все это	3	11
14	то что	12	11
15	к тому	5	10
16	таким образом	7	10
17	т е	29	10
18	он не	8	9
19	потому что	9	9
20	и т	19	9
21	так и	5	9
22	и не	11	9
23	но в	6	8
24	и пр	7	8
25	с тем	9	7
26	так например	1	7
27	того как	4	7
28	в котором	5	7
29	я не	2	7
30	вместе с	7	7
31	не столько	2	7
32	в своей	1	7
33	в ней	4	7
34	но все	5	7
35	в виду	2	7
36	в самом	1	7
37	и его	3	6
38	того чтобы	2	6
39	вопрос о	4	6
40	вовсе не	1	6
41	в одном	5	6
42	об этом	11	6
43	и что	6	6
44	до сих	6	6
45	т д	18	6
46	и на	4	6
47	все же	9	6
48	в течение	1	6
49	было бы	5	5
50	как бы	6	5
51	в качестве	3	5
52	в русской	5	5
53	в той	1	5
54	прежде всего	5	5
55	того что	3	5
56	сих пор	7	5
57	а не	5	5
58	о чем	1	5
59	своего рода	1	5
60	еще до	2	4
61	а как	1	4
62	в частности	1	4
63	не в	7	4
64	но с	2	4
65	к этому	1	4
66	в другом	9	4
67	еще более	1	4
68	должен был	3	4
69	с другой	2	4
70	что у	2	4
71	ничего не	7	4
72	до того	1	4
73	именно в	2	4
74	и о	1	4
75	кроме того	2	4
76	и к	1	4
77	после того	3	4
78	связи с	8	4
79	в нем	7	4
80	при помощи	2	4
81	и с	4	4
82	раньше чем	3	4
83	так же	13	3
84	в их	3	3
85	что эта	2	3
86	а с	2	3
87	тому же	2	3
88	так что	6	3
89	за свою	1	3
90	на себя	1	3
91	что это	6	3
92	и здесь	9	3
93	например в	2	3
94	иметь в	2	3
95	из них	2	3
96	но это	4	3
97	по его	1	3
98	за то	1	3
99	и именно	2	3
100	ни в	2	3
101	никогда не	15	3
102	у меня	1	3
103	что на	1	3
104	в обоих	1	3
105	из нее	1	3
106	связан с	5	3
107	но не	2	3
108	его не	2	3
109	самого начала	2	3
110	и он	1	3
111	с этим	5	3
112	материал для	1	3
113	интересно что	2	3
114	самом деле	2	3
115	xix века	1	3
116	тем что	4	3
117	одной из	4	3
118	могло быть	1	3
119	на самом	2	3
120	но он	4	3
121	действующие лица	2	3
122	на нее	2	3
123	не то	1	3
124	же как	5	3
125	как в	5	3
126	до конца	1	3
127	не менее	1	3
128	не было	2	3
129	не мог	3	3
130	должно было	3	3
131	с самого	2	3
132	и по	2	3
133	у нас	1	3
134	на вопрос	2	3
135	хотя бы	2	3
136	другой стороны	2	3
137	в этих	11	3
138	по себе	1	3
139	в эту	2	3
140	несмотря на	1	2
141	на его	2	2
142	к своему	1	2
143	отрывок из	1	2
144	говорит об	1	2
145	в тех	2	2
146	все эти	4	2
147	отметить что	1	2
148	с характером	1	2
149	только по	1	2
150	то же	10	2
151	при этом	4	2
152	тогда как	1	2
153	как это	3	2
154	в истории	1	2
155	они не	4	2
156	говорят что	5	2
157	сказать что	2	2
158	достаточно для	1	2
159	в одной	4	2
160	на это	1	2
161	тем не	1	2
162	от его	1	2
163	в особенности	2	2
164	в этой	4	2
165	и др	4	2
166	по своему	1	2
167	нигде не	2	2
168	и другие	4	2
169	но они	4	2
170	что за	1	2
171	тому времени	1	2
172	даже в	1	2
173	с его	1	2
174	ее в	2	2
175	и как	1	2
176	и потому	1	2
177	в результате	1	2
178	а затем	2	2
