N	2gram	Nazirov_Tr_1	formyVre
1	и в	18	50
2	то есть	3	33
3	в романе	10	32
4	в этом	9	25
5	в нем	4	24
6	и его	6	16
7	в литературе	1	16
8	прежде всего	4	15
9	как мы	1	14
10	и не	7	14
11	в его	3	13
12	так и	5	12
13	человека и	1	11
14	то же	5	11
15	таким образом	1	11
16	может быть	7	11
17	и как	3	10
18	но в	6	10
19	с его	2	9
20	все эти	3	9
21	роль в	1	9
22	не только	8	9
23	в то	5	9
24	ничего не	2	9
25	же время	6	9
26	в том	2	9
27	в конце	3	9
28	в особенности	1	9
29	и др	1	9
30	и т	1	8
31	и на	7	8
32	в самом	2	8
33	ни в	2	8
34	т п	1	8
35	жизни в	1	8
36	но и	4	8
37	и их	1	8
38	как и	5	8
39	так сказать	1	7
40	времени в	2	7
41	не было	1	7
42	в условиях	1	7
43	героя и	1	7
44	вдруг и	1	6
45	например в	1	6
46	во всех	1	6
47	как в	3	6
48	все же	5	6
49	лишь в	1	6
50	это не	5	6
51	с ее	3	6
52	в ее	2	6
53	в дальнейшем	5	6
54	связи с	1	6
55	у него	6	6
56	то что	4	6
57	в частности	2	6
58	не может	5	6
59	так же	4	6
60	в результате	1	6
61	и все	4	6
62	и до	2	5
63	еще не	4	5
64	но не	1	5
65	отнюдь не	3	5
66	этих романов	1	5
67	не в	2	5
68	он не	2	5
69	того чтобы	1	5
70	могут быть	1	5
71	но все	2	5
72	в образе	6	5
73	романа в	1	5
74	в связи	1	5
75	наряду с	1	5
76	в основном	3	5
77	что в	4	5
78	этого романа	2	4
79	и то	2	4
80	и это	2	4
81	роман в	1	4
82	в ней	1	4
83	в своем	3	4
84	и с	7	4
85	в них	1	4
86	том что	4	4
87	в котором	1	4
88	не имеет	2	4
89	потому что	2	4
90	к себе	1	4
91	жизнь и	3	4
92	понятно что	1	4
93	или как	1	4
94	могло быть	1	4
95	только в	1	4
96	между этими	2	4
97	характерно что	1	4
98	до конца	2	4
99	в той	1	4
100	все это	4	4
101	между собой	1	4
102	в какой-то	1	3
103	а как	2	3
104	событий и	1	3
105	в виду	1	3
106	в быту	1	3
107	значение и	1	3
108	со своей	1	3
109	всего необходимо	1	3
110	в себе	4	3
111	при этом	3	3
112	вообще не	1	3
113	его в	2	3
114	и вне	1	3
115	романа прежде	1	3
116	но эта	2	3
117	но они	2	3
118	xviii века	1	3
119	этими двумя	2	3
120	друг друга	2	3
121	не могут	2	3
122	к тому	2	3
123	и образ	1	3
124	романа как	1	3
125	что и	2	3
126	в форме	1	3
127	один из	3	3
128	романа и	3	3
129	мы видим	1	3
130	и ее	2	3
131	с одной	1	3
132	только на	1	3
133	одно из	1	3
134	в одном	2	3
135	именно в	1	3
136	что не	1	3
137	только к	2	3
138	с тем	2	3
139	а не	1	3
140	вместе с	1	3
141	и потому	1	3
142	в таком	2	3
143	во всяком	1	3
144	xvii века	1	2
145	к своей	1	2
146	той же	1	2
147	вопрос о	2	2
148	на себя	1	2
149	на них	1	2
150	в чем	1	2
151	необходимо отметить	1	2
152	романа не	1	2
153	на другой	1	2
154	в истории	1	2
155	в центре	1	2
156	свои страдания	1	2
157	имеет в	2	2
158	в целом	4	2
159	в маленьких	1	2
160	как бы	7	2
161	как он	1	2
162	и еще	1	2
163	не как	1	2
164	по всем	1	2
165	уже не	2	2
166	этом мире	1	2
167	и по	1	2
168	что все	2	2
169	об этом	4	2
170	нет в	2	2
171	рядом с	1	2
172	человека мы	1	2
173	для него	3	2
174	в своей	1	2
175	не к	1	2
176	в отличие	2	2
177	но он	1	2
178	по себе	1	2
179	раз и	2	2
180	самого начала	1	2
181	никогда не	2	2
182	в самой	1	2
183	к ней	1	2
184	во всем	1	2
185	этот образ	4	2
186	мы встречаем	1	2
187	в трагедии	1	2
188	всего этого	1	2
189	романе в	1	2
190	с самого	1	2
191	природе своей	1	2
192	по природе	1	2
193	во многом	1	2
194	ту же	1	2
195	по сравнению	1	2
196	с ним	3	2
197	часто и	1	2
198	в глаза	2	2
199	а также	1	2
200	связь между	1	2
201	того что	1	2
202	этом романе	1	2
203	есть в	1	2
204	уже в	3	2
205	речи в	1	2
206	никто не	3	2
207	не для	1	2
208	с этими	1	2
209	отношение к	2	2
210	к ним	1	2
211	отличие от	2	2
212	жизни на	1	2
213	тем что	2	2
214	сколько угодно	1	2
215	чувствует себя	1	2
216	и даже	4	2
217	даже не	1	2
218	и стал	1	2
219	с помощью	1	2
220	в данном	2	2
221	к жизни	5	2
222	сравнению с	1	2
223	в романах	1	2
224	в это	2	2
225	не является	1	2
226	одна из	2	2
227	где и	1	2
228	для нас	1	2
229	хотя бы	1	2
230	личности и	2	2
231	совершенно не	1	2
232	от природы	1	2
233	в которой	1	2
234	и эта	1	2
235	я и	1	1
236	сохраняет свое	1	1
237	одним из	1	1
238	это сюжетное	1	1
239	всех видах	1	1
240	и есть	1	1
241	из самых	2	1
242	жизни ее	1	1
243	он всегда	4	1
244	высшей степени	1	1
245	объясняется и	1	1
246	и за	2	1
247	бы в	1	1
248	бы и	2	1
249	как во	1	1
250	не вполне	1	1
251	я не	4	1
252	начала в	1	1
253	и он	3	1
254	переплетается с	1	1
255	в xix	1	1
256	пародия на	1	1
257	и силе	1	1
258	он был	2	1
259	он сам	7	1
260	без которой	1	1
261	роман и	1	1
262	побои в	1	1
263	самом деле	1	1
264	данном случае	2	1
265	но как	1	1
266	что роман	1	1
267	этого мотива	1	1
268	свою жизнь	1	1
269	и чужой	1	1
270	авантюры и	1	1
271	большое значение	1	1
272	и я	2	1
273	родного дома	1	1
274	о жизни	2	1
275	час и	1	1
276	это был	2	1
277	перед нами	2	1
278	и наконец	1	1
279	и сам	3	1
280	в реальный	1	1
281	слова он	1	1
282	романе играет	1	1
283	этой идеи	1	1
284	сливается с	1	1
285	что это	5	1
286	бы не	1	1
287	но без	1	1
288	в этой	4	1
289	это тот	1	1
290	очень важно	2	1
291	не могла	1	1
292	человек не	1	1
293	и лучше	2	1
294	здесь мы	1	1
295	факт что	1	1
296	в мире	3	1
297	конечно в	1	1
298	и тонкие	1	1
299	это было	1	1
300	вместе со	2	1
301	совершенно иная	1	1
302	лишь на	1	1
303	этого нового	1	1
304	на свои	1	1
305	еще недавно	1	1
306	в высшей	1	1
307	в самую	2	1
308	полностью сохраняет	1	1
309	героини в	1	1
310	которой он	1	1
311	когда я	1	1
312	очень важный	1	1
313	должно быть	3	1
314	этом случае	1	1
315	которым человек	1	1
316	он использовал	1	1
317	и при	1	1
318	я увидел	2	1
319	наших дней	1	1
320	поэтому за	1	1
321	всяком случае	1	1
322	растет и	1	1
323	не столько	1	1
324	миф о	1	1
325	своего рода	3	1
326	должны были	1	1
327	значение для	1	1
328	умирает и	1	1
329	страха и	1	1
330	смертной казни	1	1
331	вдруг на	1	1
332	с такими	1	1
333	что этот	2	1
334	возвращается к	1	1
335	сам говорит	2	1
336	вплоть до	1	1
337	играть в	1	1
338	она не	1	1
339	и художественной	1	1
340	связан и	1	1
341	как его	1	1
342	например что	1	1
343	не вызывает	1	1
344	этой схемы	1	1
345	до самой	1	1
346	в русском	2	1
347	по своей	1	1
348	не нужен	1	1
349	входят в	1	1
350	xx века	1	1
351	в момент	1	1
352	ее жизни	2	1
353	из родного	1	1
354	строится как	1	1
355	природу человека	1	1
356	что оно	1	1
357	его с	1	1
358	свое значение	1	1
359	время он	1	1
360	и тонко	1	1
361	и совершенно	1	1
362	в другом	1	1
363	с собой	1	1
364	было в	2	1
365	в последующих	1	1
366	с человека	1	1
367	в эпоху	1	1
368	своего происхождения	1	1
369	тем чем	1	1
370	себя а	1	1
371	и здесь	2	1
372	не был	2	1
373	и т.д	1	1
374	о том	2	1
375	мы понимаем	1	1
376	все в	1	1
377	iii эта	1	1
378	все события	1	1
379	даже на	2	1
380	на всю	1	1
381	и первое	1	1
382	бросается в	2	1
383	наблюдать и	1	1
384	и дело	1	1
385	что он	6	1
386	что даже	1	1
387	это очень	5	1
388	вопрос об	1	1
389	человека с	1	1
390	так что	2	1
391	предчувствия и	1	1
392	носит в	1	1
393	в больших	1	1
394	с совершенно	1	1
395	него нет	1	1
396	могло бы	1	1
397	но уже	1	1
398	тут же	2	1
399	мир на	1	1
400	на деле	1	1
401	и герои	1	1
402	с другим	1	1
403	в каких	1	1
404	к роману	1	1
405	говорит о	2	1
406	то и	2	1
407	а на	1	1
408	с которым	1	1
409	одну из	1	1
410	о чем	3	1
411	первый образ	1	1
412	себя на	1	1
413	вообще мог	1	1
414	отметим лишь	1	1
415	и начинают	1	1
416	не знал	1	1
417	и вот	1	1
418	встреч и	1	1
419	смысле этого	1	1
420	к образу	1	1
421	и судьбы	1	1
422	который он	1	1
423	распадается на	1	1
424	нам еще	1	1
425	этого слова	1	1
426	о своих	1	1
427	перед смертью	1	1
428	этим объясняется	2	1
429	на одной	1	1
430	это уже	2	1
431	известной степени	1	1
432	как своего	1	1
433	тем и	1	1
434	и от	1	1
435	причем в	1	1
436	от него	1	1
437	из себя	1	1
438	у которого	1	1
439	от всего	2	1
440	с ними	1	1
441	не быть	1	1
442	что ты	1	1
443	является любовь	1	1
444	строится на	1	1
445	где он	1	1
446	к этой	1	1
447	время с	1	1
