N	3gram	Tiupa_Disk_1	Istorich
1	с другой стороны	3	8
2	в этом случае	1	7
3	с одной стороны	9	7
4	вместе с тем	1	6
5	о том что	5	4
6	в связи с	1	4
7	но все же	1	4
8	тем не менее	1	4
9	не может быть	3	3
10	за тридевять земель	1	3
11	на том что	1	2
12	по отношению к	9	2
13	о том как	1	2
14	он не может	1	2
15	до сих пор	1	2
16	в истории этого	1	2
17	в данном случае	2	2
18	в том чтобы	2	2
19	не только в	2	2
20	тем что он	1	2
21	в том что	13	2
22	на то что	1	2
23	как и в	1	2
24	по себе не	2	1
25	в целом его	1	1
26	в античной греции	2	1
27	а не в	2	1
28	из того что	1	1
29	в современном его	1	1
30	на самом деле	1	1
31	в том числе	2	1
32	в соответствии с	2	1
33	свидетельствует о том	1	1
34	одной стороны и	2	1
35	с точки зрения	1	1
36	и не только	2	1
37	только в том	2	1
38	сам по себе	1	1
39	что он не	1	1
40	имеет отношение к	1	1
41	в отличие от	4	1
42	может быть в	1	1
43	что не только	1	1
44	том числе и	2	1
45	то же время	4	1
46	целое в свою	1	1
47	а иногда и	1	1
48	дело не в	1	1
49	между мифом и	2	1
50	не в том	3	1
51	состоит в том	2	1
52	и потому что	1	1
53	во всех этих	1	1
54	потому что в	1	1
55	как и вообще	1	1
56	во всяком случае	1	1
57	как таковой в	1	1
58	все того же	1	1
59	они и не	1	1
60	в свою очередь	3	1
61	не связано с	1	1
62	с самого начала	1	1
63	и не могло	1	1
64	подобно тому как	2	1
65	можно сказать что	2	1
66	как в сказке	1	1
67	в то же	3	1
68	быть отнесены к	1	1
69	может быть названа	1	1
70	приходит на смену	1	1
71	здесь как и	1	1
72	как мы видели	1	1
