N	4gram	Voloshinov_1	Vvedenie
1	в то же время	3	6
2	но в то же	2	3
3	как мы уже знаем	1	2
4	одной и той же	2	2
5	на этот вопрос мы	2	1
6	одного и того же	5	1
7	какой бы то ни	1	1
8	этот вопрос о конкретных	1	1
9	тех пор пока не	1	1
10	до тех пор пока	2	1
11	и прежде всего в	1	1
12	в связи с этим	3	1
13	бы то ни было	8	1
14	не может быть и	2	1
15	с этой точки зрения	1	1
16	может быть и речи	2	1
17	отчет в том что	1	1
18	в большей или меньшей	1	1
19	тем не менее совершенно	1	1
20	смысле этого слова как	1	1
21	до сих пор и	1	1
22	кажется само собой разумеющимся	1	1
