N	2gram	Nazirov_Tv_1	Analitik
1	тогда как	1	19
2	в этом	6	18
3	не только	7	16
4	и в	21	16
5	в частности	2	16
6	так и	2	15
7	как и	12	14
8	своего рода	4	12
9	но и	3	12
10	и не	7	12
11	том что	11	12
12	в том	7	12
13	в качестве	2	11
14	при этом	7	10
15	могут быть	2	10
16	а не	5	10
17	как бы	17	10
18	в этой	5	9
19	и даже	3	9
20	то есть	12	9
21	всего лишь	1	8
22	в целом	4	8
23	представляет собой	3	8
24	в данном	2	8
25	не случайно	4	8
26	отнюдь не	5	8
27	особенно в	1	7
28	к тому	2	7
29	о том	6	7
30	в себе	2	7
31	то что	8	7
32	в самом	3	6
33	и на	7	6
34	но в	7	6
35	в мире	4	6
36	говорить о	1	6
37	может быть	5	6
38	с другой	3	6
39	как это	1	6
40	на себя	1	5
41	и к	1	5
42	о предопределении	1	5
43	данном случае	2	5
44	с одной	1	5
45	говорит о	3	5
46	того же	2	4
47	по преимуществу	2	4
48	в сущности	1	4
49	столь же	1	4
50	как правило	1	4
51	но не	3	4
52	по отношению	1	4
53	было написано	1	4
54	как в	8	4
55	в своем	4	4
56	хотя и	3	4
57	в себя	2	4
58	он в	1	4
59	тому же	1	4
60	на этом	1	4
61	то же	13	4
62	и тем	2	4
63	тем самым	7	4
64	для него	6	4
65	не в	2	4
66	в конце	1	4
67	же его	1	4
68	только не	1	4
69	имеет место	1	4
70	не менее	6	4
71	во второй	2	4
72	можно сказать	2	4
73	времени в	13	4
74	во всех	1	4
75	только в	5	4
76	и его	6	4
77	уже не	3	4
78	не так	3	4
79	у него	7	4
80	как раз	1	4
81	одной стороны	1	4
82	не может	4	4
83	и смерти	1	4
84	о его	1	4
85	все это	10	4
86	в один	2	4
87	отношению к	1	4
88	я и	3	3
89	в их	3	3
90	в конечном	4	3
91	мы имеем	1	3
92	проявляется в	1	3
93	не был	3	3
94	как уже	1	3
95	на его	3	3
96	ключ к	1	3
97	и читателя	1	3
98	и если	1	3
99	и сам	1	3
100	не мог	2	3
101	место в	3	3
102	не столько	2	3
103	тем не	2	3
104	по крайней	2	3
105	никогда не	3	3
106	казалось бы	1	3
107	со своим	1	3
108	тем что	1	3
109	как будто	5	3
110	что на	1	3
111	приводит к	2	3
112	воли и	3	3
113	одного из	2	3
114	что и	2	3
115	крайней мере	2	3
116	и все	6	3
117	одной из	4	3
118	с ними	1	3
119	так что	2	3
120	я в	1	3
121	из них	2	3
122	только на	2	3
123	именно в	2	3
124	было бы	1	3
125	в первой	2	3
126	или в	2	3
127	прежде всего	4	3
128	а в	6	3
129	на смену	2	3
130	не знает	2	3
131	в действительности	1	3
132	с самим	1	3
133	он произносит	1	2
134	и до	1	2
135	той же	3	2
136	а как	2	2
137	я как	1	2
138	во времени	3	2
139	и он	2	2
140	собой в	2	2
141	еще не	1	2
142	он был	1	2
143	иного рода	1	2
