N	3gram	Tiupa_Lite_2	Komedia
1	едва ли не	4	5
2	в том что	5	5
3	за то что	2	4
4	вместе с тем	1	4
5	о том что	2	4
6	для того чтобы	1	4
7	по отношению к	3	3
8	в том числе	2	3
9	то же время	9	3
10	до тех пор	1	3
11	в то же	9	3
12	не говоря уже	2	2
13	в частности в	1	2
14	говоря уже о	2	2
15	в отличие от	1	2
16	бы то ни	1	2
17	не более чем	1	2
18	то ни было	1	2
19	с одной стороны	6	2
20	у того же	1	2
21	в самом начале	1	2
22	в этом же	1	2
23	и т п	2	2
24	после того как	1	2
25	к тому что	1	2
26	можно было бы	1	2
27	речь идет о	3	2
28	мы имеем дело	1	1
29	а нередко и	1	1
30	то и вовсе	1	1
31	в соответствии с	1	1
32	с точки зрения	3	1
33	и в то	1	1
34	том числе и	1	1
35	и не менее	1	1
36	а то и	1	1
37	и вовсе не	1	1
38	той или иной	1	1
39	на протяжении многих	1	1
40	имеем дело с	1	1
41	как он был	1	1
42	тех пор пока	1	1
43	же время он	1	1
44	в целом ряде	1	1
45	с другой стороны	4	1
46	не может быть	7	1
47	что он не	1	1
48	в соединении с	1	1
49	в свою очередь	1	1
50	речь шла о	1	1
51	себя в жизни	1	1
52	тем не менее	2	1
53	как мы видели	1	1
