N	2gram	Ircho_Kome_2	DiskursI
1	в качестве	5	34
2	не только	7	28
3	в том	11	23
4	а не	1	22
5	том что	9	19
6	представляет собой	1	17
7	может быть	11	17
8	как и	4	16
9	и в	26	16
10	в этом	10	15
11	еще не	6	14
12	но и	10	14
13	по своей	1	11
14	но не	3	11
15	прежде всего	4	11
16	и не	14	11
17	как в	3	10
18	с другой	2	10
19	по отношению	3	9
20	в нем	6	9
21	не может	3	9
22	с одной	2	9
23	одной стороны	2	9
24	в частности	4	9
25	отношению к	3	9
26	отнюдь не	2	8
27	но в	3	8
28	о том	6	8
29	так и	12	8
30	а также	1	8
31	не было	3	7
32	в себе	1	7
33	то же	3	7
34	не в	2	7
35	в основе	1	7
36	роль в	2	7
37	со стороны	2	7
38	в его	4	7
39	только в	4	7
40	в своем	6	6
41	и как	1	6
42	и на	7	5
43	во всех	3	5
44	отличие от	2	5
45	в рамках	1	5
46	тому же	11	5
47	в силу	2	5
48	в котором	3	5
49	в их	3	5
50	в отличие	2	5
51	в себя	1	5
52	сводится к	1	5
53	в эпоху	1	5
54	или иной	1	5
55	а с	1	5
56	как бы	2	5
57	к тому	12	5
58	а в	3	5
59	то что	6	5
60	в своей	3	5
61	с его	5	4
62	отношение к	2	4
63	в истории	5	4
64	и к	2	4
65	в целом	4	4
66	на его	1	4
67	в них	4	4
68	потому что	6	4
69	для себя	1	4
70	внимание на	1	4
71	же время	3	4
72	между тем	4	4
73	как правило	3	4
74	одной из	4	4
75	что он	5	4
76	для него	1	4
77	не обязательно	1	4
78	что не	1	4
79	связи с	3	4
80	такого рода	1	4
81	не является	2	4
82	что в	9	4
83	того же	3	3
84	в первом	2	3
85	в каждой	1	3
86	столь же	9	3
87	той или	1	3
88	в одной	2	3
89	с этим	5	3
90	в самом	4	3
91	из жизни	1	3
92	зрения на	1	3
93	это не	2	3
94	ведет к	1	3
95	точки зрения	4	3
96	однако в	2	3
97	бы быть	1	3
98	по себе	1	3
99	в то	6	3
100	к той	1	3
101	таким образом	6	3
102	ли не	7	3
103	они и	1	3
104	как не	2	3
105	свою очередь	1	3
106	в ее	2	3
107	времени и	1	3
108	не с	1	3
109	еще в	4	3
110	и даже	1	3
111	или на	2	3
112	что и	7	3
113	в сферу	1	3
114	хотя бы	2	3
115	из них	7	3
116	тем что	3	3
117	именно в	1	3
118	мира в	4	3
119	по своему	2	3
120	один из	5	3
121	все же	4	3
122	как уже	1	3
123	в свою	1	3
124	сказать что	1	3
125	другой стороны	1	3
126	в действительности	2	3
127	отношения к	1	2
128	одним из	2	2
129	например в	3	2
130	и есть	2	2
131	едва ли	14	2
132	для своего	1	2
133	мы имеем	2	2
134	в сущности	1	2
135	на себя	7	2
136	ему в	1	2
137	в виду	2	2
138	первого и	1	2
139	между собой	1	2
140	в различных	1	2
141	служит для	1	2
142	событий а	1	2
143	себя в	3	2
144	опирается на	1	2
145	как к	1	2
146	что касается	3	2
147	хотя и	4	2
148	когда он	1	2
149	целый ряд	2	2
150	более или	1	2
151	то ли	2	2
152	жанра и	1	2
153	не приходится	1	2
154	в тех	3	2
155	в этой	3	2
156	не следует	2	2
157	ей в	1	2
158	в принципе	2	2
159	том чтобы	1	2
160	на этом	2	2
161	человека в	3	2
162	исходя из	1	2
163	в каждом	3	2
164	могла бы	3	2
165	об этом	2	2
166	того или	1	2
167	на сцене	2	2
168	соответствии с	1	2
169	не всегда	2	2
170	с человеком	1	2
171	или менее	1	2
172	в г	17	2
173	при встрече	1	2
174	и без	1	2
175	не менее	4	2
176	и охватывает	1	2
177	но они	1	2
178	имеем дело	1	2
179	можно усмотреть	1	2
180	в наше	1	2
181	х годов	2	2
182	и его	12	2
183	уже о	2	2
184	к себе	1	2
185	сомнение в	1	2
186	отличается от	1	2
187	числе и	1	2
188	частной жизни	1	2
189	как мы	4	2
190	говоря уже	2	2
191	в пределах	1	2
192	приводит к	1	2
193	в другом	1	2
194	было в	1	2
195	своему происхождению	1	2
196	разного рода	1	2
197	в построении	2	2
198	а по	1	2
199	во всяком	2	2
200	и что	2	2
201	одного из	1	2
202	времени в	2	2
203	это было	4	2
204	в греческой	1	2
205	на протяжении	10	2
206	и во	2	2
207	них в	1	2
208	в античной	2	2
209	представления о	2	2
210	в литературе	1	2
211	дело с	3	2
212	в какой	2	2
213	наше время	1	2
214	и ее	2	2
215	тот или	1	2
216	нередко и	1	2
217	уже в	4	2
218	свидетельствует о	1	2
219	текста в	1	2
220	как их	1	2
221	в одном	2	2
222	как его	1	2
223	общения и	1	2
224	следует признать	2	2
225	никогда не	1	2
226	никого не	1	2
227	из двух	1	2
228	на ее	1	2
229	здесь в	3	2
230	к которому	1	2
231	героя и	1	2
232	в соответствии	1	2
233	однако и	1	2
234	одну из	1	2
235	о чем	3	2
236	то она	1	2
237	более чем	4	2
238	к его	2	2
239	одновременно с	2	2
240	что же	1	2
241	своего времени	2	2
242	жизни в	1	2
243	в начале	4	2
244	частности в	2	2
245	или в	3	2
246	о котором	1	2
247	и все	2	2
248	не более	2	2
249	будто бы	1	2
250	хотя в	1	2
251	не говоря	2	2
252	что даже	1	2
253	к этому	5	2
254	том числе	3	2
255	вполне обоснованным	1	1
256	как известно	2	1
257	речь идет	3	1
258	отделен от	1	1
259	самом деле	1	1
260	идет о	2	1
261	из его	2	1
262	видеть в	1	1
263	и за	2	1
264	обойтись без	1	1
265	той же	3	1
266	в и	1	1
267	учения об	1	1
268	с текстом	1	1
269	говорить о	2	1
270	в полной	1	1
271	но уже	1	1
272	из того	1	1
273	они были	1	1
274	только потому	2	1
275	конечном счете	1	1
276	известны в	1	1
277	тут же	2	1
278	нет и	2	1
279	независимо от	5	1
280	из вас	2	1
281	с их	4	1
282	современников в	2	1
283	и нет	1	1
284	там же	1	1
285	тех случаях	1	1
286	этом же	2	1
287	основное внимание	1	1
288	тем же	1	1
289	своей нравственной	1	1
