N	2gram	Tiupa_Teor_1	Narrotol
1	не только	16	26
2	а не	9	17
3	представляет собой	9	16
4	тогда как	15	15
5	но и	9	15
6	при этом	12	14
7	в том	16	14
8	в качестве	24	14
9	и не	13	14
10	в этом	8	13
11	и в	18	13
12	том что	9	13
13	состоит в	17	12
14	такого рода	8	12
15	только в	6	11
16	в частности	16	11
17	с собачкой	1	10
18	может быть	17	10
19	в данном	8	10
20	своего рода	7	9
21	сводится к	5	9
22	так и	10	9
23	то есть	12	9
24	к тому	2	9
25	а в	13	9
26	в себе	9	8
27	то что	3	8
28	не в	7	8
29	коммуникативного события	1	8
30	в тексте	14	8
31	не может	4	8
32	дамы с	1	7
33	иначе говоря	4	7
34	не сводится	4	7
35	у него	1	6
36	в рамках	7	6
37	в своем	4	6
38	и к	3	6
39	но в	9	6
40	всего лишь	6	6
41	в жизни	2	6
42	никогда не	4	6
43	данном случае	5	6
44	и т.п	4	6
45	можно сказать	3	6
46	а также	6	6
47	в его	6	6
48	вслед за	2	6
49	того что	4	6
50	со стороны	2	6
51	прежде всего	2	6
52	как бы	5	6
53	жизни в	2	6
54	я не	2	5
55	отличие от	6	5
56	что он	1	5
57	как в	5	5
58	хотя и	3	5
59	в нем	4	5
60	тем не	3	5
61	он не	3	5
62	таким образом	3	5
63	по мысли	1	5
64	и тем	3	5
65	далеко не	2	5
66	точки зрения	9	5
67	место в	5	5
68	не столько	1	5
69	человеческого я	3	5
70	тем самым	4	5
71	в то	6	5
72	о том	1	5
73	в форме	2	5
74	с одной	2	5
75	по отношению	4	5
76	с другой	7	5
77	одной стороны	2	5
78	в той	2	5
79	в отличие	6	5
80	я в	16	5
81	отношению к	4	5
82	то же	7	4
83	и мира	2	4
84	в ее	5	4
85	в этой	3	4
86	отнюдь не	3	4
87	о жизни	1	4
88	перед нами	2	4
89	что это	1	4
90	в силу	1	4
91	уже не	4	4
92	в мире	19	4
93	об этом	2	4
94	войны и	1	4
95	в своей	6	4
96	в конце	2	4
97	не менее	4	4
98	при всей	1	4
99	в себя	3	4
100	читателя в	1	4
101	времени и	2	4
102	если бы	3	4
103	как у	1	4
104	и т.д	3	4
105	в другом	3	4
106	уже говорилось	1	4
107	в какой	2	4
108	свидетельствует о	1	4
109	для него	2	4
110	у нее	1	4
111	следует признать	1	4
112	в рассказе	2	4
113	как и	4	4
114	мира в	1	4
115	как это	8	4
116	в литературе	2	4
117	не является	4	4
118	что в	9	4
119	все что	1	4
120	поскольку не	2	3
121	субъекта самоопределения	1	3
122	для себя	1	3
123	говорилось выше	1	3
124	мы имеем	7	3
125	пребывания в	1	3
126	с его	5	3
127	как правило	4	3
128	но не	9	3
129	большей части	1	3
130	что они	1	3
131	в произведениях	2	3
132	как к	2	3
133	в целом	3	3
134	все эти	2	3
135	в известном	1	3
136	и его	8	3
137	не следует	4	3
138	внутренней речи	13	3
139	и по	2	3
140	конечном счете	6	3
141	самим собой	3	3
142	того или	3	3
143	в итоге	2	3
144	соответствии с	2	3
145	в слове	3	3
146	и того	3	3
147	тому что	2	3
148	того чтобы	1	3
149	же время	5	3
150	по своей	3	3
151	в состав	6	3
152	той или	1	3
153	и сам	1	3
154	мира и	1	3
155	действующих лиц	1	3
156	строго говоря	1	3
157	между собой	3	3
158	о котором	1	3
159	о ней	2	3
160	за пределами	5	3
161	следует подчеркнуть	2	3
162	в конечном	6	3
163	по слову	1	3
164	это не	2	3
165	с матерью	1	3
166	известном смысле	1	3
167	один из	2	3
168	с ними	1	3
169	никак не	1	3
170	между тем	5	3
171	личной тайны	1	3
172	или даже	4	3
173	представить себе	1	3
174	для других	1	3
175	как раз	2	3
176	и даже	2	3
177	или иной	4	3
178	по большей	1	3
179	только к	1	3
180	в соответствии	3	3
181	в аспекте	2	3
182	и для	2	3
183	от первого	1	3
184	сказать что	3	3
185	к его	2	3
186	или иного	3	3
187	мере в	1	2
188	к другому	1	2
189	же как	1	2
190	в составе	1	2
191	подчеркнуть что	1	2
192	в каждой	1	2
193	для окружающих	1	2
194	еще не	4	2
195	как субъекта	1	2
196	столь же	2	2
197	в чем	1	2
198	иного рода	3	2
199	в центре	1	2
200	встречи с	1	2
201	жизненной ситуации	1	2
202	могли бы	2	2
203	как уже	1	2
204	однако на	1	2
205	со своей	3	2
206	в самом	4	2
207	в нашем	4	2
208	из этих	3	2
209	раз в	1	2
210	роль в	2	2
211	на то	1	2
212	в случае	1	2
213	вследствие этого	1	2
214	жизнью и	1	2
215	что она	2	2
216	к миру	1	2
217	в принципе	4	2
218	не будет	2	2
219	также является	1	2
220	той же	1	2
221	было бы	1	2
222	должен был	1	2
223	на второй	1	2
224	ведет к	1	2
225	является его	1	2
226	сводятся к	2	2
227	высказывания как	1	2
