N	3gram	Vinokur_Ku_1	Poddanst
1	в то же	2	7
2	то же время	2	7
3	не только в	1	4
4	в том что	15	4
5	с точки зрения	9	3
6	сами по себе	1	3
7	с одной стороны	1	3
8	и в то	1	2
9	и если бы	1	2
10	заключается в том	2	2
11	сводится к следующему	1	1
12	в том виде	1	1
13	что в этом	1	1
14	чуть ли не	2	1
15	условия в которых	2	1
16	более или менее	3	1
17	т д не	1	1
18	в настоящее время	1	1
19	в этом смысле	3	1
20	что с точки	1	1
21	в сопоставлении с	1	1
22	тот или иной	1	1
23	хотя бы и	2	1
24	можно говорить о	1	1
25	в отличие от	1	1
26	с тем чтобы	1	1
27	в собственном смысле	1	1
28	вместе с тем	3	1
29	и есть в	2	1
30	в применении к	1	1
31	было бы неправильно	1	1
32	так же как	1	1
33	в противоречии с	1	1
34	в одно и	1	1
35	можно рассматривать с	1	1
36	главным образом на	1	1
37	не в том	4	1
38	во всяком случае	5	1
39	с другой стороны	6	1
40	не может быть	3	1
41	как бы часть	1	1
42	том виде какой	1	1
43	само по себе	1	1
44	та или иная	1	1
45	в которую мы	1	1
46	и тем самым	1	1
47	то что его	1	1
48	вопрос об отношении	1	1
49	тем более что	1	1
50	в большинстве случаев	1	1
51	во многих случаях	1	1
52	для того чтобы	15	1
53	и т д	14	1
