N	3gram	Berdyaev_M_2	slovoVRo
1	той или иной	1	9
2	с точки зрения	1	8
3	во всех его	1	7
4	в отношении к	2	6
5	а между тем	1	2
6	и к нему	1	2
7	до сих пор	3	2
8	он в свою	1	2
9	и в этом	3	2
10	к тому что	3	2
11	а не к	1	1
12	а следовательно и	1	1
13	в стороне от	1	1
14	прежде всего как	1	1
15	со всеми его	1	1
16	одной и той	2	1
17	и той же	2	1
18	как бы не	1	1
19	но это не	2	1
20	оно не может	1	1
21	в нем самом	1	1
22	в нем и	1	1
23	в своей книге	1	1
24	но и в	1	1
25	в этом отношении	1	1
26	во всех своих	1	1
27	у него нет	3	1
28	исключительный интерес к	1	1
29	он никогда не	1	1
30	может быть и	2	1
31	в значительной степени	1	1
32	в котором в	1	1
33	и не было	1	1
34	одни и те	1	1
35	же о чем	1	1
36	и сам он	1	1
37	себя в этом	1	1
38	как в самом	1	1
39	не может быть	8	1
40	о том что	2	1
41	их они были	1	1
42	его отношение к	4	1
43	у него есть	1	1
44	на протяжении всего	1	1
45	никогда не бывает	2	1
46	и те же	2	1
47	не есть еще	1	1
48	есть в отношении	2	1
49	лежит в основе	1	1
50	у нее нет	1	1
51	для того чтобы	4	1
52	в том что	2	1
53	как и в	2	1
54	именно потому что	1	1
