N	2gram	Vygotskiy__1	Russkaja
1	не может	12	22
2	и не	9	19
3	в том	24	17
4	в этом	17	17
5	и в	23	14
6	с другом	4	14
7	друг с	4	14
8	то что	17	13
9	самим собой	1	12
10	то же	8	11
11	точки зрения	26	11
12	таким образом	26	11
13	в то	7	10
14	же время	2	10
15	но и	14	10
16	в себе	6	9
17	не только	16	9
18	том что	21	9
19	с точки	18	9
20	может быть	14	9
21	во всяком	3	9
22	того чтобы	17	8
23	прежде всего	10	8
24	как на	4	8
25	самом деле	3	7
26	отнюдь не	1	7
27	и если	3	7
28	и с	9	7
29	в данном	2	7
30	к тому	4	7
31	о том	6	7
32	мы должны	5	7
33	ни к	1	7
34	в своем	3	6
35	и к	4	6
36	с тем	7	6
37	в своих	5	6
38	и при	2	6
39	если бы	5	6
40	все это	6	6
41	и для	1	6
42	для того	15	6
43	что он	7	6
44	всяком случае	3	6
45	для всех	4	6
46	для него	2	6
47	на самом	1	6
48	вопрос о	7	5
49	и на	8	5
50	между собой	5	5
51	во всех	3	5
52	на то	5	5
53	в нем	1	5
54	при этом	4	5
55	он не	5	5
56	он должен	2	5
57	было бы	4	5
58	в своей	4	5
59	никогда не	2	5
60	потому что	6	5
61	между тем	9	5
62	только в	6	5
63	хотя бы	4	5
64	или иной	1	5
65	до сих	4	5
66	из которых	3	5
67	по существу	4	5
68	сих пор	4	5
69	а в	2	5
70	и то	3	4
71	но не	4	4
72	себе и	2	4
73	все же	3	4
74	не в	4	4
75	в этой	7	4
76	в совершенно	1	4
77	как и	14	4
78	которой он	1	4
79	в их	3	4
80	точку зрения	2	4
81	тогда когда	3	4
82	во всем	3	4
83	от того	6	4
84	приводит к	4	4
85	можно было	3	4
86	и т.д	5	4
87	в его	14	4
88	так как	7	4
89	лишь к	1	4
90	со стороны	1	4
91	вместе с	9	4
92	что же	1	4
93	как бы	11	4
94	к вопросу	2	4
95	жизни и	2	4
96	что в	14	4
97	к этой	1	4
98	все что	1	4
99	и т	1	3
100	то в	1	3
101	говорить о	2	3
102	еще не	1	3
103	из этих	3	3
104	что они	3	3
105	в самом	7	3
106	что это	3	3
107	главным образом	2	3
108	в другом	7	3
109	лишь в	6	3
110	для них	1	3
111	о которых	1	3
112	несмотря на	2	3
113	должно быть	2	3
114	всех этих	2	3
115	но если	1	3
116	и сейчас	1	3
117	таким же	1	3
118	мы говорили	3	3
119	знаем что	1	3
120	том чтобы	3	3
121	связи с	3	3
122	в сознании	1	3
123	то это	1	3
124	что оно	3	3
125	той или	1	3
126	приходит к	3	3
127	что все	4	3
128	данном случае	2	3
129	что может	5	3
130	для этого	5	3
131	может не	3	3
132	но мы	1	3
133	в значительной	2	3
134	вопросу о	1	3
135	что и	1	3
136	а следовательно	1	3
137	того что	15	3
138	одной из	1	3
139	в качестве	9	3
140	тем чтобы	1	3
141	в виде	2	3
142	из них	1	3
143	в конце	2	3
144	тем что	6	3
145	именно в	6	3
146	что для	5	3
147	не было	1	3
148	ко всем	3	3
149	и потому	2	3
150	или в	1	3
151	о котором	2	3
152	конце концов	1	3
153	и как	5	3
154	из этого	5	3
155	речь идет	2	2
156	бы для	1	2
157	из всех	2	2
158	приводят к	1	2
159	но даже	1	2
160	в ней	1	2
161	в таком	1	2
162	смотрят на	1	2
163	именно на	1	2
164	по отношению	7	2
165	не просто	1	2
166	друг от	3	2
167	сама по	1	2
168	с этим	6	2
169	бы речь	1	2
170	целый ряд	4	2
171	и наконец	2	2
172	но в	5	2
173	не можем	1	2
174	все эти	4	2
175	и те	2	2
176	по самому	1	2
177	состоит в	1	2
178	не к	2	2
179	дела не	1	2
180	и вот	2	2
181	значительной части	1	2
182	факт что	3	2
183	мы уже	1	2
184	на этой	1	2
185	по себе	5	2
186	и тем	6	2
187	в единое	2	2
188	же образом	1	2
189	на основании	5	2
190	нисколько не	1	2
191	в этих	2	2
192	во время	1	2
193	в котором	4	2
194	собой все	3	2
195	в силу	6	2
196	друг другу	3	2
197	ничего другого	2	2
198	и более	5	2
199	лежит не	1	2
200	их в	4	2
201	том же	2	2
202	тому что	5	2
203	она не	3	2
204	только для	3	2
205	что с	2	2
206	у него	1	2
207	к такому	1	2
208	следовательно и	1	2
209	самому своему	1	2
210	и является	1	2
211	на которой	2	2
212	как будто	1	2
213	в области	3	2
214	если только	1	2
215	отличается от	1	2
216	указывает на	2	2
217	которой она	1	2
218	для себя	4	2
219	от друга	3	2
220	во главе	1	2
221	ясно что	2	2
222	с самим	1	2
223	в борьбе	1	2
224	разумеется что	1	2
225	и что	5	2
226	это потому	1	2
227	это в	1	2
228	эта работа	1	2
229	речь шла	1	2
230	что только	1	2
231	этот вопрос	3	2
232	совершенно не	1	2
233	по этому	1	2
234	так что	1	2
235	уже не	2	2
236	то которое	1	2
237	является не	1	2
238	центр тяжести	1	2
239	представить себе	5	2
240	ни в	4	2
241	мы можем	6	2
242	только с	1	2
243	и вместе	1	2
244	в других	1	2
245	и даже	2	2
246	у многих	1	2
247	а с	4	2
248	не нужна	1	2
249	естественно что	1	2
250	зависит от	1	2
251	а не	3	2
252	себя на	1	2
253	в частности	2	2
254	так же	16	2
255	тот факт	1	2
256	их к	1	2
257	в течение	2	2
258	отношения к	3	2
259	есть и	1	2
260	общественной жизни	1	2
261	стоит только	4	2
262	но для	1	2
263	остается в	1	2
264	если не	3	2
265	и от	3	2
266	в результате	4	2
267	отношении к	1	2
268	на это	1	2
269	ее в	2	2
270	тем самым	5	2
271	точно так	1	2
272	в силе	1	1
273	в сфере	3	1
274	возрасте а	1	1
275	и действительно	1	1
276	должен быть	4	1
277	связи между	3	1
278	он может	2	1
279	тех же	2	1
280	идет о	2	1
281	показать что	2	1
282	к удовлетворению	1	1
283	не хочет	1	1
284	ту же	1	1
285	выводом из	1	1
286	что эти	2	1
287	этому пути	1	1
288	с таким	3	1
289	в зависимости	2	1
290	также и	1	1
291	есть не	2	1
292	его практическую	1	1
293	действительность или	1	1
294	всему этому	1	1
295	мы не	7	1
296	же как	6	1
297	отклик в	1	1
298	к новой	1	1
299	на эти	3	1
300	он как	2	1
301	в сущности	6	1
302	свою особую	1	1
303	оно есть	2	1
304	это отношение	1	1
305	образом оказывается	1	1
306	при переходе	2	1
307	обоими видами	1	1
308	себе что	1	1
309	с большим	1	1
310	что оба	1	1
311	когда речь	1	1
312	разумеется не	1	1
313	столько же	1	1
314	которую можно	1	1
315	дать ему	1	1
316	на них	1	1
317	но этого	1	1
318	столь же	6	1
319	что его	2	1
320	заключается не	1	1
321	друг к	1	1
322	и вопрос	1	1
323	в область	1	1
324	к этому	4	1
325	пищи и	1	1
326	только тогда	2	1
327	к известной	2	1
328	силу этого	3	1
329	в общем	3	1
330	должны были	3	1
331	очевидно что	1	1
332	проходить в	1	1
333	которые не	3	1
334	в истории	1	1
335	отношение человека	1	1
336	работа в	2	1
337	что во	1	1
338	в одной	3	1
339	и целостности	1	1
340	учений и	1	1
341	что ее	1	1
342	что касается	1	1
343	перед нами	5	1
344	в полном	1	1
345	когда он	2	1
346	от этого	2	1
347	взаимодействия между	1	1
348	не быть	1	1
349	еще на	3	1
350	в которой	3	1
351	привести к	1	1
352	себя к	1	1
353	интересовать только	1	1
354	что так	1	1
355	выражение в	1	1
356	что к	1	1
357	то и	3	1
358	им в	1	1
359	выяснению того	1	1
360	на попытки	1	1
361	но на	1	1
362	то этим	1	1
363	в общении	2	1
364	своим собственным	1	1
365	он всегда	1	1
366	вообще не	1	1
367	на его	1	1
368	как оно	1	1
369	не могла	1	1
370	этого мало	1	1
371	сейчас не	3	1
372	значительная часть	1	1
373	тем не	1	1
374	всех остальных	3	1
375	а скорее	2	1
376	от которого	1	1
377	о которой	1	1
378	фактических данных	1	1
379	в принципе	1	1
380	к одному	1	1
381	войти в	1	1
382	постольку поскольку	1	1
383	его можно	1	1
384	так например	1	1
385	заключает в	1	1
386	и заключается	1	1
387	но все	2	1
388	значительной степени	2	1
389	для всей	1	1
390	могла бы	1	1
391	тем в	1	1
392	настоящими реальными	1	1
393	единое целое	4	1
394	об этой	3	1
395	об этом	3	1
396	и второй	1	1
397	к другу	2	1
398	или даже	2	1
399	на каком	1	1
400	заключается в	8	1
401	может явиться	3	1
402	с другими	2	1
403	чтобы он	1	1
404	это не	1	1
405	сейчас в	1	1
406	и мы	3	1
407	уже знаем	1	1
408	это противоречие	1	1
409	остановиться на	1	1
410	в жизни	1	1
411	этого слова	4	1
412	это положение	4	1
413	всегда и	3	1
414	для чего	1	1
415	обозначить как	1	1
416	как сказано	1	1
417	иначе говоря	2	1
418	такой же	3	1
419	в один	2	1
420	на первый	2	1
421	переносится в	1	1
422	будет как	1	1
423	и логики	1	1
424	от своего	1	1
425	что такая	1	1
426	даже тогда	1	1
427	шла о	1	1
428	в такой	3	1
429	и без	1	1
430	бы к	1	1
431	внутренняя связь	1	1
432	просто в	1	1
433	из которой	2	1
434	что вся	1	1
435	не столько	4	1
436	представление о	2	1
437	сделано в	1	1
438	оказывается что	1	1
439	в которых	3	1
440	свойства которые	1	1
441	результате этого	1	1
442	далее что	1	1
443	по крайней	1	1
444	и эти	2	1
445	возможно только	1	1
446	который мы	2	1
447	ее части	1	1
448	вовсе не	3	1
449	даже в	2	1
450	и вся	1	1
451	сознании в	1	1
452	с необычайной	1	1
453	не менее	1	1
