N	2gram	Tiupa_Disk_1	Marksizm
1	чужой речи	1	53
2	может быть	17	28
3	и в	16	19
4	как бы	5	19
5	и не	11	19
6	в процессе	5	18
7	не может	9	18
8	точки зрения	3	17
9	то же	7	16
10	и его	2	16
11	как мы	2	15
12	в этом	15	15
13	языка и	2	15
14	в сущности	2	14
15	так сказать	2	14
16	таким образом	3	14
17	лишь в	4	14
18	не только	28	13
19	косвенной речи	1	13
20	с точки	1	13
21	связи с	4	13
22	чужого высказывания	1	13
23	речи и	1	13
24	речевого общения	12	12
25	в нем	9	11
26	высказывания и	2	11
27	если бы	1	11
28	не в	7	10
29	так и	8	10
30	и т.п	12	10
31	но и	14	10
32	в пределах	2	10
33	том что	19	10
34	самом деле	1	9
35	при этом	13	9
36	как и	16	9
37	как целое	1	9
38	для него	4	9
39	в основе	7	9
40	а не	22	9
41	на почве	1	9
42	с его	4	8
43	по отношению	9	8
44	в то	3	8
45	же время	4	8
46	только в	7	8
47	слова в	2	8
48	отнюдь не	8	8
49	не является	4	8
50	отношению к	9	8
51	на самом	1	7
52	внутренней речи	2	7
53	высказывания как	1	7
54	и более	1	7
55	высказывания в	6	7
56	никогда не	2	7
57	в том	23	7
58	прежде всего	11	7
59	в связи	1	7
60	но в	8	7
61	в таком	1	7
62	во всех	5	6
63	и как	6	6
64	в самом	3	6
65	слова и	1	6
66	в смысле	1	6
67	к тому	5	6
68	же самое	2	6
69	быть и	1	6
70	между тем	4	6
71	мы можем	1	6
72	более того	2	6
73	с помощью	1	6
74	и все	2	6
75	хотя бы	3	6
76	в свою	3	6
77	того же	3	5
78	к другому	2	5
79	и на	5	5
80	все же	3	5
81	в данном	5	5
82	в их	5	5
83	самого начала	1	5
84	свою очередь	3	5
85	с самого	1	5
86	к нему	1	5
87	в его	7	5
88	в форме	2	5
89	в большинстве	1	5
90	большинстве случаев	1	5
91	отношении к	1	5
92	или иной	5	5
93	данного высказывания	1	5
94	целого высказывания	3	5
95	форм языка	1	5
96	в той	1	5
97	этого слова	1	5
98	в контексте	1	5
99	и того	3	5
100	значения слова	1	5
101	тем более	1	5
102	к этому	2	5
103	тем же	1	4
104	а как	1	4
105	и ее	2	4
106	только на	1	4
107	в себе	7	4
108	на то	1	4
109	значение в	1	4
110	в данной	3	4
111	это не	3	4
112	было бы	1	4
