N	3gram	Bakhtin_fo_2	RusskieA
1	в том что	3	15
2	и т д	3	9
3	вместе с тем	1	6
4	в этом случае	2	5
5	как мы увидим	1	5
6	в связи с	7	4
7	о том что	1	4
8	к тому что	1	4
9	с точки зрения	8	3
10	что в этом	2	2
11	и связанные с	1	2
12	может быть и	2	2
13	тех местах где	1	2
14	это не значит	1	2
15	в свою очередь	1	2
16	но все же	1	2
17	в большинстве случаев	3	2
18	это имеет место	1	2
19	состояло в том	1	2
20	с этим в	1	1
21	а следовательно и	2	1
22	праздники и обряды	1	1
23	и того же	1	1
24	в виду что	1	1
25	и наконец в	1	1
26	на самом деле	1	1
27	к еде и	1	1
28	точки зрения в	1	1
29	и не только	1	1
30	но и другие	1	1
31	и его жизнь	1	1
32	можно говорить о	1	1
33	наряду с этим	1	1
34	и та же	2	1
35	в этом отношении	2	1
36	и т п	11	1
37	значит что все	1	1
38	но и как	1	1
39	как можно больше	1	1
40	и у других	1	1
41	каждый из этих	1	1
42	так как он	1	1
43	не до конца	1	1
44	что и сама	1	1
45	мы наблюдаем в	1	1
46	что в основе	1	1
47	не только в	5	1
48	объясняется тем что	1	1
49	в отличие от	1	1
50	и в этом	3	1
51	во всех этих	3	1
52	и как бы	1	1
53	значении этого слова	1	1
54	приведем несколько примеров	1	1
55	одна и та	2	1
56	еде и питью	1	1
57	и пр и	1	1
58	здесь изображается как	1	1
59	и по другим	1	1
60	в то время	1	1
61	в этом ряду	2	1
62	в одном из	1	1
63	с тем что	1	1
64	оно было освящено	1	1
65	можно сказать что	1	1
66	одного и того	1	1
67	что во время	1	1
68	как мы уже	4	1
69	друг с другом	4	1
70	как и в	1	1
71	потому что они	2	1
72	в совершенно ином	1	1
73	что и в	1	1
74	в данном случае	1	1
75	как мы видели	1	1
