N	3gram	Losev_Dial_4	RusskieA
1	в том что	9	18
2	в этот день	1	10
3	в этом случае	1	6
4	в данном случае	1	6
5	для того чтобы	5	6
6	т е в	2	5
7	и т д	15	5
8	о том что	1	4
9	в отличие от	1	3
10	не может быть	6	3
11	подобно тому как	4	3
12	только тогда когда	4	3
13	тем не менее	2	2
14	что иное как	8	2
15	же как и	1	2
16	на самом же	1	2
17	может быть только	1	2
18	не что иное	8	2
19	самом же деле	1	2
20	после того как	1	2
21	а именно в	1	2
22	кроме того в	1	2
23	ничего общего не	2	1
24	его уже не	1	1
25	не может не	1	1
26	того как все	1	1
27	иметь в виду	2	1
28	в виду что	1	1
29	т е не	2	1
30	того или другого	2	1
31	о том как	2	1
32	т е что	2	1
33	и то и	1	1
34	мы не имеем	2	1
35	из того что	1	1
36	а вместе с	1	1
37	так чтобы они	1	1
38	но это не	1	1
39	однако все эти	1	1
40	в своем исследовании	1	1
41	можно найти в	1	1
42	в это время	1	1
43	и что с	1	1
44	что с ними	1	1
45	это время не	1	1
46	не входит в	1	1
47	и в этом	3	1
48	в природе и	1	1
49	как и вообще	1	1
50	т е на	1	1
51	а именно с	1	1
52	дело в том	1	1
53	том что они	1	1
54	с другой стороны	1	1
55	т е как	1	1
56	в свою очередь	2	1
57	обряд и что	1	1
58	не имеет с	1	1
59	ни одна из	1	1
60	в течение всего	2	1
61	можно сказать что	1	1
62	на то что	3	1
63	совершенно очевидно что	1	1
64	вопрос о том	1	1
65	до некоторой степени	1	1
66	и если она	1	1
67	это и есть	4	1
68	общего не имеет	1	1
