N	3gram	Berdyaev_M_1	Tragedij
1	униженных и оскорбленных	1	16
2	в записках из	1	2
3	в отличие от	1	2
4	бросается в глаза	1	2
5	между этими двумя	1	2
6	о том что	1	2
7	и в самом	3	2
8	в том что	1	2
9	но он сам	1	1
10	и добро и	1	1
11	одно из самых	2	1
12	ивана карамазова в	1	1
13	него есть и	1	1
14	у достоевского в	1	1
15	у него нет	1	1
16	и не может	2	1
17	в своей книге	1	1
18	хотя бы и	2	1
19	что он не	2	1
20	и т п	1	1
21	может быть свободен	1	1
22	но если он	1	1
23	никогда не был	2	1
24	достоевский не раз	1	1
25	записках из подполья	1	1
26	чем он сам	1	1
27	во всяком случае	1	1
28	в высшей степени	2	1
29	в конце концов	2	1
30	не имеет для	1	1
31	достоевский никогда не	1	1
32	и не быть	1	1
33	по сравнению с	1	1
34	не могут быть	2	1
35	по природе своей	1	1
36	она все же	1	1
37	и петра верховенского	1	1
38	не может быть	17	1
39	но в конце	1	1
40	как и все	1	1
41	и вместе с	4	1
42	это и есть	4	1
43	бунт ивана карамазова	1	1
44	с того что	1	1
45	в самом деле	1	1
46	в братьях карамазовых	3	1
47	добро и зло	1	1
48	толстой и достоевский	3	1
