N	2gram	Tiupa_Hudo_2	VelikijI
1	и не	18	20
2	и в	28	16
3	так как	1	9
4	то что	6	9
5	еще не	3	8
6	к богу	1	8
7	что они	4	7
8	на земле	1	7
9	а не	14	7
10	и потому	1	7
11	к людям	2	6
12	человека и	3	6
13	на себя	3	5
14	но и	9	5
15	того что	1	5
16	хотя и	1	5
17	в мире	7	5
18	все это	3	5
19	как бы	5	5
20	к небытию	1	4
21	говорить о	2	4
22	свою личность	1	4
23	в его	11	4
24	нет у	1	4
25	к личности	1	4
26	в этом	13	4
27	что он	8	4
28	потому что	2	4
29	в нем	3	4
30	так и	8	4
31	что все	3	4
32	что не	2	4
33	как и	11	4
34	смысла жизни	1	4
35	в котором	6	4
36	в ней	3	4
37	и все	7	4
38	все что	3	4
39	от этого	1	3
40	и что	1	3
41	же ты	1	3
42	хотя бы	2	3
43	лишь в	2	3
44	с его	5	3
45	во всех	1	3
46	что и	4	3
47	счастье и	1	3
48	в том	15	3
49	но в	2	3
50	бы и	4	3
51	все эти	1	3
52	его во	1	3
53	за ним	1	3
54	от которого	2	3
55	в конце	1	3
56	их в	1	3
57	в своей	6	3
58	в жизни	8	3
59	в них	3	3
60	не было	6	3
61	в этих	3	3
62	нет ничего	2	3
63	всех людей	1	3
64	что я	2	3
65	не в	13	3
66	любовь к	1	3
67	тому что	4	3
68	но это	1	3
69	никогда не	5	3
70	личности и	2	3
71	первый раз	1	3
72	превращается в	4	3
73	и для	2	3
74	к тому	7	3
75	жизни и	6	3
76	что в	5	3
77	людей в	2	3
78	оно не	2	3
79	а между	4	2
80	и это	3	2
81	того чтобы	4	2
82	и то	2	2
83	любовь не	1	2
84	от своей	1	2
85	но мы	1	2
86	и сам	5	2
87	и т	4	2
88	можно было	3	2
89	людей есть	1	2
90	мы не	1	2
91	когда в	3	2
92	что от	1	2
93	с ним	7	2
94	и над	1	2
95	ее и	1	2
96	быть личностью	2	2
97	между тем	8	2
98	нет и	1	2
99	вслед за	4	2
100	не с	2	2
101	его к	1	2
102	только в	4	2
103	в себя	1	2
104	ничего и	1	2
105	уже не	10	2
106	не только	11	2
107	ненависти и	1	2
108	его и	2	2
109	превращаются в	1	2
110	когда прошло	1	2
111	для него	5	2
112	можешь и	1	2
113	личного и	1	2
114	не могли	1	2
115	и никогда	1	2
116	людей не	1	2
117	тем что	6	2
118	на том	1	2
119	не будет	2	2
120	это не	6	2
121	т д	2	2
122	а с	3	2
123	и люди	1	2
124	прежде всего	3	2
125	один из	2	2
126	заботы и	1	2
127	и тогда	2	2
128	эти люди	2	2
129	более чем	2	2
130	зачем же	1	2
131	является в	1	2
132	над ними	1	2
133	что было	3	2
134	да и	5	2
135	с тобой	1	2
136	о свободе	1	2
137	никогда еще	1	2
138	одна из	2	2
139	в бога	1	2
140	том что	19	2
141	для нас	3	2
142	и теперь	1	2
143	они и	2	2
144	но теперь	1	2
145	которым можно	1	2
146	людей и	1	2
147	давно уже	2	2
148	это все	1	2
149	а в	6	2
150	но не	4	2
151	в духе	2	2
152	всего в	1	2
153	эта новая	1	1
154	как мы	2	1
155	по закону	1	1
156	в сердце	1	1
157	для себя	6	1
158	в ее	18	1
159	над людьми	1	1
160	ни стало	1	1
161	этой тайны	1	1
162	которой так	1	1
163	жизни во	1	1
164	в словах	1	1
165	и говорит	1	1
166	роль в	2	1
167	то же	6	1
168	лет назад	1	1
169	человеческого бытия	2	1
170	бытие не	1	1
171	жизни о	1	1
172	о людях	1	1
173	истины и	1	1
174	это только	1	1
175	еще так	1	1
176	не была	1	1
177	с радостью	1	1
178	который был	2	1
179	снисхождение к	1	1
180	никогда и	1	1
181	я не	7	1
182	и ее	3	1
183	кто же	1	1
184	смерть никогда	1	1
185	как сам	1	1
186	личностью и	3	1
187	ее окончательно	1	1
188	идет за	1	1
189	и на	3	1
190	он был	1	1
191	после того	1	1
192	и который	1	1
193	со словами	1	1
194	бы то	1	1
195	любви к	2	1
196	других людей	1	1
197	жизни с	2	1
198	природы и	1	1
199	все в	1	1
200	этого бытия	1	1
201	к нему	3	1
202	только польза	1	1
203	но как	1	1
204	важный для	1	1
205	тайной и	1	1
206	если в	2	1
207	присутствует в	1	1
208	тогда как	7	1
209	что человек	1	1
210	себе и	1	1
211	бы в	1	1
212	не просто	1	1
213	и чем	1	1
214	что бы	1	1
215	во что	1	1
216	и уж	1	1
217	окончательно в	1	1
218	как в	5	1
219	бытия на	2	1
220	в своем	5	1
221	потребность в	2	1
222	известном смысле	1	1
223	что нет	1	1
224	не можешь	1	1
225	все же	2	1
226	но с	1	1
227	себя с	2	1
228	в двух	2	1
229	идет по	2	1
230	жизнь свою	1	1
231	с ними	3	1
232	было что	1	1
233	ли он	2	1
234	и так	1	1
235	со своей	2	1
236	в самом	5	1
237	в которой	1	1
238	что это	5	1
239	имеет своим	1	1
240	счастья и	1	1
241	теперь в	2	1
242	тоже не	2	1
243	в этой	5	1
244	же и	2	1
245	и счастье	1	1
246	не знающего	1	1
247	человеке и	1	1
248	я в	1	1
249	личности но	1	1
250	уже в	1	1
251	то и	4	1
252	в виде	2	1
253	по словам	1	1
254	и стало	1	1
255	слова не	1	1
256	или даже	1	1
257	только себя	1	1
258	о которой	2	1
259	искать в	1	1
260	любви в	1	1
261	вовсе не	2	1
262	не для	1	1
263	отношение к	2	1
264	так часто	1	1
265	у него	5	1
266	не случайно	10	1
267	и человеческого	1	1
268	на этом	2	1
269	личности то	1	1
270	ее на	2	1
271	человека в	4	1
272	тут не	1	1
273	на нее	1	1
274	бы это	1	1
275	для того	4	1
276	то ни	1	1
277	в состоянии	3	1
278	и с	6	1
279	ней и	1	1
280	мечту о	1	1
281	было не	1	1
282	а его	1	1
283	с другой	3	1
284	которого не	1	1
285	этом пути	1	1
286	его личности	1	1
287	в глазах	6	1
288	духе так	1	1
289	к миру	1	1
290	еще и	2	1
291	бытия в	1	1
292	и тем	1	1
293	люди что	1	1
294	говорит о	4	1
295	церкви и	1	1
296	она и	1	1
297	и опять	2	1
298	был в	1	1
299	на которых	1	1
300	человеческой жизни	6	1
301	не всегда	1	1
302	и уже	4	1
303	с которым	1	1
304	его ограниченности	1	1
305	жизнь в	2	1
306	для чего	1	1
307	десятками тысяч	1	1
308	своей личности	1	1
309	человека не	1	1
310	жизни но	1	1
311	теперь у	1	1
312	о чем	8	1
313	и было	2	1
314	и вновь	1	1
315	более глубокое	1	1
316	стороны в	1	1
317	дел и	1	1
318	какая же	1	1
319	него в	1	1
320	таким же	1	1
321	вместе с	2	1
322	так же	3	1
323	привязанность к	1	1
324	как это	7	1
325	что личность	2	1
326	человека к	1	1
327	от любви	1	1
328	то есть	1	1
329	личность о	1	1
330	мы в	1	1
331	в человеке	3	1
332	с такой	2	1
333	в одном	3	1
334	о личности	1	1
335	а потом	1	1
336	с негодованием	1	1
337	в тот	1	1
338	поскольку он	1	1
339	думать о	1	1
340	абсолютная истина	1	1
341	человек с	1	1
342	сама она	1	1
343	и смерти	1	1
344	освободиться от	1	1
345	с этой	1	1
346	раз и	1	1
347	любви и	3	1
348	в атмосфере	1	1
349	и нет	1	1
350	человека есть	1	1
351	и внешней	2	1
352	из нас	2	1
353	чтобы заставить	1	1
354	и другое	1	1
355	и остается	1	1
356	не по	2	1
357	тайна и	1	1
358	смысле и	1	1
359	людей от	1	1
360	конкретные формы	1	1
361	не существует	1	1
362	и от	2	1
363	старые и	1	1
364	найти в	1	1
365	и всегда	1	1
366	мира и	1	1
367	на тайне	1	1
368	ничего не	5	1
369	человек и	1	1
370	в разных	1	1
371	того как	2	1
372	жизни не	2	1
373	это постепенно	1	1
374	может быть	8	1
375	смыслу жизни	1	1
376	в третьем	1	1
377	как она	1	1
378	будто бы	3	1
379	и любовь	1	1
380	на него	3	1
381	к жизни	1	1
382	наших дней	1	1
383	жизни в	7	1
384	что на	3	1
385	в будущем	1	1
386	о своем	4	1
387	другой стороны	1	1
388	теперь когда	1	1
389	но все	1	1
390	есть и	3	1
391	к этому	1	1
392	тайны и	2	1
393	его с	1	1
