N	2gram	Medvedev_F_2	KulturaY
1	т е	26	38
2	и т	14	33
3	в том	11	30
4	и в	38	24
5	потому что	2	23
6	том что	2	21
7	т п	9	18
8	что в	7	17
9	того чтобы	3	17
10	для того	3	16
11	было бы	6	15
12	и пр	21	15
13	в этом	27	14
14	т д	5	14
15	точки зрения	8	14
16	может быть	23	13
17	все же	8	12
18	таким образом	20	12
19	языка в	9	12
20	и не	20	12
21	в его	10	12
22	не в	15	11
23	только в	6	11
24	хотя бы	6	10
25	в самом	16	10
26	не только	9	10
27	у нас	1	10
28	вовсе не	11	10
29	самом деле	8	9
30	язык как	8	9
31	русского языка	1	9
32	с точки	7	9
33	так как	4	9
34	если бы	5	9
35	о том	1	9
36	того что	3	9
37	прежде всего	15	9
38	то что	6	9
39	а только	2	8
40	уже не	7	8
41	то же	6	8
42	о языке	4	8
43	том чтобы	1	8
44	языка и	12	8
45	в языке	6	8
46	тем что	8	8
47	как раз	6	8
48	а не	6	8
49	не может	14	7
50	что язык	1	7
51	это не	2	7
52	в них	1	7
53	не менее	1	7
54	связи с	13	7
55	в области	3	7
56	так и	8	7
57	бы в	5	7
58	в качестве	2	7
59	с другой	3	7
60	с помощью	10	7
61	как бы	4	7
62	вместе с	6	7
63	только потому	1	6
64	мере в	1	6
65	мы имеем	1	6
66	зависимости от	3	6
67	в ней	6	6
68	однако не	3	6
69	в которой	2	6
70	все эти	6	6
71	при этом	9	6
72	можно было	1	6
73	что он	5	6
74	в какой	3	6
75	но и	13	6
76	именно в	5	6
77	что же	5	6
78	все это	3	6
79	другой стороны	4	6
80	например в	3	5
81	в зависимости	3	5
82	но не	2	5
83	не просто	2	5
84	что это	3	5
85	и с	9	5
86	рядом с	1	5
87	с тем	11	5
88	так сказать	3	5
89	по крайней	1	5
90	и его	21	5
91	к тому	4	5
92	в виду	2	5
93	к языку	1	5
94	с ним	2	5
95	между тем	2	5
96	крайней мере	1	5
97	язык в	2	5
98	всяком случае	5	5
99	содержание и	1	5
100	что не	4	5
101	языка как	11	5
102	в той	2	5
103	той мере	1	5
104	в результате	6	5
105	целый ряд	1	5
106	этом отношении	7	5
107	а в	6	5
108	речи и	3	5
109	во всяком	5	5
110	того же	1	4
111	это и	5	4
112	е как	2	4
113	и на	3	4
114	с его	11	4
115	что они	4	4
116	как в	4	4
117	в целом	3	4
118	из этих	3	4
119	роль в	3	4
120	на то	1	4
121	в нем	13	4
122	же касается	1	4
123	того или	4	4
124	в данном	1	4
125	тем не	1	4
126	речи в	1	4
127	тем самым	2	4
128	на язык	2	4
129	в русском	1	4
130	и является	1	4
131	следует что	3	4
132	в пределах	12	4
133	не на	1	4
134	что и	8	4
135	с ними	2	4
136	должен быть	1	4
137	так что	1	4
138	не есть	3	4
139	речь в	1	4
140	из них	4	4
141	со стороны	2	4
142	до сих	1	4
143	там где	4	4
144	с этим	5	4
145	в тех	2	4
146	по существу	7	4
147	слова и	7	4
148	сих пор	1	4
149	один из	2	4
150	же в	1	4
151	в этих	2	4
152	так же	1	4
153	и то	2	3
154	науки о	2	3
155	в первом	7	3
156	в котором	2	3
157	той же	1	3
158	в сущности	4	3
159	то это	3	3
160	языку как	2	3
161	только тогда	1	3
162	в общем	5	3
163	очевидно что	2	3
164	в истории	6	3
165	в связи	10	3
166	в своем	1	3
167	хотя и	3	3
168	его к	1	3
169	более или	1	3
170	что слово	1	3
171	в этой	6	3
172	с их	1	3
173	в себе	1	3
174	должна быть	5	3
175	состоит в	2	3
176	и может	3	3
177	он есть	1	3
178	несмотря на	1	3
179	должно быть	2	3
180	или менее	1	3
181	в их	6	3
182	представление о	2	3
183	даже в	2	3
184	тому что	2	3
185	значение слова	2	3
186	а а	1	3
187	только и	3	3
188	ли не	1	3
189	что оно	4	3
190	оно не	4	3
191	свою очередь	1	3
192	здесь не	4	3
193	сводится к	5	3
194	грамматических форм	2	3
195	ясно что	1	3
196	том как	1	3
197	это только	1	3
198	для этого	2	3
199	и здесь	3	3
200	социального общения	4	3
201	можно сказать	1	3
202	языке как	4	3
203	этом смысле	2	3
204	мы увидим	1	3
205	уже в	2	3
206	себе в	1	3
207	даже и	4	3
208	не было	6	3
209	в особенности	4	3
210	и даже	4	3
211	к которому	1	3
212	в свою	1	3
213	языка не	2	3
214	есть лишь	2	3
215	под влиянием	1	3
216	если не	1	3
217	в речи	1	3
218	как это	2	3
219	а если	1	3
220	смысле этого	1	3
221	этого слова	1	3
222	слова как	2	3
223	потребность в	1	3
224	нам не	1	3
225	в системе	1	3
226	была бы	3	3
227	или иного	5	3
228	как на	1	3
229	в таком	2	3
230	они не	4	3
231	гораздо более	1	3
232	можно говорить	2	2
233	одним из	1	2
234	эти случаи	1	2
235	пишет он	1	2
236	и есть	1	2
237	по преимуществу	5	2
238	все те	1	2
239	что если	1	2
240	этого термина	2	2
241	которое в	1	2
242	иное как	1	2
243	быть заменено	1	2
244	что его	1	2
245	на самом	3	2
246	значение и	3	2
247	если в	3	2
248	идет о	2	2
249	что история	1	2
250	как социальное	1	2
251	и как	3	2
252	увидим что	1	2
253	но в	4	2
254	от этого	3	2
255	так или	1	2
256	чуть ли	1	2
257	для которых	1	2
258	но ведь	3	2
259	с языком	1	2
260	роли в	1	2
261	больше всего	1	2
262	он не	6	2
263	но все	3	2
264	в каждом	1	2
265	как они	4	2
266	лишь в	7	2
267	и мы	1	2
268	связанная с	1	2
269	и тем	2	2
270	ни в	2	2
271	для них	3	2
272	все равно	1	2
273	как об	1	2
274	в слове	5	2
275	как и	9	2
276	как таковой	3	2
277	и еще	1	2
278	нужно было	2	2
279	но если	1	2
280	и при	1	2
281	в своей	7	2
282	языка если	2	2
283	не столько	4	2
284	вопрос о	1	2
285	и более	2	2
286	и под	1	2
287	по себе	7	2
288	до конца	2	2
289	иной раз	1	2
290	в то	5	2
291	как о	4	2
292	не имеет	2	2
293	ничего не	4	2
294	в лингвистической	1	2
295	и именно	1	2
296	тесно примыкают	1	2
297	например не	1	2
298	был в	1	2
299	никогда не	2	2
300	же время	5	2
301	на те	1	2
302	не является	3	2
303	не могут	7	2
304	и должно	5	2
305	во все	1	2
306	примыкают к	1	2
307	в язык	1	2
308	если мы	5	2
309	и сами	1	2
310	в структуре	1	2
311	в собственном	1	2
312	исторической жизни	1	2
313	чтобы дать	1	2
314	было в	2	2
315	подойти к	2	2
316	когда в	1	2
317	смысле и	1	2
318	языка который	3	2
319	при том	1	2
320	о нем	1	2
321	это было	3	2
322	выводов из	1	2
323	во втором	7	2
324	должны быть	1	2
325	а именно	2	2
326	в современной	1	2
327	как например	2	2
328	слово с	1	2
329	любовь к	1	2
330	тот же	1	2
331	языка на	1	2
332	сторону от	1	2
333	внутренняя форма	1	2
334	же и	2	2
335	в сторону	4	2
336	конечно не	1	2
337	звуков и	1	2
338	в большинстве	4	2
339	то и	3	2
340	был бы	1	2
341	наука о	1	2
342	общения и	2	2
343	это по	1	2
344	или иначе	1	2
345	в каком	1	2
346	и против	1	2
347	на этот	1	2
348	по своим	1	2
349	е то	1	2
350	социальной жизни	1	2
351	превращается в	2	2
352	а на	1	2
353	о чем	1	2
354	именно так	1	2
355	может иметь	1	2
356	и а	1	2
357	мы говорим	4	2
358	к своему	1	2
359	на эту	1	2
360	факты и	1	2
361	в контексте	1	2
