N	3gram	Losev_Vlad_1	Sotsiolo
1	в том что	7	2
2	дело не в	1	2
3	в конце концов	3	2
4	но только в	1	1
5	это и есть	1	1
6	в настоящее время	1	1
7	и в этом	1	1
8	по существу дела	1	1
9	только то что	1	1
10	и потому его	1	1
11	этом не было	1	1
12	кто не способен	1	1
13	что он говорит	1	1
14	в то же	4	1
15	а с другой	1	1
16	в этой области	1	1
17	в этом не	1	1
18	в связи с	1	1
19	на первый план	2	1
20	а в том	1	1
21	то же время	4	1
22	главным образом в	2	1
23	и в то	2	1
24	с одной стороны	1	1
25	выдвигает на первый	1	1
26	во всяком случае	2	1
