N	2gram	Bakhtin_fo_2	StatiiOP
1	и в	46	44
2	в том	10	36
3	что в	5	30
4	и т	14	30
5	том что	4	29
6	т д	3	21
7	в этом	22	21
8	вовсе не	13	19
9	то что	7	18
10	не только	11	18
11	а в	3	17
12	о том	4	17
13	было бы	2	17
14	и не	9	16
15	а не	4	16
16	может быть	7	15
17	в данном	2	14
18	как в	4	13
19	не в	9	12
20	у нас	2	11
21	точки зрения	10	11
22	того чтобы	8	11
23	в этой	2	11
24	самом деле	1	11
25	но и	9	10
26	для того	8	10
27	только в	11	10
28	но в	10	10
29	что он	3	10
30	как и	8	9
31	т п	11	9
32	того что	3	9
33	в его	8	9
34	в отношении	2	9
35	если бы	1	9
36	в то	5	9
37	также и	4	9
38	с другой	2	9
39	так и	7	9
40	все же	6	8
41	не может	2	8
42	во всех	11	8
43	например в	1	8
44	с точки	8	8
45	и его	12	8
46	это не	2	8
47	из них	8	8
48	таким образом	3	7
49	что они	4	7
50	этом отношении	2	7
51	прежде всего	14	7
52	сих пор	2	7
53	до сих	2	7
54	в самом	1	7
55	сказать что	1	7
56	так например	1	7
57	по поводу	1	7
58	другой стороны	1	7
59	и об	1	7
60	на эти	1	7
61	во всяком	2	6
62	данном случае	1	6
63	так что	4	6
64	в своей	1	6
65	для него	3	6
66	потому что	8	6
67	именно в	2	6
68	на самом	1	6
69	что и	3	6
70	его эпохи	1	6
71	из этих	4	6
72	в той	2	6
73	дело в	1	6
74	но это	2	6
75	все эти	5	5
76	жизни и	8	5
77	так же	2	5
78	в нем	5	5
79	в которых	3	5
80	там где	2	5
81	данном отношении	1	5
82	вплоть до	2	5
83	совершенно не	1	5
84	никогда не	6	5
85	и даже	3	5
86	несколько примеров	1	5
87	тем что	3	5
88	то же	8	5
89	в котором	4	5
90	могут быть	2	5
91	такой же	1	5
92	все это	6	5
93	и то	1	5
94	так как	6	5
95	и по	3	5
96	является не	1	4
97	в которой	1	4
98	в частности	5	4
99	же время	4	4
100	вопрос о	1	4
101	не было	3	4
102	как это	2	4
103	бы и	1	4
104	но все	1	4
105	в ее	1	4
106	том как	3	4
107	не имеет	1	4
108	в качестве	3	4
109	это и	1	4
110	времени не	1	4
111	и что	1	4
112	еще более	4	4
113	в основу	1	4
114	представление о	2	4
115	тем более	3	4
116	как бы	10	4
117	не является	3	3
118	не значит	1	3
119	еще не	6	3
120	п в	1	3
121	в другом	3	3
122	должны быть	1	3
123	же это	1	3
124	видно что	1	3
125	в двух	2	3
126	того же	3	3
127	и тем	1	3
128	и для	9	3
129	для себя	1	3
130	должна быть	1	3
131	что не	1	3
132	не по	1	3
133	конечно и	1	3
134	и так	2	3
135	и вообще	1	3
136	связанные с	5	3
137	в тех	1	3
138	в конце	2	3
139	в виде	1	3
140	а на	2	3
141	эпохи и	2	3
142	и с	6	3
143	то в	2	3
144	с одной	2	3
145	но не	5	3
146	и только	2	3
147	ни в	1	3
148	с этой	4	3
149	по этому	1	3
150	в таком	1	3
151	между тем	1	3
152	лишь в	2	3
153	в чем	1	3
154	с этим	5	3
155	да и	1	3
156	в результате	1	3
157	в истории	4	3
158	он был	2	3
159	об этом	1	3
160	в основе	6	3
161	в каждом	1	3
162	во время	10	3
163	внимание на	1	3
164	точку зрения	1	3
165	тому что	1	3
166	его жизни	4	3
167	ни с	1	3
168	не являются	1	3
169	этих двух	1	3
170	о значении	1	3
171	в очень	1	3
172	значит что	2	3
173	на этот	1	3
174	чем в	1	3
175	в ней	1	3
176	должен быть	1	3
177	тем же	2	3
178	очень часто	2	3
179	в уста	2	3
180	без всякой	1	3
181	эпохи как	1	3
182	может не	1	2
183	не могла	2	2
184	так называемой	1	2
185	не знает	2	2
186	стороны в	1	2
187	есть в	1	2
188	в наших	1	2
189	времени но	1	2
190	говорить о	2	2
191	но он	2	2
192	что то	1	2
193	оказывается в	1	2
194	от этого	2	2
195	больше чем	1	2
196	что как	1	2
197	на свой	1	2
198	неизвестно кем	1	2
199	время как	1	2
200	еще и	1	2
201	и все	6	2
202	и их	4	2
203	более что	2	2
204	это вовсе	1	2
205	зато в	1	2
206	числе и	2	2
207	в себе	4	2
208	большое значение	2	2
209	как можно	3	2
210	и во	6	2
211	при этом	6	2
212	то есть	10	2
213	мы не	1	2
214	бы не	1	2
215	нисколько не	1	2
216	если в	2	2
217	в случае	1	2
218	другом месте	2	2
219	нет даже	1	2
220	и те	1	2
221	зрения в	1	2
222	если не	2	2
223	со всеми	2	2
224	его в	6	2
225	совсем не	2	2
226	по своей	1	2
227	кем и	1	2
228	далее в	2	2
229	отношение к	3	2
230	свидетельствует о	1	2
231	отношения к	4	2
232	дело с	1	2
233	истории литературы	1	2
234	в этих	3	2
235	этом случае	2	2
236	за пределы	1	2
237	в числе	1	2
238	и сам	1	2
239	без всяких	1	2
240	на него	1	2
241	которые в	1	2
242	и речи	1	2
243	а как	1	2
244	идет о	1	2
245	следовало бы	1	2
246	что во	1	2
247	что на	3	2
248	только с	1	2
249	в сущности	2	2
250	что от	1	2
251	подчеркнуть что	1	2
252	что до	1	2
253	и потому	2	2
254	в эпоху	4	2
255	мы имеем	2	2
256	без всякого	2	2
257	ни один	1	2
258	между прочим	1	2
259	одной стороны	1	2
260	этого слова	1	2
261	как более	1	2
262	всех этих	7	2
