N	3gram	Propp_Russ_1	TeoriaLi
1	по отношению к	1	8
2	в отличие от	1	7
3	в том что	15	6
4	в данном случае	1	5
5	состоит в том	8	4
6	и а а	1	3
7	тем не менее	3	3
8	можно сказать что	1	3
9	в свою очередь	2	3
10	и того же	1	2
11	что в основе	1	2
12	с точки зрения	3	2
13	в противном случае	1	2
14	значении этого слова	1	2
15	тогда как в	1	2
16	в равной степени	2	2
17	одного и того	1	2
18	как и в	1	2
19	том что в	6	1
20	в е годы	2	1
21	и потому что	2	1
22	на себя внимание	1	1
23	былинах и в	1	1
24	подобно тому как	1	1
25	в настоящее время	3	1
26	никак не может	1	1
27	как это имеет	2	1
28	в этом случае	5	1
29	может быть назван	1	1
30	в таком случае	1	1
31	в целом ряде	1	1
32	можно говорить о	1	1
33	как это ни	1	1
34	точно так же	1	1
35	может быть и	2	1
36	об этом так	1	1
37	здесь мы имеем	1	1
38	обращает на себя	1	1
39	в своего рода	1	1
40	это имеет место	2	1
41	и как бы	1	1
42	в связи с	4	1
43	так же как	1	1
44	только о том	1	1
45	в былинах и	1	1
46	в то время	1	1
47	на две части	1	1
48	о том что	4	1
49	между тем это	1	1
50	место в текстах	1	1
51	в этих случаях	1	1
52	в большинстве случаев	2	1
53	как видно из	1	1
54	по своему происхождению	1	1
