N	3gram	Tiupa_Disk_2	FransuaR
1	в то же	4	9
2	то же время	5	9
3	в том что	6	6
4	в этом отношении	4	5
5	в том числе	1	4
6	а также и	1	4
7	до известной степени	1	4
8	и прежде всего	2	3
9	можно говорить о	1	2
10	в большинстве случаев	1	2
11	с миром в	1	2
12	в другом месте	1	2
13	между человеком и	1	2
14	жизни и смерти	1	2
15	здесь как и	1	2
16	в отличие от	12	2
17	внешнее и внутреннее	1	2
18	можно сказать что	1	2
19	существенную роль в	1	2
20	том числе и	1	2
21	дело в том	2	2
22	с точки зрения	2	2
23	то есть в	1	2
24	в данном случае	6	2
25	не может быть	3	2
26	о том что	3	1
27	о чем не	1	1
28	так и в	3	1
29	при всей ее	1	1
30	одной и той	1	1
31	том что в	1	1
32	же время и	1	1
33	данном случае не	1	1
34	включает в себя	1	1
35	и смертью в	1	1
36	и в частности	1	1
37	в это время	1	1
38	на некоторое время	1	1
39	в полной мере	1	1
40	и в то	1	1
41	как и в	5	1
42	между вещами и	1	1
43	в себя и	1	1
44	этом отношении на	1	1
45	в предыдущей главе	1	1
46	и того же	2	1
47	и т.п в	1	1
48	одном и том	1	1
49	ни о чем	1	1
50	по отношению к	4	1
51	все три момента	1	1
52	все то что	1	1
53	в значительной степени	1	1
54	и той же	1	1
55	той или иной	3	1
56	в конечном счете	1	1
57	и том же	1	1
58	одного и того	2	1
59	в самом деле	1	1
60	в основе своей	2	1
61	подход к жизни	1	1
62	вещами и ценностями	1	1
63	то что в	1	1
64	становления и роста	1	1
65	она тут же	1	1
66	но это не	1	1
67	друг от друга	1	1
68	потому что в	1	1
69	в той или	1	1
70	тем не менее	1	1
71	один из важнейших	1	1
72	и т.п для	1	1
73	жизни а также	2	1
74	между тем как	1	1
75	не может так	1	1
