N	3gram	Medvedev_S_1	Psycholo
1	в том что	2	9
2	во всяком случае	1	6
3	не в том	2	5
4	с одной стороны	1	5
5	в конце концов	2	3
6	по самому существу	1	3
7	в конечном счете	1	3
8	в настоящее время	1	2
9	в том и	1	2
10	то же самое	1	2
11	не было бы	1	2
12	благодаря тому что	1	2
13	а в том	1	2
14	в результате его	1	2
15	сама по себе	1	2
16	не может не	1	1
17	но как и	1	1
18	выходит за пределы	1	1
19	заключаться только в	1	1
20	то что в	1	1
21	этих вопросов в	1	1
22	в этой области	1	1
23	и в этом	1	1
24	это зависит от	1	1
25	дело не в	2	1
26	это и есть	1	1
27	в связи с	1	1
28	только то что	1	1
29	зависит от окружающих	1	1
