N	2gram	Savitsky_E_1	Problema
1	и не	14	28
2	то есть	6	27
3	не только	18	24
4	только в	9	23
5	в виде	5	22
6	вовсе не	6	21
7	и в	37	20
8	в том	11	20
9	все эти	1	16
10	то что	6	15
11	потому что	3	15
12	точки зрения	23	14
13	у нас	1	14
14	той или	4	14
15	было бы	8	14
16	но и	14	14
17	также и	7	13
18	не в	5	13
19	или иной	4	13
20	в нашем	1	12
21	в себе	9	12
22	том что	6	12
23	не есть	2	12
24	с точки	17	11
25	по себе	4	11
26	прежде всего	9	11
27	как будто	2	11
28	отнюдь не	9	10
29	и его	1	10
30	не менее	1	10
31	так и	10	10
32	в качестве	14	10
33	при помощи	2	10
34	это значит	2	10
35	не является	3	10
36	есть нечто	1	9
37	в этом	12	9
38	может быть	6	9
39	и даже	6	9
40	но в	14	8
41	таким образом	2	8
42	если бы	2	8
43	значит что	1	8
44	в той	5	8
45	в результате	3	8
46	и все	2	8
47	во всяком	3	8
48	то же	15	7
49	мы не	4	7
50	в ней	4	7
51	и с	2	7
52	хотя бы	15	7
53	и тем	3	7
54	есть в	2	7
55	с другой	7	7
56	именно в	4	7
57	сказать что	4	7
58	а не	2	7
59	и потому	5	7
60	есть не	2	6
61	при этом	1	6
62	всех этих	1	6
63	об этом	1	6
64	как и	7	6
65	в данном	3	6
66	но если	5	6
67	в каком	4	6
68	и вообще	1	6
69	а также	7	6
70	по своему	7	6
71	но это	1	6
72	и от	3	6
73	для нас	4	6
74	другой стороны	2	6
75	в таком	3	6
76	но не	5	5
77	как в	3	5
78	хотя и	2	5
79	и если	2	5
80	в нем	1	5
81	в них	3	5
82	в этих	2	5
83	только и	1	5
84	когда мы	1	5
85	и о	1	5
86	в ее	8	5
87	данном случае	2	5
88	о том	3	5
89	можно сказать	4	5
90	и можно	2	5
91	жизни и	2	5
92	уже не	1	5
93	если мы	1	5
94	так как	7	5
95	то и	1	5
96	человеческой жизни	1	5
97	не может	9	5
98	вместе с	2	5
99	так же	9	5
100	в смысле	9	5
101	или в	2	5
102	и т	1	4
103	в железной	1	4
104	но даже	4	4
105	что его	1	4
106	кроме того	1	4
107	и наконец	2	4
108	уже в	1	4
109	в этой	2	4
110	с тем	3	4
111	несмотря на	4	4
112	в своей	8	4
113	всяком случае	3	4
114	в одном	2	4
115	в отношении	32	4
116	тем самым	5	4
117	не имеет	4	4
118	в разных	1	4
119	в самой	1	4
120	можно было	3	4
121	с ним	1	4
122	и во	2	4
123	во всех	6	4
124	и только	3	4
125	тем более	4	4
126	одной из	5	4
127	и ее	1	4
128	что не	1	4
129	с этим	2	4
130	как бы	6	4
131	однако не	1	4
132	тех или	1	4
133	и для	3	4
134	же в	2	4
135	а в	2	4
136	в то	16	4
137	в какой	2	4
138	и этот	2	3
139	то это	1	3
140	в каждой	1	3
141	и на	6	3
142	но как	2	3
143	в истории	2	3
144	поскольку они	2	3
145	в своем	14	3
146	и к	3	3
147	бы и	3	3
148	вообще не	3	3
149	т д	1	3
150	или иных	1	3
151	но все	1	3
152	того или	4	3
153	с другими	2	3
154	этом смысле	3	3
155	из них	3	3
156	в жизни	1	3
157	как это	4	3
158	в предыдущем	4	3
159	связи с	1	3
160	если и	1	3
161	вплоть до	1	3
162	и другое	1	3
163	правда в	1	3
164	на себе	1	3
165	мы все	1	3
166	можно ли	3	3
167	казалось бы	1	3
168	уже и	3	3
169	в области	11	3
170	к тому	8	3
171	себе в	3	3
172	как мы	5	3
173	с собой	1	3
174	не выходит	1	3
175	к нему	2	3
176	в его	2	3
177	что и	3	3
178	для всех	1	3
179	конечно не	1	3
180	в начале	1	3
181	в сознании	1	3
182	только к	2	3
183	для него	1	3
184	мы можем	3	3
185	тем что	3	3
186	для того	6	3
187	не было	1	3
188	которые как	1	3
189	если не	1	3
190	в связи	1	3
191	нет ничего	1	3
192	ни на	3	3
193	независимо от	4	3
194	или иного	4	3
195	а если	1	3
196	это есть	1	3
197	и более	2	3
198	что мы	1	3
199	между прочим	7	3
200	и как	2	3
201	мы должны	2	3
202	не говоря	2	3
203	что в	21	3
204	чтобы не	1	2
205	мы здесь	1	2
206	и то	2	2
207	или к	1	2
208	нам кажется	7	2
209	по преимуществу	2	2
210	они могут	1	2
211	время как	1	2
212	говорить о	1	2
213	которое в	2	2
214	значительной мере	1	2
215	между собой	2	2
216	говоря уже	2	2
217	нам представляется	1	2
218	столь же	5	2
219	то мы	1	2
220	за пределы	1	2
221	относится к	1	2
222	что во	1	2
223	стороны и	6	2
224	все же	1	2
225	и где	1	2
226	не являются	1	2
227	более или	1	2
228	то в	4	2
229	что это	2	2
230	в известном	3	2
231	что к	2	2
232	тому же	1	2
233	на его	1	2
234	мы совершенно	1	2
235	он не	2	2
236	не к	2	2
237	в корне	1	2
238	с ее	1	2
239	на земле	1	2
240	как они	1	2
241	не будет	3	2
242	каком смысле	1	2
243	смотреть на	1	2
244	весь мир	1	2
245	но именно	2	2
246	кажется что	2	2
