N	3gram	Propp_Russ_1	Problemy
1	с точки зрения	3	13
2	по отношению к	1	8
3	в том что	15	6
4	и в этом	1	5
5	на самом деле	1	4
6	подобно тому как	1	3
7	и т п	1	3
8	потому что она	1	3
9	это не значит	2	3
10	в этом отношении	1	3
11	во всяком случае	1	3
12	но все же	2	2
13	целом ряде других	1	2
14	но это не	2	2
15	как можно больше	1	2
16	т е в	1	2
17	в данном случае	1	2
18	не только в	1	2
19	в целом ряде	1	2
20	в большинстве случаев	2	2
21	все же не	2	2
22	можно было бы	1	2
23	приводит его к	1	1
24	потому что он	1	1
25	а следовательно и	1	1
26	хотя и не	1	1
27	же как и	1	1
28	в свою очередь	2	1
29	и наконец в	1	1
30	так как в	1	1
31	в последний день	2	1
32	в этом случае	5	1
33	может быть назван	1	1
34	том что это	1	1
35	и его жизнь	1	1
36	тому что в	1	1
37	с таким же	1	1
38	и в других	4	1
39	но и на	2	1
40	в себе и	1	1
41	точно так же	1	1
42	на этот вопрос	1	1
43	как мы уже	1	1
44	в противном случае	1	1
45	но и как	1	1
46	всяком случае не	1	1
47	может быть и	2	1
48	и могут быть	1	1
49	так же как	1	1
50	не потому что	1	1
51	материал у него	1	1
52	ни в одном	1	1
53	деле это не	1	1
54	в один из	1	1
55	как будто бы	1	1
56	и др для	1	1
57	не только как	1	1
58	о том что	4	1
59	друг к другу	2	1
60	независимо от того	1	1
61	в одном из	1	1
62	в то время	1	1
63	ни одна из	1	1
64	можно сказать что	1	1
65	в настоящее время	3	1
66	или может быть	1	1
67	к тому что	4	1
68	друг с другом	1	1
69	быть не может	1	1
70	что и в	1	1
71	и т д	9	1
72	как мы видели	1	1
