N	3gram	Bakhtin_Pr_3	Morfolog
1	мы видим что	1	9
2	в связи с	1	8
3	не может быть	1	8
4	по отношению к	1	4
5	с точки зрения	2	4
6	а также и	3	4
7	с другой стороны	1	4
8	тем не менее	2	4
9	как и в	3	3
10	в обоих случаях	1	2
11	состоит в том	1	2
12	более или менее	3	2
13	в собственном смысле	2	2
14	может быть и	2	2
15	в большинстве случаев	4	2
16	в том что	3	2
17	и может быть	1	1
18	можно себе представить	1	1
19	хотя и не	1	1
20	по существу и	1	1
21	здесь перед нами	1	1
22	это было бы	1	1
23	что иное как	1	1
24	иногда же она	1	1
25	нужно заметить что	1	1
26	друг друга это	1	1
27	следует сказать что	1	1
28	до сих пор	5	1
29	во всей своей	1	1
30	для этой цели	1	1
31	со всеми другими	2	1
32	прежде чем перейти	1	1
33	ее по существу	1	1
34	только в тех	1	1
35	можно было бы	1	1
36	не то что	3	1
37	и др здесь	1	1
38	чем перейти к	1	1
39	в применении к	1	1
40	это один из	1	1
41	в целом и	1	1
42	могут быть названы	1	1
43	они играют в	1	1
44	все более и	1	1
45	во всяком случае	1	1
46	не вызывает никаких	1	1
47	потому что они	1	1
48	под углом зрения	3	1
49	есть не что	1	1
50	друг к другу	1	1
51	то же время	5	1
52	все эти явления	1	1
53	о том что	2	1
54	с самого начала	3	1
55	он ничего не	1	1
56	той или иной	1	1
57	можно сказать что	4	1
58	или во всяком	1	1
59	в то же	5	1
60	более и более	1	1
61	типа а не	1	1
62	не что иное	1	1
63	во всех случаях	1	1
64	два или три	2	1
65	здесь как и	1	1
66	что он первый	1	1
