N	3gram	Kanaev_Sov_1	Russkaja
1	друг с другом	2	14
2	то же время	1	10
3	в то же	1	10
4	с точки зрения	5	9
5	в том что	1	7
6	на самом деле	1	6
7	во всяком случае	2	6
8	до сих пор	1	5
9	бы то ни	1	4
10	в том случае	1	4
11	не может быть	4	4
12	не может не	3	3
13	в этом случае	1	3
14	можно было бы	1	3
15	и не может	1	3
16	в данном случае	1	3
17	той или иной	1	3
18	в настоящее время	2	2
19	тот факт что	1	2
20	в этом направлении	1	2
21	по самому своему	1	2
22	она не может	1	2
23	что же это	3	1
24	всюду где это	1	1
25	уже знаем что	1	1
26	знаем что это	1	1
27	дело в том	1	1
28	в свою очередь	2	1
29	по отношению к	1	1
30	это то же	1	1
31	в самом деле	1	1
32	то же самое	2	1
33	мы уже знаем	1	1
34	данном случае и	1	1
35	заключает в себе	1	1
36	на этот вопрос	1	1
37	тот или иной	1	1
38	но мы знаем	1	1
39	не может но	1	1
40	по крайней мере	1	1
41	не подлежит сомнению	2	1
42	ни одна не	1	1
43	не подлежит никакому	1	1
44	где это только	1	1
45	никакому сомнению что	1	1
46	это только возможно	1	1
47	то ни было	1	1
48	подлежит никакому сомнению	1	1
49	и в этом	1	1
50	прежде всего необходимо	1	1
51	всяком случае не	1	1
52	самому своему существу	1	1
53	в связи с	1	1
54	так же как	1	1
55	и все же	1	1
56	с самого начала	3	1
57	но все же	1	1
58	мы не знаем	1	1
59	но мы уже	1	1
60	тем не менее	2	1
61	и прежде всего	1	1
62	том случае когда	1	1
