N	3gram	Nazirov_Tr_1	slovoVRo
1	и т п	1	23
2	то же время	5	12
3	в то же	5	12
4	во всяком случае	1	5
5	но в то	2	4
6	хотя бы и	1	3
7	в данном случае	2	3
8	так и в	3	3
9	а между тем	1	2
10	в известной степени	1	2
11	в этом случае	1	2
12	и не может	1	2
13	и в этом	1	2
14	не могут быть	1	2
15	к тому что	1	2
16	в виду не	1	1
17	не только по	1	1
18	же время он	1	1
19	слова в виде	1	1
20	в своей книге	1	1
21	в отличие от	2	1
22	и в истории	1	1
23	у него нет	1	1
24	отцы и дети	2	1
25	но у него	1	1
26	и в частности	2	1
27	могут быть отнесены	1	1
28	может быть не	1	1
29	но и на	1	1
30	обстоит дело с	1	1
31	не может быть	1	1
32	тем не менее	1	1
33	о том что	2	1
34	и что же?	1	1
35	и потому как	1	1
36	у него есть	1	1
37	в одном из	1	1
38	с самого начала	1	1
39	не только не	1	1
40	до xx века	1	1
41	в том что	2	1
42	друг друга и	1	1
43	как и в	1	1
44	быть отнесены к	1	1
