N	2gram	Medvedev_S_1	Istorich
1	и в	3	28
2	может быть	2	25
3	не может	1	15
4	никогда не	1	14
5	мы должны	1	13
6	для нас	3	13
7	то же	2	12
8	не только	3	12
9	что в	2	12
10	только в	2	11
11	мы не	1	10
12	все же	1	10
13	и что	2	10
14	что он	1	10
15	но и	2	10
16	прежде всего	1	10
17	не в	3	9
18	так и	1	9
19	о том	1	9
20	то что	2	9
21	в том	5	9
22	и не	1	9
23	в этом	5	8
24	что это	1	8
25	таким образом	2	8
26	это не	1	7
27	еще не	2	7
28	том что	2	7
29	было бы	2	7
30	в этих	1	7
31	а в	1	7
32	в этой	1	6
33	его в	1	6
34	для изучения	1	6
35	с другой	1	6
36	должна быть	2	5
37	что она	1	5
38	в силу	1	5
39	по существу	2	5
40	дело не	2	5
41	в его	3	5
42	но не	1	5
43	к которому	2	5
44	между собой	1	4
45	все эти	1	4
46	как и	1	4
47	даже в	1	4
48	связи с	1	4
49	с одной	1	4
50	один из	1	4
51	одной стороны	1	4
52	как будто	2	4
53	все это	7	4
54	в связи	1	4
55	хотя бы	1	4
56	они не	1	4
57	по отношению	2	3
58	перед нами	1	3
59	и по	1	3
60	же не	1	3
61	в котором	1	3
62	по себе	1	3
63	в то	1	3
64	же самое	1	3
65	для этого	1	3
66	и должно	1	3
67	связь между	1	3
68	и его	1	3
69	или даже	2	3
70	тем что	1	3
71	именно в	1	3
72	мы еще	1	3
73	отношению к	2	3
74	и потому	1	2
75	когда мы	1	2
76	столь же	1	2
77	и как	1	2
78	в целом	1	2
79	право на	1	2
80	и мы	2	2
81	что данный	1	2
82	на первый	1	2
83	только для	1	2
84	в таких	1	2
85	в области	1	2
86	это происходит	1	2
87	том как	1	2
88	с ним	1	2
89	ничего не	1	2
90	не выходит	1	2
91	между тем	1	2
92	в конечном	1	2
93	и только	3	2
94	именно на	1	2
95	вовсе не	1	2
96	даже не	1	2
97	еще и	1	2
98	а с	1	2
99	на этот	1	2
100	основной вопрос	1	2
101	зависит от	1	2
102	вступает в	1	2
103	конечно не	1	2
104	как бы	2	2
105	бы в	1	2
106	не дает	1	2
107	между ними	1	2
108	в виде	1	2
109	в частности	2	2
110	это и	2	1
111	и есть	1	1
112	тем же	1	1
113	те же	1	1
114	противном случае	1	1
115	нашей науки	2	1
116	время в	1	1
117	и связь	1	1
118	ними в	1	1
119	себе из	1	1
120	но как	1	1
121	только тогда	1	1
122	нам право	1	1
123	отнюдь не	1	1
124	изучения и	1	1
125	метод и	2	1
126	дает нам	1	1
127	в противном	1	1
128	вопросом о	1	1
129	но ведь	3	1
130	и будет	1	1
131	главным образом	2	1
132	в них	1	1
133	на основании	1	1
134	со своими	1	1
135	между собою	1	1
136	в своей	1	1
137	быть не	1	1
138	тому что	1	1
139	исследование и	1	1
140	тогда и	1	1
141	ли не	1	1
142	бы он	1	1
143	только то	1	1
144	образом в	1	1
145	никак не	1	1
146	может не	1	1
147	происходит не	1	1
148	должно было	1	1
149	и история	1	1
150	и ценное	1	1
151	не мешает	1	1
152	всего должна	1	1
153	существу своему	1	1
154	не из	1	1
155	в конце	2	1
156	у него	1	1
157	но она	1	1
158	нужно было	2	1
159	и затем	1	1
160	точке зрения	1	1
161	что таким	1	1
162	не было	1	1
163	в любой	1	1
164	его слишком	1	1
165	что эти	1	1
166	и более	1	1
167	она может	2	1
168	в результате	2	1
169	именно такого	1	1
170	или нет	1	1
171	пришлось бы	1	1
172	или не	1	1
173	только как	2	1
174	по необходимости	1	1
175	еще недостаточно	1	1
176	во всяком	1	1
177	этого и	1	1
