N	2gram	Kanaev_Sov_1	Istorich
1	и в	7	26
2	так же	1	18
3	не только	4	15
4	может быть	12	14
5	что в	2	14
6	же как	1	13
7	между двумя	1	12
8	и пр	2	11
9	таким образом	11	10
10	и его	1	10
11	все же	3	9
12	его в	1	9
13	так как	4	9
14	и не	6	9
15	то же	3	8
16	мы знаем	2	8
17	а в	4	8
18	мы имеем	1	7
19	в этом	7	7
20	он не	1	7
21	как и	6	7
22	знаем что	2	7
23	их в	4	7
24	совершенно так	1	6
25	еще не	3	6
26	как он	3	6
27	мы видели	4	6
28	таким же	1	6
29	мы можем	6	6
30	могут быть	2	6
31	в дальнейшем	4	6
32	к нему	1	6
33	мы видим	2	6
34	а не	3	6
35	не может	17	6
36	вместе с	4	6
37	это и	1	5
38	мы уже	1	5
39	но не	1	5
40	но в	3	5
41	уже не	2	5
42	и только	1	5
43	и по	2	5
44	но все	2	5
45	в другом	1	5
46	это не	4	5
47	не в	3	5
48	ничего не	6	5
49	и у	1	5
50	как мы	2	5
51	и что	2	5
52	в его	2	5
53	в одном	3	5
54	у него	2	5
55	до сих	1	5
56	в некоторых	2	5
57	из которых	2	5
58	сих пор	1	5
59	мы должны	4	5
60	к этому	1	5
61	вопрос о	4	4
62	дает нам	2	4
63	в этот	1	4
64	он в	3	4
65	но эта	1	4
66	так в	1	4
67	о том	1	4
68	и даже	2	4
69	вовсе не	1	4
70	с другой	1	4
71	такое же	1	4
72	а на	2	4
73	все что	1	4
74	что иное	1	3
75	и действительно	1	3
76	из этих	2	3
77	видели что	3	3
78	все эти	5	3
79	одном случае	1	3
80	и если	1	3
81	на его	2	3
82	что она	3	3
83	при этом	3	3
84	становится его	1	3
85	он должен	2	3
86	а затем	1	3
87	те же	1	3
88	должен был	1	3
89	том что	1	3
90	и при	1	3
91	и более	1	3
92	что эта	1	3
93	не имеет	1	3
94	на котором	2	3
95	связи с	1	3
96	она не	1	3
97	данном случае	1	3
98	иное как	1	3
99	но мы	3	3
100	в том	4	3
101	только в	1	3
102	или же	2	3
103	там где	1	3
104	в данном	1	3
105	как бы	4	3
106	по существу	1	3
107	этом случае	1	3
108	указать на	1	3
109	или в	1	3
110	для нас	3	3
111	но это	1	3
112	же в	1	3
113	между ними	1	3
114	не что	1	3
115	живое существо	1	2
116	он может	3	2
117	такую же	1	2
118	и есть	2	2
119	по его	1	2
120	в этой	3	2
121	почему и	1	2
122	с этим	2	2
123	в своем	1	2
124	хотя и	1	2
125	главе мы	1	2
126	увидим что	1	2
127	конечно не	1	2
128	что это	2	2
129	в целом	4	2
130	и тот	1	2
131	в себе	3	2
132	в нем	3	2
133	же это	4	2
134	на этом	2	2
135	было бы	3	2
136	из них	4	2
137	этого не	1	2
138	которой он	2	2
139	и их	1	2
140	тем не	2	2
141	все это	3	2
142	таких случаев	1	2
143	по себе	1	2
144	не менее	2	2
145	одна из	3	2
146	в области	3	2
147	у нас	3	2
148	не могут	2	2
149	его с	1	2
150	никогда не	1	2
151	том как	1	2
152	если бы	1	2
153	и во	2	2
154	видим что	1	2
155	на которой	1	2
156	уже в	3	2
157	и они	2	2
158	чтобы он	1	2
159	в виде	2	2
160	не дает	2	2
161	его и	1	2
162	ни в	1	2
163	не случайно	1	2
164	на этот	2	2
165	с помощью	4	2
166	он уже	1	2
167	мы опять	1	2
168	такого рода	2	2
169	же самое	2	2
170	но для	1	2
171	это уже	1	2
172	только одна	6	2
173	в связи	1	2
174	и все	3	2
175	этот вопрос	1	2
176	сказать что	1	2
177	можно наблюдать	1	2
178	на это	1	2
179	почти не	1	1
180	к другому	1	1
181	не имеют	1	1
182	все те	2	1
183	между ним	1	1
184	в зависимости	4	1
185	входящих в	1	1
186	и могут	1	1
187	той же	2	1
188	их и	1	1
189	есть не	1	1
190	них они	1	1
191	это совершенно	1	1
192	мы не	9	1
193	и наш	1	1
194	зависимости от	4	1
195	затем он	1	1
196	в ней	1	1
197	может дать	2	1
198	на них	1	1
199	он сам	1	1
200	во всех	1	1
201	от его	1	1
202	произошло в	1	1
203	то он	1	1
204	мы будем	1	1
205	но как	1	1
206	друг на	1	1
207	если в	1	1
208	его развития	3	1
209	независимо от	1	1
210	этого развития	1	1
211	и наконец	5	1
212	и к	3	1
213	это просто	1	1
214	к чему	2	1
215	та же	1	1
216	частное значение	1	1
217	у каждого	3	1
218	то и	2	1
219	нами в	1	1
220	и те	1	1
221	позже чем	1	1
222	только тот	1	1
223	маленькое животное	1	1
224	совпадают с	1	1
225	и может	1	1
226	в совершенно	1	1
227	на этой	3	1
228	дома и	1	1
229	может стать	1	1
230	и мы	3	1
231	форму и	1	1
232	вообще на	1	1
233	отличать от	1	1
234	но уже	1	1
235	она и	1	1
236	на друга	1	1
237	при которых	1	1
238	в развитии	4	1
239	такой же	2	1
240	носит название	2	1
241	и тогда	1	1
242	и становится	1	1
243	точки зрения	12	1
244	уже к	1	1
245	что дело	1	1
246	не будем	2	1
247	именно к	1	1
248	образом из	1	1
249	явления на	2	1
250	о значении	2	1
251	все три	1	1
252	в то	1	1
253	только частное	1	1
254	очень мало	1	1
255	есть такой	1	1
256	же этот	1	1
257	эти три	1	1
258	считая что	1	1
259	и несколько	1	1
260	очень часто	1	1
261	если у	1	1
262	когда мы	3	1
263	сравнительно с	1	1
264	для его	2	1
265	от явлений	2	1
266	что при	2	1
267	ничего общего	1	1
268	правда не	1	1
269	и это	1	1
270	с ее	1	1
271	на другой	1	1
272	приводит к	2	1
273	роль в	2	1
274	поэтому мы	3	1
275	ясно что	3	1
276	здесь нет	1	1
277	это только	1	1
278	между собой	3	1
279	должны признать	1	1
280	с ним	1	1
281	все его	1	1
282	то они	1	1
283	одного из	1	1
284	всей ситуации	1	1
285	этих двух	2	1
286	в какой-нибудь	1	1
287	как нет	1	1
