N	2gram	Medvedev_I_1	Narrotol
1	и не	2	23
2	а в	1	13
3	в этом	2	12
4	и в	1	11
5	если бы	1	7
6	а также	1	6
7	жизни и	1	6
8	так и	1	5
9	вплоть до	1	4
10	того чтобы	1	4
11	никогда не	1	4
12	того что	1	4
13	для него	1	4
14	а для	1	3
15	в целом	1	3
16	он не	2	3
17	для того	1	3
18	и с	3	3
19	стало быть	1	3
20	и о	1	3
21	о ней	1	3
22	по отношению	1	3
23	могло бы	1	3
24	отношению к	1	3
25	что в	2	3
26	и еще	1	2
27	а по	1	2
28	это было	1	2
29	ничего не	2	2
30	другой стороны	1	2
31	при такой	1	2
32	с другой	1	2
33	себя в	1	2
34	после смерти	1	2
35	только что	1	2
36	жил в	1	1
37	не остается	1	1
38	за границей	1	1
39	то и	1	1
40	все четыре	1	1
41	видит в	1	1
42	тех же	1	1
43	о жизни	1	1
44	следующим образом	1	1
45	и тот	1	1
46	них не	1	1
47	автора и	1	1
48	нисколько не	1	1
49	не слишком	1	1
50	его личности	1	1
51	было не	1	1
52	и со	1	1
53	должен быть	2	1
54	и сам	1	1
55	с героем	1	1
56	и та	1	1
57	все тех	1	1
58	утверждает что	1	1
59	в значительной	1	1
60	со всеми	1	1
61	того же	1	1
62	произведения и	1	1
63	не случайно	1	1
64	автор и	1	1
65	тем что	1	1
66	а с	1	1
67	что для	1	1
68	все это	1	1
69	своего исследования	1	1
70	как отец	1	1
71	по поводу	1	1
