N	2gram	Losev_Prob_1	Retstnzi
1	не может	8	4
2	и в	32	3
3	если в	1	2
4	один из	4	2
5	и можно	1	1
6	на нее	1	1
7	и больше	1	1
8	то же	10	1
9	с другими	2	1
10	анализа и	1	1
11	не из	1	1
12	в системе	1	1
13	его от	3	1
14	может быть	14	1
15	из этих	2	1
16	и не	31	1
17	в его	6	1
18	себе все	2	1
19	он в	2	1
20	это направление	1	1
21	может и	3	1
22	связи с	5	1
23	конечно и	1	1
24	не только	17	1
25	с точки	3	1
26	сравнении с	1	1
27	в каждом	1	1
28	не менее	19	1
29	для него	2	1
30	ни один	1	1
31	и тому	1	1
32	если бы	4	1
33	тому что	4	1
34	нет и	2	1
35	можно и	1	1
36	к тому	3	1
37	несмотря на	3	1
38	смысл и	3	1
39	и все	7	1
40	ничего кроме	1	1
41	именно с	1	1
42	в то	6	1
43	вопрос что	1	1
44	в конкретном	2	1
45	художественного произведения	1	1
46	но и	9	1
47	точки зрения	3	1
48	и на	8	1
49	мы видим	2	1
50	и должно	2	1
51	на примере	1	1
52	в языке	1	1
53	а не	15	1
