N	2gram	Tiupa_Lite_2	SlovoVZh
1	не может	9	16
2	может быть	17	14
3	точки зрения	4	14
4	как бы	2	13
5	и его	3	13
6	таким образом	1	12
7	и в	19	12
8	по отношению	4	11
9	в нашем	2	11
10	отношению к	3	11
11	и не	11	10
12	так как	3	9
13	прежде всего	4	8
14	для нас	2	7
15	в ней	4	6
16	в том	10	6
17	при этом	6	6
18	в нем	3	6
19	слова и	7	6
20	все время	1	6
21	должна быть	1	5
22	то же	12	5
23	в виду	2	5
24	можно сказать	1	5
25	отнюдь не	4	5
26	как в	1	5
27	но в	2	5
28	и др	3	5
29	в жизни	2	5
30	героя и	1	5
31	а не	20	5
32	как и	10	5
33	что мы	1	5
34	том что	7	5
35	никогда не	3	5
36	хотя бы	2	5
37	то что	7	5
38	к материалу	1	4
39	на самом	1	4
40	за пределы	1	4
41	в литературе	1	4
42	в этом	9	4
43	все же	2	4
44	в самом	1	4
45	уже не	2	4
46	не только	8	4
47	ни было	2	4
48	так и	7	4
49	с другой	8	4
50	что не	2	4
51	не в	4	4
52	его в	1	4
53	и к	2	4
54	жизни и	4	4
55	и на	6	4
56	здесь не	1	3
57	самом деле	1	3
58	в пределах	1	3
59	еще не	2	3
60	мы не	4	3
61	о том	2	3
62	бы то	1	3
63	но и	10	3
64	только ему	1	3
65	того что	5	3
66	в художественном	2	3
67	когда он	1	3
68	и наконец	2	3
69	все эти	1	3
70	только на	1	3
71	в себе	6	3
72	в поэзии	3	3
73	в творчестве	1	3
74	для него	4	3
75	он должен	1	3
76	не к	2	3
77	и по	1	3
78	то ни	1	3
79	и с	3	3
80	за окном	1	3
81	в них	2	3
82	в своей	1	3
83	художественного творчества	2	3
84	так же	1	3
85	в такой	2	3
86	тем не	2	3
87	этой точки	1	3
88	как к	3	3
89	из этого	1	3
90	не менее	6	3
91	и для	3	3
92	это как	2	3
93	ее и	1	3
94	с ним	2	3
95	отношении к	1	3
96	и то	3	2
97	как это	2	2
98	но тем	4	2
99	в себя	3	2
100	едва ли	4	2
101	мы имеем	1	2
102	со словом	1	2
103	мы в	1	2
104	нас и	1	2
105	искусства и	1	2
106	но мы	1	2
107	и что	2	2
108	как форма	1	2
109	в чем	1	2
110	данном случае	3	2
111	в данном	3	2
112	в его	4	2
113	что и	2	2
114	относится к	1	2
115	в своем	1	2
116	как уже	2	2
117	дело с	1	2
118	в какой	2	2
119	и потому	1	2
120	что слово	1	2
121	лежит на	1	2
122	и вражды	1	2
123	с одной	7	2
124	уже в	2	2
125	и те	1	2
126	слово это	1	2
127	эти и	1	2
128	он не	5	2
129	перестает быть	3	2
130	не так	2	2
131	одно и	2	2
132	в особенности	1	2
133	с другими	1	2
134	это не	1	2
135	как же	1	2
136	кругозора и	1	2
137	высказывание как	1	2
138	себя и	2	2
139	более того	1	2
140	одной стороны	6	2
141	до конца	2	2
142	другой стороны	4	2
143	автора и	1	2
144	нет ничего	1	2
145	вместе с	5	2
146	в отношении	1	2
147	к его	1	2
148	но не	5	2
149	и подобные	1	2
150	общего с	1	2
151	место в	1	2
152	с этой	2	2
153	с точки	3	2
154	такой же	3	2
155	в основном	1	2
156	слова так	1	2
157	в то	9	2
158	и притом	1	2
159	за его	1	2
160	ничего не	3	2
161	а к	2	2
162	этих двух	1	2
163	и все	1	2
164	но зато	1	2
165	подобные им	1	2
166	в этих	1	2
167	но это	3	2
168	от всех	1	2
169	стороны и	1	2
170	могут быть	2	2
171	и вполне	1	2
172	же самое	1	2
173	что в	4	2
174	как на	3	2
175	к этому	1	2
176	ту же	2	1
177	не уверен	1	1
178	же как	2	1
179	как мы	1	1
180	и о	1	1
181	с жизнью	1	1
182	с ее	2	1
183	свою очередь	1	1
184	на основе	1	1
185	это и	1	1
186	тем же	3	1
187	из трех	1	1
188	с первого	1	1
189	только то	1	1
190	по преимуществу	2	1
191	множественного числа	1	1
192	художественное творчество	1	1
193	можно было	1	1
194	обойтись без	1	1
195	это событие	1	1
196	слово было	1	1
197	себе как	1	1
198	остается только	1	1
199	жизнь и	1	1
200	что уже	1	1
201	является в	1	1
202	на что	1	1
203	для этого	2	1
204	он как	1	1
205	не вполне	2	1
206	на себя	2	1
207	их но	1	1
208	быть ни	1	1
209	сводится к	1	1
210	но то	1	1
211	общения в	1	1
212	и он	3	1
213	нашем случае	1	1
214	слово не	2	1
215	к общему	1	1
216	за пределами	1	1
217	словесного творчества	1	1
218	основе своей	1	1
219	столь же	5	1
220	во всех	3	1
221	дела с	1	1
222	в конечном	5	1
223	то в	2	1
224	от его	1	1
225	русской литературе	2	1
226	сознания не	1	1
227	конечном счете	5	1
228	строит свое	1	1
229	искусства в	1	1
230	себе и	3	1
231	крайней мере	2	1
232	именно в	1	1
233	в слово	1	1
234	пути в	8	1
235	она как	1	1
236	высказывание от	1	1
237	не перестает	1	1
238	кто не	1	1
239	автора героя	1	1
240	в новой	1	1
241	иных приемов	1	1
242	тот же	2	1
243	и художественного	1	1
244	себе не	2	1
245	ты или	1	1
246	движение и	1	1
247	к делу	1	1
248	к художественному	1	1
249	в обществе	1	1
250	тому как	2	1
251	отношения между	1	1
252	что нам	2	1
253	что это	1	1
254	в целом	2	1
