N	3gram	Tiupa_Vved_1	Formalny
1	не может быть	3	14
2	на самом деле	3	12
3	в то же	4	7
4	то же время	3	7
5	во всяком случае	1	6
6	в зависимости от	1	5
7	с другой стороны	1	5
8	подобно тому как	2	4
9	в связи с	1	4
10	в данном случае	6	4
11	в том что	3	3
12	то же самое	1	3
13	по отношению к	7	3
14	иначе обстоит дело	1	3
15	в этом отношении	4	3
16	все без исключения	1	3
17	а не в	1	3
18	мы не можем	1	2
19	вовсе не о	1	2
20	в этом смысле	1	2
21	о том как	1	2
22	с установкой на	2	2
23	и в то	1	2
24	до известной степени	1	2
25	может быть только	1	2
26	в пределах одного	1	2
27	сами по себе	1	2
28	как мы видели	2	2
29	в высшей степени	2	2
30	в отличие от	2	2
31	тем не менее	3	2
32	это не так	1	1
33	о том что	4	1
34	иной идеологической сферой	1	1
35	с одной стороны	5	1
36	и тот же	1	1
37	оно связано с	1	1
38	одна из них	1	1
39	что это не	1	1
40	в данном контексте	1	1
41	невозможно да и	1	1
42	того что является	1	1
43	другой стороны в	1	1
44	а то и	2	1
45	том или ином	1	1
46	становится очевидным что	1	1
47	связано с тем	1	1
48	из того что	1	1
49	как и в	2	1
50	один и тот	1	1
51	с той или	1	1
52	можно сказать что	1	1
53	не сводится к	4	1
54	в жизни так	1	1
55	друг на друга	1	1
56	в таком случае	1	1
57	и того же	1	1
58	между жизнью и	1	1
59	здесь не в	1	1
60	в этом случае	1	1
61	но в данном	1	1
62	так сказать изнутри	1	1
63	могло бы возникнуть	1	1
64	можно было бы	2	1
65	хотя и не	1	1
66	не могло бы	1	1
67	и так же	1	1
68	на то что	1	1
69	все то что	1	1
70	или иной идеологической	1	1
71	в настоящее время	1	1
72	всех без исключения	1	1
73	в значительной степени	1	1
74	той мере в	2	1
75	не только в	2	1
76	одного и того	1	1
77	в том числе	1	1
78	в частности в	2	1
79	той или иной	2	1
80	и в самом	1	1
81	и в жизни	2	1
82	первого и второго	1	1
83	мере в какой	2	1
84	в этих случаях	2	1
85	но при этом	2	1
86	находятся в отношении	1	1
87	и все же	4	1
88	объясняется тем что	1	1
89	а не только	1	1
90	так и не	1	1
91	не в том	1	1
92	так и по	1	1
93	в этом рассуждении	1	1
94	в том же	1	1
95	том числе и	1	1
96	к тому чтобы	1	1
97	а не как	1	1
98	в том или	1	1
99	в той мере	2	1
100	в противном случае	1	1
101	событие самого рассказывания	2	1
