N	3gram	Vinokur_Vv_1	Literetu
1	то же время	5	9
2	в то же	5	9
3	не может быть	8	7
4	с одной стороны	4	6
5	в том что	12	5
6	состоит в том	2	4
7	с другой стороны	5	4
8	с точки зрения	2	3
9	в этом отношении	3	3
10	в данном случае	4	3
11	в том чтобы	5	3
12	по отношению к	4	3
13	но с другой	1	3
14	о том что	12	2
15	не говоря уже	2	2
16	подобно тому как	1	2
17	в этом случае	6	2
18	говоря уже о	1	2
19	и т п	5	2
20	по крайней мере	4	2
21	одно и то	1	2
22	и то же	1	2
23	в свое время	2	2
24	тем не менее	8	2
25	в сравнении с	1	2
26	в принципе не	1	2
27	том что в	1	1
28	принципе не может	1	1
29	тех пор пока	1	1
30	не могло не	1	1
31	мы имеем дело	1	1
32	может быть названа	1	1
33	в соответствии с	2	1
34	то же самое	2	1
35	одной стороны и	3	1
36	что же касается	2	1
37	представляет собой одно	1	1
38	тем что в	1	1
39	поэтов и прозаиков	2	1
40	с полным основанием	1	1
41	еще при жизни	2	1
42	вместе с тем	3	1
43	в отличие от	3	1
44	бы то ни	1	1
45	в руках у	1	1
46	а так как	2	1
47	только то что	1	1
48	не могут быть	2	1
49	из того что	1	1
50	и т.д и	1	1
51	можно было бы	3	1
52	до тех пор	1	1
53	с этой точки	1	1
54	и то что	2	1
55	может быть сказано	1	1
56	в конце концов	2	1
57	имеем дело с	1	1
58	не только как	3	1
59	не в том	2	1
60	пор пока не	1	1
61	прежде всего в	1	1
62	руках у нас	1	1
63	в целом ряде	2	1
64	того же автора	1	1
65	все то что	1	1
66	этой точки зрения	1	1
67	а в том	1	1
68	в частности в	1	1
69	самом деле есть	1	1
70	имел в виду	1	1
71	что может быть	3	1
72	имея в виду	1	1
73	в свою очередь	1	1
74	что в ней	1	1
75	на самом деле	1	1
76	отрицать того что	1	1
77	и прежде всего	1	1
78	той или иной	1	1
79	в этой системе	1	1
80	то ни было	1	1
81	собой одно из	1	1
82	не с чем	1	1
83	после того как	2	1
84	к тому что	1	1
85	в тексте не	1	1
86	тех или иных	3	1
87	для того чтобы	21	1
88	как мы видели	2	1
