N	2gram	Trubetskoy_1	Narrotol
1	не только	7	26
2	а не	1	17
3	тогда как	6	15
4	но и	9	15
5	и не	8	14
6	при этом	9	14
7	в том	30	14
8	в качестве	1	14
9	в этом	12	13
10	и в	23	13
11	том что	19	13
12	состоит в	1	12
13	в частности	2	11
14	только в	6	11
15	может быть	16	10
16	в данном	3	10
17	так и	10	9
18	то есть	2	9
19	а в	3	9
20	сводится к	2	9
21	к тому	8	9
22	в себе	5	8
23	не может	17	8
24	не в	8	8
25	то что	18	8
26	иначе говоря	4	7
27	все же	13	6
28	данном случае	3	6
29	прежде всего	3	6
30	в жизни	3	6
31	жизни в	1	6
32	того что	6	6
33	никогда не	4	6
34	и к	5	6
35	ничего не	1	6
36	со стороны	1	6
37	в его	5	6
38	у него	5	6
39	но в	4	6
40	как бы	10	6
41	в своем	10	6
42	о том	7	5
43	отношению к	9	5
44	таким образом	31	5
45	точки зрения	13	5
46	тем самым	3	5
47	в нем	3	5
48	хотя и	4	5
49	по отношению	9	5
50	на него	2	5
51	как в	1	5
52	отличие от	3	5
53	в то	6	5
54	я в	2	5
55	тем не	4	5
56	далеко не	5	5
57	одной стороны	2	5
58	и тем	1	5
59	в котором	2	5
60	с одной	3	5
61	он не	3	5
62	я не	2	5
63	с другой	6	5
64	что он	7	5
65	в другом	2	4
66	как и	9	4
67	жизни и	2	4
68	не к	1	4
69	но при	1	4
70	не менее	7	4
71	и все	7	4
72	что это	5	4
73	с ним	6	4
74	в конце	4	4
75	в своей	1	4
76	все его	2	4
77	для него	2	4
78	свидетельствует о	1	4
79	в себя	2	4
80	то же	4	4
81	и уже	2	4
82	отнюдь не	2	4
83	следует признать	1	4
84	в силу	7	4
85	тому же	6	4
86	уже не	1	4
87	если бы	8	4
88	и т.д	4	4
89	в этой	6	4
90	как у	3	4
91	в мире	6	4
92	что в	8	4
93	и у	4	4
94	в глазах	2	4
95	мира в	1	4
96	перед нами	1	4
97	все что	9	4
98	все эти	19	3
99	как к	5	3
100	и того	3	3
101	же время	2	3
102	о котором	7	3
103	на том	2	3
104	что они	2	3
105	одна из	2	3
106	для себя	2	3
107	строго говоря	1	3
108	не следует	1	3
109	того чтобы	8	3
110	что я	1	3
111	которой он	1	3
112	пока еще	1	3
113	по своей	7	3
114	но не	2	3
115	между собой	4	3
116	с этой	3	3
117	в таком	4	3
118	о которой	2	3
119	между тем	12	3
120	это не	3	3
121	к ней	1	3
122	и даже	1	3
123	при встрече	1	3
124	и сам	2	3
125	да и	1	3
126	и его	1	3
127	то и	2	3
128	в целом	5	3
129	к его	1	3
130	сказать что	1	3
131	один из	1	3
132	за пределами	1	3
133	представить себе	2	3
134	с ними	2	3
135	точку зрения	2	3
136	а к	2	3
137	и для	6	3
138	тому что	2	3
139	только к	1	3
140	с его	1	3
141	в состав	1	3
142	самом деле	12	3
143	а как	1	3
144	никак не	1	3
145	или иной	1	3
146	от которого	1	3
147	и по	3	3
148	не вполне	3	2
149	со своим	1	2
150	бы в	3	2
151	для нас	3	2
152	еще не	5	2
153	когда же	1	2
154	все те	1	2
155	на второй	1	2
156	говорить о	2	2
157	с нею	1	2
158	бы на	1	2
159	жизни с	1	2
160	в виде	4	2
161	не будет	5	2
162	здесь не	1	2
163	поскольку все	1	2
164	в равной	1	2
165	должна быть	5	2
166	а то	1	2
167	себя с	1	2
168	зависит от	1	2
169	вовсе не	2	2
170	на то	9	2
171	в сознании	6	2
172	когда все	1	2
173	к которому	1	2
174	хотя бы	4	2
175	мы не	1	2
176	в центре	1	2
177	вследствие этого	2	2
178	ни для	2	2
179	те же	2	2
180	в нашем	3	2
181	по его	2	2
182	одно из	3	2
183	в принципе	1	2
184	вступает в	1	2
185	все то	2	2
186	в самом	8	2
187	зрения на	1	2
188	потому что	9	2
189	в начале	2	2
190	может служить	3	2
191	только что	3	2
192	не происходит	1	2
193	с точки	8	2
194	он может	1	2
195	они не	2	2
196	в других	1	2
197	из этих	8	2
198	у нас	3	2
199	на стороне	1	2
200	что у	2	2
201	на одном	2	2
202	на самом	7	2
203	в течение	4	2
204	можно назвать	3	2
205	имеет место	2	2
206	к своему	1	2
207	со своими	2	2
208	а с	4	2
209	не имеет	1	2
210	в культуре	1	2
211	своей собственной	1	2
212	со своей	1	2
213	а потом	1	2
214	по своему	5	2
215	только эти	1	2
216	только не	2	2
217	так же	8	2
218	же как	3	2
219	как о	1	2
220	именно в	5	2
221	только по	1	2
222	как на	4	2
223	в процессе	2	2
224	и что	8	2
225	однако не	1	2
226	в результате	9	2
227	не являются	1	2
228	о них	2	2
229	бы с	1	2
230	что и	7	2
231	роль в	1	2
232	несмотря на	6	2
233	не случайно	1	2
234	в своих	2	2
235	тем более	3	2
236	двух или	3	2
237	однако в	1	2
238	столь же	5	2
239	и состоит	2	2
240	с такою	1	2
241	той же	1	2
242	в области	4	2
243	давно уже	2	2
244	в ней	3	2
245	в современной	1	2
246	что она	1	2
247	с другим	1	2
248	и более	2	2
249	что с	5	2
250	точно так	1	2
251	только на	1	2
252	в памяти	1	2
253	он сам	1	2
254	себе и	1	2
255	было бы	3	2
256	или иначе	5	2
257	и другого	1	2
258	можно было	1	2
259	быть может	1	2
260	не могу	1	2
261	мысль о	1	2
262	потому не	1	2
263	детстве и	1	2
264	но для	2	2
265	в свою	2	2
266	себя лично	1	1
267	может не	3	1
268	не могла	1	1
269	мир который	1	1
270	зрения настоящего	1	1
271	люди что	1	1
272	лишь то	1	1
273	между людьми	2	1
274	приводит к	1	1
275	с перевесом	1	1
276	но с	2	1
277	не знает	2	1
278	по сравнению	5	1
279	она не	2	1
280	сравнению с	5	1
281	и с	5	1
282	к той	2	1
283	гораздо более	2	1
284	к их	1	1
285	одним из	4	1
