N	2gram	Bakhtin_sl_2	FransuaR
1	и в	39	41
2	то есть	26	20
3	таким образом	8	19
4	в этом	16	15
5	как и	6	14
6	и все	5	14
7	то же	4	13
8	все эти	6	13
9	в этой	1	13
10	мы уже	2	12
11	в его	7	12
12	в себе	2	11
13	как мы	7	11
14	в том	5	11
15	прежде всего	8	11
16	так и	15	10
17	в то	4	10
18	все это	16	10
19	в своем	6	9
20	не в	9	9
21	же время	4	9
22	и его	33	9
23	в качестве	1	9
24	и т.п	2	9
25	но и	21	9
26	что в	3	9
27	но в	6	8
28	в конце	1	8
29	то что	2	8
30	и от	3	8
31	в нем	19	7
32	вовсе не	10	7
33	в них	6	7
34	как бы	7	7
35	и не	22	7
36	в романе	46	7
37	и до	1	6
38	ни в	4	6
39	о том	2	6
40	только в	5	6
41	это не	5	6
42	для него	7	6
43	у него	3	6
44	с помощью	4	6
45	все они	2	6
46	как в	13	5
47	и к	6	5
48	не только	24	5
49	в плане	5	5
50	на этом	3	5
51	мы видели	2	5
52	точки зрения	8	5
53	того как	2	5
54	и это	1	5
55	в ней	3	5
56	к нему	3	5
57	до нас	1	5
58	уже в	2	5
59	что и	3	5
60	вместе с	2	5
61	и для	5	5
62	а в	4	5
63	к этому	1	5
64	в средние	1	4
65	место в	1	4
66	в сущности	6	4
67	момент в	1	4
68	и на	4	4
69	хотя и	2	4
70	целый ряд	1	4
71	и наконец	5	4
72	та же	1	4
73	он не	2	4
74	но все	5	4
75	и с	9	4
76	на этой	1	4
77	должно быть	1	4
78	том что	5	4
79	но он	2	4
80	одна из	4	4
81	ничего не	1	4
82	рядом с	3	4
83	в виду	1	4
84	в последней	1	4
85	и здесь	2	4
86	влияние на	2	4
87	слов и	3	4
88	уже говорили	1	4
89	может быть	37	4
90	в более	2	4
91	романа рабле	1	4
92	мира в	1	4
93	мира и	5	4
94	средние века	1	4
95	все что	2	4
96	том числе	1	4
97	например в	5	3
98	он может	1	3
99	и есть	1	3
100	из самых	1	3
101	с точки	3	3
102	проникает в	2	3
103	той же	3	3
104	с ее	2	3
105	проявляется в	1	3
106	на них	2	3
107	во всех	12	3
108	совсем не	1	3
109	кроме того	2	3
110	выражение в	1	3
111	и те	1	3
112	так сказать	6	3
113	при этом	7	3
114	но именно	1	3
115	и по	1	3
116	в нее	2	3
117	связанные с	4	3
118	в мире	1	3
119	его в	4	3
120	несмотря на	1	3
121	в своей	1	3
122	в их	2	3
123	в отношении	4	3
124	тем что	1	3
125	как о	2	3
126	все то	1	3
127	с образом	1	3
128	свою очередь	2	3
129	и вся	1	3
130	путь на	1	3
131	о нем	2	3
132	нас в	1	3
133	в форме	2	3
134	в свете	3	3
135	в формах	1	3
136	что он	2	3
137	поэтому и	4	3
138	и их	5	3
139	в одном	2	3
140	так как	4	3
141	не на	1	3
142	не было	2	3
143	но есть	1	3
144	для этой	1	3
145	не может	20	3
146	и потому	7	3
147	в той	4	3
148	но этот	1	3
149	такой же	1	3
150	но это	3	3
151	с ними	5	3
152	в свою	3	3
153	не знает	2	3
154	того же	1	3
155	жизни и	6	3
156	и другие	2	3
157	пространстве и	1	3
158	ту же	3	2
159	также и	2	2
160	xvii века	2	2
161	явления и	1	2
162	оно было	2	2
163	все те	1	2
164	и готовое	1	2
165	есть не	1	2
166	со всех	1	2
167	в единой	1	2
168	он знает	1	2
169	мы не	2	2
170	мир не	1	2
171	и новых	1	2
172	и заставляет	1	2
173	еще не	7	2
174	в чем	3	2
175	с его	7	2
176	а следовательно	1	2
177	точка зрения	2	2
178	по отношению	4	2
179	отношение к	4	2
180	не просто	1	2
181	в одной	1	2
182	к новому	3	2
183	перед нами	3	2
184	более или	2	2
185	очень распространены	1	2
186	все новые	1	2
187	рассказ о	1	2
188	как он	2	2
189	и еще	1	2
190	одно и	1	2
191	человека в	5	2
192	значительной степени	6	2
193	и может	1	2
194	это было	1	2
195	себе все	1	2
196	но их	1	2
197	с этим	2	2
198	конкретности и	1	2
199	далеко не	2	2
200	и совершается	1	2
201	числе и	1	2
202	в этих	7	2
203	все элементы	1	2
204	во второй	1	2
205	или менее	2	2
206	новые и	1	2
207	в историческом	2	2
208	его целом	1	2
209	дело не	1	2
210	дело в	2	2
211	в процессе	13	2
212	следовательно и	1	2
213	через все	1	2
214	весь этот	1	2
215	этом отношении	3	2
216	в области	2	2
217	где она	1	2
218	в образах	1	2
219	и времени	1	2
220	нет ни	1	2
221	не знаем	2	2
222	в недрах	1	2
223	оно не	8	2
224	должен быть	2	2
225	правда не	1	2
226	и образ	2	2
227	всего этого	1	2
228	в себя	2	2
229	с самого	1	2
230	роль в	2	2
231	на том	1	2
232	никогда не	7	2
233	здесь как	2	2
234	особенно в	2	2
235	здесь нет	1	2
236	и выражений	1	2
237	во все	1	2
238	этой традиции	1	2
239	а также	3	2
240	другими словами	1	2
241	в значительной	6	2
242	во всей	1	2
243	еще более	2	2
244	все время	1	2
245	в самый	1	2
246	в литературе	1	2
247	того что	1	2
248	и самая	1	2
249	одной из	1	2
250	правда и	2	2
251	и ее	1	2
252	со всеми	2	2
253	для всех	4	2
254	уже не	5	2
255	в большинстве	6	2
256	только на	1	2
257	же в	1	2
258	большинстве случаев	5	2
259	и обратно	1	2
260	и других	4	2
261	характерно что	1	2
262	и со	1	2
263	входят в	2	2
264	связано с	3	2
265	нашего восприятия	1	2
266	отношению к	4	2
267	них и	2	2
268	нужно сказать	1	2
269	к самому	1	2
270	здесь только	1	2
271	в особенности	3	2
272	связан с	3	2
273	именно в	2	2
274	характерно для	1	2
275	и образов	1	2
276	и др	4	2
277	а на	1	2
278	до конца	17	2
279	а не	14	2
280	его как	2	2
281	в связи	2	2
282	может иметь	3	2
283	может стать	2	2
284	в данном	2	2
285	в отдельности	1	2
286	своего времени	1	2
287	которые были	1	2
288	например у	2	2
289	или в	2	2
290	имеет дело	2	2
291	в результате	2	2
292	в силах	1	2
293	интерес к	1	2
294	и смысл	1	2
295	и как	3	2
296	в новых	2	2
297	с ним	7	2
298	одновременно и	3	2
299	во всяком	3	2
300	и наиболее	1	1
301	от этой	1	1
302	отношения к	4	1
303	одним из	2	1
304	человека и	3	1
305	слова этот	1	1
306	романа очень	1	1
307	в такой	1	1
308	это и	2	1
309	на античной	4	1
310	между двумя	1	1
311	игры с	2	1
312	ты говоришь	1	1
313	ведь и	2	1
314	должна быть	3	1
315	с таким	2	1
316	и время	1	1
317	его не	4	1
318	а как	1	1
319	ее же	1	1
320	именно к	2	1
321	почти все	2	1
322	он как	1	1
323	мир с	1	1
324	все здесь	1	1
325	эпохи в	1	1
326	и становление	1	1
327	они были	1	1
328	конечно и	2	1
329	подчеркнуть что	2	1
330	не остается	1	1
331	всех сторон	2	1
332	меньше чем	2	1
333	он сам	1	1
334	первый план	1	1
335	быть в	1	1
336	не был	2	1
337	весь характер	1	1
338	нему и	1	1
339	то мы	1	1
340	его так	2	1
341	человек при	1	1
342	но не	6	1
343	к которой	1	1
344	значение и	1	1
345	менее всего	2	1
346	в новом	2	1
347	отличие от	13	1
348	в едином	1	1
349	сплетаются в	2	1
350	человеку и	1	1
351	за пределы	2	1
352	внешних и	1	1
353	в истории	11	1
354	оно неразрывно	1	1
355	его на	1	1
356	и языки	1	1
357	и нет	2	1
358	все остальные	1	1
359	все же	6	1
360	однако не	1	1
361	процессе развития	1	1
362	нами в	1	1
363	в разнороднейших	1	1
364	увидим что	1	1
365	как таковое	1	1
366	что слово	1	1
367	и этим	1	1
368	в самом	1	1
369	не приходится	3	1
370	время это	2	1
371	он в	1	1
372	в нашем	2	1
373	с их	3	1
374	его новому	1	1
375	человеке и	3	1
376	другом случае	1	1
377	но его	1	1
378	говорят о	1	1
379	ее как	1	1
380	вовсе лишено	1	1
381	но на	1	1
382	человек не	1	1
383	не знающий	1	1
384	время и	1	1
385	и которые	1	1
386	характер в	1	1
387	поэтому оно	1	1
388	которого и	1	1
389	здесь для	1	1
390	его от	3	1
391	сфере а	1	1
392	в каждом	1	1
393	смысле в	1	1
394	мы слышим	1	1
395	что мир	1	1
396	мировой литературе	2	1
397	материала и	3	1
398	говорить не	1	1
399	как к	3	1
400	с параллельным	1	1
401	и иных	4	1
402	и отдельные	1	1
403	в свой	2	1
404	и тем	1	1
405	за ней	2	1
406	не соответствует	1	1
407	рассеянные по	1	1
408	здесь это	2	1
409	путем смешения	1	1
410	в единое	2	1
411	но уже	1	1
412	этого не	1	1
413	в слове	6	1
414	и уже	1	1
415	чем в	2	1
416	автора и	2	1
417	и становится	1	1
418	на первый	1	1
419	и при	2	1
420	мысль и	1	1
421	неразрывно связано	1	1
422	лежат в	1	1
423	наших дней	1	1
424	и без	1	1
425	эта тема	1	1
426	всяком случае	2	1
427	и степени	1	1
428	самого слова	1	1
429	мы говорили	1	1
430	его современников	1	1
431	языке но	2	1
432	мысли и	1	1
433	должны были	1	1
434	которые в	2	1
435	об античной	1	1
436	речи в	1	1
437	в корне	1	1
438	как от	1	1
439	уже сказали	1	1
440	свободной и	1	1
441	по себе	5	1
442	даже в	2	1
443	не была	3	1
444	и связанные	2	1
445	анри де	2	1
446	себя момент	1	1
447	она не	6	1
448	воплощено в	2	1
449	самого начала	1	1
450	эти формы	4	1
451	на котором	2	1
452	ее с	1	1
453	к новым	1	1
454	на него	2	1
455	и форм	2	1
456	в основе	4	1
457	и снова	1	1
458	их значение	1	1
459	и автор	1	1
