N	3gram	Kanaev_Sov_1	Mirosoze
1	не может быть	4	8
2	что иное как	1	3
3	до сих пор	1	3
4	так же как	1	3
5	и в этом	1	3
6	есть не что	1	3
7	не что иное	1	3
8	и той же	1	2
9	может быть и	2	2
10	так как он	2	2
11	и та же	1	2
12	одна и та	1	2
13	одной и той	1	2
14	по отношению к	1	2
15	и те же	1	2
16	в том что	1	2
17	как и во	1	2
18	с точки зрения	5	1
19	друг на друга	1	1
20	а может быть	1	1
21	был прежде всего	1	1
22	и не было	1	1
23	со всеми его	1	1
24	а не только	1	1
25	и есть не	1	1
26	и в новых	1	1
27	одни и те	1	1
28	он уже не	1	1
29	в этом направлении	1	1
30	той или иной	1	1
31	на самом деле	1	1
32	может не быть	1	1
33	она не может	1	1
