N	2gram	Tiupa_Lite_1	Morfolog
1	может быть	13	52
2	таким образом	3	20
3	представляет собой	4	17
4	не может	5	17
5	в этих	1	16
6	могут быть	2	15
7	и в	8	13
8	в этом	12	13
9	так как	1	12
10	и др	3	12
11	перед нами	1	11
12	связи с	6	11
13	чаще всего	1	11
14	представляют собой	1	10
15	то же	5	9
16	мы имеем	1	9
17	так и	4	9
18	не всегда	1	9
19	прежде всего	11	9
20	а не	16	9
21	в связи	4	9
22	и не	12	9
23	а затем	1	8
24	что и	1	8
25	с другой	3	8
26	по существу	1	8
27	вопрос о	1	7
28	нет необходимости	1	7
29	в качестве	17	7
30	все же	4	7
31	но не	4	6
32	это не	4	6
33	во время	1	6
34	подобно тому	2	6
35	и здесь	1	6
36	а также	5	6
37	в том	16	6
38	а в	3	6
39	мы не	1	5
40	во всех	1	5
41	тому как	2	5
42	то что	10	5
43	в ходе	1	5
44	далеко не	3	5
45	не менее	7	5
46	потому что	3	5
47	в поле	2	5
48	или в	1	5
49	вслед за	1	5
50	один из	3	5
51	если мы	1	5
52	сюда же	1	5
53	как бы	7	5
54	также и	3	4
55	тех же	3	4
56	показать что	1	4
57	то это	2	4
58	что его	3	4
59	как в	5	4
60	и как	1	4
61	не только	24	4
62	на этом	2	4
63	следующим образом	2	4
64	его в	3	4
65	было бы	2	4
66	вовсе не	1	4
67	как и	6	4
68	несмотря на	3	4
69	точки зрения	6	4
70	с точки	2	4
71	тем не	2	4
72	на котором	1	4
73	тем что	2	4
74	как мы	1	4
75	подобных случаях	1	4
76	по отношению	3	4
77	герой и	1	4
78	в некоторых	1	4
79	другой стороны	1	4
80	отношению к	2	4
81	что в	3	4
82	самом деле	2	3
83	на самом	1	3
84	всего это	1	3
85	лицо которое	1	3
86	предметы и	1	3
87	целый ряд	1	3
88	как таковое	1	3
89	но в	3	3
90	в целом	8	3
91	к месту	1	3
92	в нашем	1	3
93	в пределах	3	3
94	и по	1	3
95	но все	1	3
96	а по	1	3
97	из них	4	3
98	в один	1	3
99	том что	14	3
100	в то	5	3
101	в сущности	2	3
102	на него	1	3
103	и другим	1	3
104	с собой	4	3
105	если бы	1	3
106	но и	17	3
107	он не	1	3
108	во втором	2	3
109	к нему	1	3
110	в какой	1	3
111	в начале	1	3
112	а то	1	3
113	друг друга	4	3
114	мы можем	1	3
115	не является	2	3
116	что они	1	3
117	для этой	1	3
118	из которых	1	3
119	это уже	2	3
120	только что	1	3
121	же в	5	3
122	героя и	1	3
123	можно назвать	1	3
124	как это	8	2
125	тем же	3	2
126	как особого	1	2
127	есть нечто	1	2
128	а с	1	2
129	первый взгляд	1	2
130	как уже	1	2
131	то в	1	2
132	та же	2	2
133	как то	1	2
134	право на	1	2
135	из его	2	2
136	состоит в	11	2
137	можно было	2	2
138	и за	1	2
139	многих других	1	2
140	бы они	1	2
141	в другом	2	2
142	большинстве случаев	1	2
143	это было	1	2
144	этого не	2	2
145	с тем	1	2
146	на первый	1	2
147	для него	2	2
148	что такое	2	2
149	имеется в	2	2
150	и подобные	1	2
151	и более	1	2
152	однако в	2	2
153	все эти	2	2
154	можно указать	1	2
155	не имеет	1	2
156	одна из	3	2
157	см ниже	1	2
158	и его	4	2
159	так например	1	2
160	в каком	1	2
161	к себе	3	2
162	перейти к	1	2
163	совершается в	1	2
164	и что	1	2
165	с этого	1	2
166	другой не	1	2
167	о том	2	2
168	с одной	2	2
169	можно сказать	1	2
170	в различных	1	2
171	путь к	1	2
172	образом если	1	2
173	и только	2	2
174	дома в	1	2
175	того что	6	2
176	герой в	1	2
177	как например	1	2
178	хотя бы	2	2
179	что он	5	2
180	только в	8	2
181	себя в	6	2
182	уже не	7	2
183	в большинстве	1	2
184	или не	1	2
185	в виде	1	2
186	от других	1	2
187	никто не	1	2
188	из двух	1	2
189	себя и	1	2
190	а на	1	2
191	не знает	1	2
192	сказать что	1	2
193	ниже в	1	2
194	в частности	15	2
195	одной стороны	2	2
196	самого себя	3	2
197	или с	1	2
198	но для	1	2
199	в отдельных	1	2
200	от него	1	2
201	не от	1	2
202	одной из	1	2
203	а во	1	2
204	но эти	1	2
205	к этому	1	2
206	после чего	1	2
207	например в	3	1
208	и то	2	1
209	к своей	2	1
210	как такового	1	1
211	между двумя	1	1
212	от самого	2	1
213	свое место	1	1
214	есть не	1	1
215	ему в	1	1
216	в виду	3	1
217	отступление от	1	1
218	собой в	1	1
219	он был	1	1
220	тем как	1	1
221	сама собой	1	1
222	но как	1	1
223	нет не	2	1
224	было указано	1	1
225	ответ на	1	1
226	тогда как	13	1
227	отношение к	1	1
228	отличие от	5	1
229	герой как	1	1
230	основная задача	1	1
231	обнаруживается что	1	1
232	более чем	3	1
233	в рамках	6	1
234	не ощущается	1	1
235	для всех	1	1
236	более и	1	1
237	мысль о	1	1
238	но впоследствии	1	1
239	имеет в	1	1
240	этой цели	2	1
241	со своей	1	1
242	в которой	1	1
243	к другому	1	1
244	из этих	2	1
245	не в	8	1
246	в этой	4	1
247	является продолжением	1	1
248	формы не	1	1
249	во многих	2	1
250	на то	1	1
251	вытекающее из	1	1
252	свою собственную	1	1
253	бы во	1	1
254	прочим и	1	1
255	его если	1	1
256	и вот	1	1
257	в россии	2	1
258	ни были	1	1
259	и этот	1	1
260	собственно говоря	1	1
261	в каждом	1	1
262	то ни	1	1
263	а их	1	1
264	и тем	4	1
265	даже в	2	1
266	в итоге	1	1
267	из первых	1	1
268	кажется что	1	1
269	в это	1	1
270	служит в	1	1
271	следует считаться	1	1
272	между собою	1	1
273	и некоторые	1	1
274	простейший случай	1	1
275	этой связи	1	1
276	как все	2	1
277	наконец даже	1	1
278	теми или	1	1
279	это делает	1	1
280	в их	3	1
281	не столько	5	1
282	что я	2	1
283	для изучения	1	1
284	при этом	19	1
285	не должно	1	1
286	бы быть	1	1
287	для нее	2	1
288	есть всегда	1	1
289	она не	1	1
290	героем и	1	1
291	а от	1	1
292	и начинает	1	1
293	самого начала	1	1
294	что ему	3	1
295	и сама	1	1
296	в основе	3	1
297	есть путь	1	1
298	дело не	2	1
299	иметь в	1	1
300	же время	5	1
301	постольку поскольку	1	1
302	к концу	1	1
303	у кого	1	1
304	к исторической	1	1
305	с другом	1	1
306	одним из	5	1
307	в момент	1	1
308	и вдруг	1	1
309	строится как	1	1
310	уже было	1	1
311	всего в	3	1
312	к тому	2	1
313	не есть	2	1
314	что при	1	1
315	на это	2	1
316	из такой	1	1
317	ничего общего	1	1
318	не делает	1	1
319	с ее	1	1
320	людей в	1	1
321	данном случае	4	1
322	и говорит	1	1
323	с самого	1	1
324	вопрос что	1	1
325	приводит к	3	1
326	роль в	2	1
327	на основании	1	1
328	как с	1	1
329	с известными	1	1
330	здесь как	2	1
331	мог бы	1	1
332	еще в	4	1
333	во второй	1	1
334	предмет его	1	1
335	и с	1	1
336	что от	1	1
337	в последней	1	1
338	он говорил	1	1
339	реакция на	2	1
340	на вопрос	1	1
341	всех подобных	1	1
342	бы то	1	1
343	том или	1	1
344	и всякая	1	1
345	в его	7	1
346	а потому	2	1
347	на одном	1	1
348	во всей	1	1
349	целого а	1	1
350	по собственному	1	1
351	о его	1	1
352	говорить о	1	1
353	который в	1	1
354	литературе и	1	1
355	все они	2	1
356	со всеми	1	1
357	же и	3	1
358	и у	1	1
359	борьбы с	1	1
360	мы получим	1	1
361	эти и	1	1
362	в нашей	2	1
363	что не	2	1
