N	2gram	Bakhtin_sl_2	Literetu
1	а не	14	20
2	и в	39	19
3	может быть	37	17
4	то же	4	12
5	и не	22	11
6	как и	6	10
7	в том	5	10
8	но и	21	10
9	и т.п	2	10
10	же время	4	9
11	не может	20	9
12	в то	4	9
13	в этом	16	9
14	в мире	1	9
15	с другой	5	8
16	и даже	7	8
17	не только	24	8
18	так и	15	7
19	слова и	8	7
20	то что	2	7
21	с одной	5	7
22	том что	5	7
23	в себе	2	6
24	при этом	7	6
25	не менее	4	6
26	и на	4	6
27	одной стороны	5	6
28	однако в	2	6
29	себя в	8	6
30	в качестве	1	5
31	но не	6	5
32	вместе с	2	5
33	так в	2	5
34	то есть	26	5
35	одна из	4	5
36	того что	1	5
37	он не	2	5
38	для всех	4	5
39	на фоне	4	5
40	жизни и	6	4
41	точки зрения	8	4
42	того же	1	4
43	прежде всего	8	4
44	не в	9	4
45	мы не	2	4
46	для него	7	4
47	даже в	2	4
48	жизни в	2	4
49	что в	3	4
50	в его	7	4
51	в сфере	2	4
52	отнюдь не	1	4
53	один из	5	4
54	в рамках	1	4
55	тем что	1	4
56	другой стороны	1	4
57	и других	4	4
58	человека в	5	4
59	еще в	1	4
60	в частности	1	4
61	в области	2	4
62	по отношению	4	4
63	в ней	3	4
64	от слова	1	3
65	одним из	2	3
66	и с	9	3
67	в другом	2	3
68	и его	33	3
69	в поэзии	2	3
70	обращается к	1	3
71	в нем	19	3
72	всех своих	1	3
73	во всех	12	3
74	в их	2	3
75	а в	4	3
76	а именно	2	3
77	в себя	2	3
78	над словом	1	3
79	сознания в	1	3
80	никогда не	7	3
81	не с	3	3
82	что он	2	3
83	такой же	1	3
84	в противовес	2	3
85	идет о	1	3
86	в художественной	1	3
87	в сущности	6	3
88	х годов	2	3
89	но лишь	2	3
90	не столько	3	3
91	ничего не	1	3
92	этот путь	1	3
93	и др	4	3
94	в этой	1	3
95	и для	5	3
96	этом отношении	3	3
97	как к	3	3
98	без остатка	1	3
99	с точки	3	3
100	отношению к	4	3
101	о себе	1	3
102	речь идет	1	3
103	так как	4	3
104	и как	3	3
105	но это	3	3
106	в данном	2	3
107	с ее	2	2
108	себя и	4	2
109	не знает	2	2
110	все же	6	2
111	для нас	5	2
112	и наконец	5	2
113	одно и	1	2
114	в такой	1	2
115	в него	7	2
116	ко всему	1	2
117	в русском	1	2
118	это как	1	2
119	т п	33	2
120	все равно	1	2
121	не было	2	2
122	вовсе не	10	2
123	в образах	1	2
124	наконец в	4	2
125	с ним	7	2
126	как раз	1	2
127	в какой	1	2
128	и выше	1	2
129	хотя бы	3	2
130	в конце	1	2
131	слово не	1	2
132	как это	3	2
133	и без	1	2
134	жизни на	1	2
135	лишь его	1	2
136	в одном	2	2
137	в нашем	2	2
138	одно из	1	2
139	без другого	1	2
140	и только	1	2
141	одной из	1	2
142	к своему	9	2
143	с образом	1	2
144	и т	35	2
145	но как	2	2
146	что и	3	2
147	мысли и	1	2
148	но в	6	2
149	с другим	1	2
150	и к	6	2
151	для того	2	2
152	в целом	1	2
153	что не	1	2
154	как он	2	2
155	но уже	1	2
156	романного героя	1	2
157	и еще	1	2
158	в истории	11	2
159	тем не	1	2
160	даже и	4	2
161	той же	3	2
162	и за	1	2
163	же в	1	2
164	в основе	4	2
165	ту же	3	2
166	в каждом	1	2
167	в них	6	2
168	друг друга	1	2
169	для этого	4	2
170	у него	3	2
171	по преимуществу	1	2
172	могут быть	7	2
173	могут служить	1	2
174	этом случае	6	2
175	как уже	2	2
176	героя в	3	2
177	себя как	1	2
178	и что	1	2
179	до конца	17	2
180	в результате	2	2
181	на этом	3	2
182	еще не	7	2
183	в своих	1	2
184	том числе	1	2
185	и сам	1	2
186	мне в	1	2
187	и иных	4	2
188	и нет	2	2
189	о том	2	2
190	уже не	5	2
191	а также	3	2
192	и до	1	2
193	с идеей	1	2
194	не является	1	2
195	уже в	2	2
196	мира в	1	2
197	в виду	1	2
198	все что	2	2
199	как бы	7	2
200	в живых	1	1
201	например и	1	1
202	все эти	6	1
203	за его	1	1
204	со своим	9	1
205	и автор	1	1
206	каждое слово	1	1
207	или иных	1	1
208	приводит к	1	1
209	говорит и	2	1
210	отношении к	4	1
211	на себе	1	1
212	слово что	1	1
213	и свою	1	1
214	своего и	2	1
215	и воля	2	1
216	все время	1	1
217	в собственном	3	1
218	рассказ о	1	1
219	можно сказать	1	1
220	место в	1	1
221	именно к	2	1
222	но он	2	1
223	только как	1	1
224	в литературе	1	1
225	говорит о	1	1
226	мы говорим	1	1
227	на том	1	1
228	то он	1	1
229	и свои	2	1
230	вокруг себя	1	1
231	освобождает от	1	1
232	жизни слова	1	1
233	для которого	1	1
234	области поэтики	1	1
235	сам в	1	1
236	далека от	1	1
237	мышления и	5	1
238	всей жизни	1	1
239	и вражды	1	1
240	собственное слово	1	1
241	от личности	1	1
242	здесь не	4	1
243	форм этой	1	1
244	связи с	3	1
245	души и	1	1
246	себе ни	1	1
247	стремится к	3	1
248	должна быть	3	1
249	самих себя	1	1
250	рядом с	3	1
251	последнем случае	1	1
252	ведет к	1	1
253	и все	5	1
254	соединении с	1	1
255	к его	2	1
256	гораздо более	1	1
257	таким образом	8	1
258	героя и	5	1
259	он знает	1	1
260	в обществе	1	1
261	в сознании	1	1
262	те или	1	1
263	здоровья и	1	1
264	не для	1	1
265	к авторитарному	1	1
266	числе и	1	1
267	но мы	2	1
268	обстоит дело	2	1
269	нами не	1	1
270	над языком	1	1
271	мы ее	1	1
272	и чужого	2	1
273	объекта в	1	1
274	гениальное художественное	1	1
275	в смысле	4	1
276	с легкостью	1	1
277	от него	5	1
278	с другими	4	1
279	того чтобы	2	1
280	на таких	1	1
281	в этих	7	1
282	и те	1	1
283	также не	1	1
284	на то	1	1
285	частности в	1	1
286	более того	2	1
287	далеко не	2	1
288	как таковую	1	1
289	слова не	4	1
290	что уже	1	1
291	со всеми	2	1
292	эти слова	2	1
293	но зато	1	1
294	его в	4	1
295	не можем	1	1
296	он сам	1	1
297	слова к	4	1
298	мы находим	1	1
299	и свет	1	1
300	с некоторыми	1	1
301	в отношении	4	1
302	по своей	1	1
303	целом ряде	1	1
304	дело с	4	1
305	и личность	1	1
306	все то	1	1
307	и этого	1	1
308	есть не	1	1
309	всего что	1	1
310	вещей и	1	1
311	например о	1	1
312	с миром	1	1
313	и чужих	1	1
314	поэтому для	1	1
315	ним и	2	1
316	языка он	2	1
317	отношения к	4	1
318	мир в	1	1
319	п это	1	1
320	себе как	2	1
321	в таком	4	1
322	и притом	1	1
323	что слово	1	1
324	дело и	1	1
325	к общему	1	1
326	в ту	1	1
327	от содержания	1	1
328	время от	1	1
329	мы видели	2	1
330	еще более	2	1
331	особого рода	1	1
332	образцы этого	1	1
333	во всем	4	1
334	тех или	1	1
335	за ней	2	1
336	за пределы	2	1
337	в новом	2	1
338	и сказал	1	1
339	его так	2	1
340	коренное отличие	1	1
341	слово требует	2	1
342	такого героя	1	1
343	они не	2	1
344	как в	13	1
345	себе а	1	1
346	в других	1	1
347	расчленения и	1	1
348	мог бы	1	1
349	периода как	1	1
350	как мы	7	1
351	его словами	1	1
352	отличие от	13	1
353	это и	2	1
354	мире а	1	1
355	кстати сказать	1	1
356	не стоит	1	1
357	этой цели	1	1
358	в свою	3	1
359	требует от	2	1
360	и художественного	1	1
361	исторической жизни	3	1
362	развитии и	1	1
363	за собой	1	1
364	к новым	1	1
365	нас и	1	1
366	в своей	1	1
367	к чистой	1	1
368	другие и	1	1
369	для жизни	1	1
370	самому себе	1	1
371	пределах самого	1	1
372	в чем	3	1
373	именно так	1	1
374	в романном	1	1
375	свою очередь	2	1
376	и от	3	1
377	мира и	5	1
378	не все	2	1
379	и о	1	1
380	с единым	1	1
381	во второй	1	1
382	однако не	1	1
383	на нем	2	1
384	автора и	2	1
385	в романе	46	1
386	за пределами	1	1
387	все более	1	1
388	нашем случае	1	1
389	вершин в	1	1
390	в системе	1	1
391	в подлинном	1	1
392	и потому	7	1
393	всякий иной	1	1
394	в слове	6	1
395	в пространстве	1	1
396	в последнем	1	1
397	остаются в	1	1
398	него нет	3	1
399	здесь о	1	1
400	она имеет	1	1
401	задолго до	1	1
402	отказываясь от	1	1
403	человек в	6	1
404	только и	2	1
405	таких же	1	1
406	в контексте	3	1
407	однако и	1	1
408	как от	1	1
409	своим языком	1	1
410	в особенности	3	1
411	и другим	2	1
412	он как	1	1
413	не всегда	2	1
414	только не	1	1
415	какого бы	1	1
416	слова в	13	1
417	установки на	1	1
418	речь а	1	1
419	этом с	1	1
420	таких моментов	1	1
421	всех этих	4	1
422	выступает здесь	2	1
423	менее чем	1	1
424	к материалу	2	1
425	именно в	2	1
426	того как	2	1
427	должно было	1	1
428	кругозора и	1	1
429	в историческом	2	1
430	силу и	1	1
431	в самом	1	1
432	потенции языка	1	1
433	во всей	1	1
434	он говорит	1	1
435	не могут	5	1
436	в отличие	12	1
437	как для	3	1
438	этого необходимо	1	1
439	культуры и	1	1
440	собственного слова	1	1
441	и само	2	1
442	поэтому в	1	1
443	в исторических	1	1
444	не просто	1	1
445	языка в	6	1
446	с новыми	1	1
447	как у	1	1
448	без исключения	1	1
449	лежит на	2	1
450	с какой	1	1
451	этого сознания	1	1
452	живет и	1	1
453	слова а	1	1
454	же он	1	1
455	притом в	2	1
456	никак не	1	1
457	как по	1	1
458	не знающий	1	1
459	снова и	1	1
460	его не	4	1
461	и вся	1	1
462	в основном	4	1
463	лишь при	2	1
464	это не	5	1
465	к художественному	1	1
466	не предполагает	1	1
467	длинные и	1	1
468	к этому	1	1
469	не поддается	1	1
470	стороны и	3	1
471	роман или	1	1
472	и говорит	1	1
473	но эта	2	1
474	для наших	1	1
475	именно такой	1	1
476	в соединении	1	1
477	должен был	1	1
478	на протяжении	2	1
479	а во	1	1
480	высказывание как	1	1
481	корнями в	2	1
482	в движение	1	1
483	только на	1	1
484	себе во	1	1
485	или иной	5	1
486	для этой	1	1
487	в пределах	13	1
488	со словом	5	1
489	но именно	1	1
490	от его	1	1
491	единым и	1	1
492	ни к	2	1
493	и прямо	2	1
494	той или	5	1
495	совершенно иной	1	1
496	их но	1	1
497	слова ведь	1	1
498	и по	1	1
499	даже по	1	1
500	языка однако	1	1
501	в своем	6	1
502	и снова	1	1
503	в недрах	1	1
