N	3gram	Tiupa_Disk_1	Tvorches
1	там же с	1	9
2	то же время	4	7
3	в то же	3	7
4	в соответствии с	2	4
5	по отношению к	9	3
6	до сих пор	1	3
7	по сути дела	2	3
8	не может быть	3	3
9	никогда не было	1	2
10	в одной из	2	2
11	и не может	1	2
12	в таком случае	1	2
13	и в то	1	2
14	в отличие от	4	2
15	в наше время	2	2
16	по крайней мере	2	2
17	едва ли не	2	2
18	это прежде всего	3	2
19	в xix веке	1	2
20	во всяком случае	1	2
21	с другой стороны	3	2
22	так и в	1	2
23	о том что	5	2
24	в целом и	1	2
25	в том что	13	2
26	на ранних стадиях	1	2
27	то все же	1	1
28	том что в	2	1
29	нет и не	1	1
30	как уже говорилось	1	1
31	в которой он	1	1
32	потому что в	1	1
33	если можно так	1	1
34	дело в том	1	1
35	и потому что	1	1
36	в том числе	2	1
37	о том как	1	1
38	может и не	1	1
39	но и потому	1	1
40	сами по себе	2	1
41	по справедливому замечанию	2	1
42	людей своего времени	1	1
43	в первую очередь	1	1
44	может быть в	1	1
45	можно так выразиться	1	1
46	только потому что	1	1
47	но в таком	1	1
48	только то что	1	1
49	как будто бы	1	1
50	тем что он	1	1
51	не сводится к	2	1
52	но при этом	3	1
53	в известном смысле	1	1
54	а с другой	3	1
55	в свою очередь	3	1
56	той или иной	3	1
57	в связи с	1	1
58	не только потому	1	1
59	к тому же	4	1
60	в целом ряде	1	1
61	романа еще не	1	1
62	по себе не	2	1
63	того или иного	1	1
64	так например в	1	1
65	в нем нет	1	1
66	он направлен на	1	1
67	это и есть	1	1
68	с самого начала	1	1
69	но отнюдь не	2	1
70	в конечном счете	1	1
71	в частности в	2	1
72	том числе и	2	1
73	или во всяком	1	1
74	содержит в себе	1	1
75	лицо к которому	1	1
76	и прежде всего	1	1
77	и в том	1	1
78	что в них	1	1
79	как и в	1	1
80	и в другом	1	1
