N	4gram	Losev_Dial_1	Myshleni
1	одно и то же	4	6
2	к одному и тому	1	4
3	одному и тому же	1	4
4	одной и той же	1	4
5	с одной стороны и	2	2
6	по себе не имеет	1	1
7	уже по одному тому	1	1
8	друг с другом в	1	1
9	оно во всяком случае	1	1
10	не что иное как	1	1
11	в то время как	1	1
12	одна и та же	2	1
13	само по себе не	1	1
14	никогда не бывает в	1	1
15	мы можем сказать что	2	1
16	все больше и больше	1	1
17	заключается только в том	1	1
18	что одна и та	1	1
19	отделены друг от друга	1	1
20	по одному тому что	1	1
