N	3gram	Voloshinov_1	EvropaiE
1	с точки зрения	20	16
2	в то же	3	15
3	то же время	3	14
4	в отношении к	4	12
5	с одной стороны	1	8
6	в том что	3	6
7	с этой точки	1	5
8	так же как	2	5
9	этой точки зрения	1	5
10	для того чтобы	3	5
11	бы то ни	8	4
12	не только в	1	4
13	то ни было	8	4
14	само по себе	1	4
15	той или иной	1	4
16	в этом смысле	2	3
17	же как и	2	3
18	хотя бы и	1	3
19	в этом отношении	3	3
20	можно было бы	2	3
21	ту или иную	1	3
22	в применении к	1	3
23	друг с другом	1	3
24	во всяком случае	2	3
25	во всех случаях	1	3
26	как бы ни	1	3
27	и прежде всего	2	3
28	можно сказать что	3	3
29	или хотя бы	2	2
30	прежде всего в	1	2
31	между прочим и	1	2
32	рано или поздно	1	2
33	дело идет о	1	2
34	но в то	2	2
35	каких бы то	3	2
36	так и в	1	2
37	с другой стороны	5	2
38	не может быть	13	2
39	и все другие	1	2
40	в свою очередь	2	2
41	друг от друга	1	2
42	в большинстве случаев	3	2
43	как мы видели	1	2
44	в каком же	1	1
45	и того же	5	1
46	или иную эпоху	1	1
47	он сам и	1	1
48	в последнее время	1	1
49	же обстоит дело	1	1
50	мы отметим что	1	1
51	чуть ли не	1	1
52	хотя бы только	1	1
53	более или менее	1	1
54	большей или меньшей	1	1
55	и та и	1	1
56	если бы они	1	1
57	что же касается	1	1
58	и не было	1	1
59	в одной из	1	1
60	ставится вопрос о	1	1
61	в отличие от	5	1
62	но и в	1	1
63	и та же	1	1
64	с тем что	1	1
65	том числе и	2	1
66	но и эта	1	1
67	на этот вопрос	3	1
68	может быть и	3	1
69	бы ни была	1	1
70	существует только в	1	1
71	здесь говорить о	1	1
72	вопрос мы должны	1	1
73	и с точки	1	1
74	спросить действительно ли	1	1
75	и тот же	3	1
76	смысле этого слова	2	1
77	в значительной степени	1	1
78	все эти области	1	1
79	не могут быть	2	1
80	так и с	1	1
81	в большей или	1	1
82	в связи с	7	1
83	но в каком	1	1
84	в идеологическом смысле	1	1
85	одна и та	1	1
86	до настоящего времени	5	1
87	этот вопрос мы	3	1
88	не только наиболее	1	1
89	вместо того чтобы	1	1
90	один и тот	3	1
91	вовсе не в	1	1
92	связи с этим	3	1
93	это значит что	1	1
94	выходит за пределы	1	1
95	одного и того	5	1
96	он не дает	1	1
97	и ту же	1	1
98	та и другая	1	1
99	в том числе	2	1
100	к тому что	1	1
101	во многих отношениях	1	1
102	в ту или	1	1
103	одну и ту	1	1
104	и до настоящего	1	1
105	независимо от того	1	1
106	в пределах одного	2	1
