N	2gram	Bakhtin_Fr_1	BTomashe
1	у нас	1	3
2	лучше и	1	2
3	и не	22	2
4	все это	9	2
5	в ней	6	2
6	литературных произведений	1	2
7	видеть в	2	2
8	можно было	1	2
9	с западными	1	1
10	по теории	1	1
11	за пределы	8	1
12	не укладывается	2	1
13	и полнее	1	1
14	остановиться на	1	1
15	говорить о	1	1
16	об этом	1	1
17	и в	65	1
18	не вполне	2	1
19	выходит за	4	1
20	что все	1	1
21	с другой	3	1
22	в своей	5	1
23	своей книге	2	1
24	на самом	6	1
25	в трактовке	1	1
26	было бы	1	1
27	все же	6	1
28	всяком случае	1	1
29	а о	1	1
30	свести к	1	1
31	кроме того	2	1
32	такое определение	1	1
33	между ними	4	1
34	еще не	6	1
35	и на	11	1
36	в пределах	1	1
37	по нашему	1	1
38	стоит на	1	1
39	одной из	1	1
40	в значительной	6	1
41	прежде всего	11	1
42	и во	3	1
43	работа по	1	1
44	так и	10	1
45	не было	1	1
46	в книге	2	1
47	совершенно не	4	1
48	нашему мнению	1	1
49	далеко не	3	1
50	не о	1	1
51	до конца	2	1
52	а не	1	1
53	что в	3	1
54	в области	7	1
55	другой стороны	1	1
56	также не	1	1
57	и ее	1	1
58	и более	1	1
59	и потому	10	1
60	не только	10	1
61	значительной степени	2	1
62	и исторической	1	1
63	во всяком	1	1
64	в эпоху	9	1
