N	2gram	Losev_Prob_2	Literetu
1	не только	24	24
2	при этом	3	19
3	в качестве	2	17
4	но и	16	17
5	в том	12	16
6	а не	10	16
7	в частности	5	15
8	том что	19	14
9	может быть	18	13
10	и не	37	12
11	в этом	17	12
12	в своем	4	11
13	прежде всего	11	11
14	такого рода	15	10
15	то что	38	10
16	или иначе	6	9
17	в целом	3	8
18	так или	6	8
19	не в	2	8
20	и в	35	8
21	только в	14	8
22	как это	1	8
23	я не	1	7
24	как бы	4	7
25	в себе	5	7
26	не менее	13	7
27	в его	7	7
28	уже не	8	7
29	в рамках	1	6
30	то есть	39	6
31	как и	5	6
32	точки зрения	2	6
33	и сам	2	6
34	того что	12	6
35	связи с	5	6
36	одним из	1	5
37	то же	5	5
38	как в	1	5
39	в то	6	5
40	для себя	9	5
41	казалось бы	7	5
42	а также	2	5
43	же в	1	5
44	что он	4	5
45	уже в	3	5
46	не может	13	5
47	в данном	10	5
48	с его	1	5
49	тем самым	7	5
50	еще не	10	4
51	столь же	1	4
52	но не	4	4
53	в этой	9	4
54	все же	8	4
55	представляет собой	2	4
56	по преимуществу	2	4
57	в случае	3	4
58	перестает быть	3	4
59	в силу	1	4
60	с собой	1	4
61	лишь в	3	4
62	для этого	3	4
63	и его	1	4
64	данном случае	5	4
65	никогда не	1	4
66	так и	7	4
67	еще в	2	4
68	и тем	4	4
69	в конце	7	4
70	друг друга	1	4
71	как раз	8	4
72	в связи	5	4
73	со стороны	1	4
74	это не	1	4
75	в своих	3	4
76	в сфере	1	3
77	и есть	4	3
78	тем же	1	3
79	также и	12	3
80	самого себя	2	3
81	что его	1	3
82	в самом	5	3
83	бы не	3	3
84	с их	1	3
85	таким образом	4	3
86	той же	2	3
87	его в	3	3
88	далеко не	4	3
89	несмотря на	3	3
90	не мог	1	3
91	в их	3	3
92	но в	6	3
93	одна из	3	3
94	в основе	3	3
95	в области	6	3
96	свое собственное	1	3
97	в виду	8	3
98	в пределах	1	3
99	одного из	1	3
100	сводится к	2	3
101	по своей	1	3
102	один из	3	3
103	и прежде	2	3
104	потому что	13	3
105	и даже	11	3
106	с другой	6	3
107	еще и	5	3
108	и др	2	3
109	не было	3	3
110	мира в	1	3
111	да и	10	3
112	мыслится как	1	3
113	что в	11	3
