N	3gram	Bakhtin_Pr_1	RusskieA
1	в том что	6	18
2	в этом случае	1	6
3	в данном случае	2	6
4	для того чтобы	1	6
5	т е в	2	5
6	и т д	1	5
7	и в других	1	4
8	так же как	1	4
9	о том что	1	4
10	том что это	1	3
11	не может быть	4	3
12	подобно тому как	3	3
13	же как и	1	2
14	в своей книге	1	2
15	тому как в	1	2
16	может быть только	1	2
17	как можно больше	2	2
18	в то время	1	2
19	в другом месте	1	1
20	для него не	2	1
21	потому что он	1	1
22	с таким же	1	1
23	все в этой	1	1
24	в руках и	1	1
25	более или менее	1	1
26	в настоящее время	1	1
27	т е не	2	1
28	в последний день	1	1
29	может быть назван	1	1
30	между тем как	4	1
31	а так как	1	1
32	в этом отношении	3	1
33	таким образом в	1	1
34	то что в	1	1
35	но это не	2	1
36	можно было бы	2	1
37	если бы герой	1	1
38	не в духе	1	1
39	но и как	1	1
40	может быть и	1	1
41	во всяком случае	3	1
42	на первый взгляд	1	1
43	не входит в	3	1
44	и в этом	5	1
45	то время как	1	1
46	всяком случае не	1	1
47	не только как	1	1
48	дело в том	1	1
49	с другой стороны	3	1
50	все то что	3	1
51	и это не	3	1
52	духе а в	1	1
53	в духе а	1	1
54	в свою очередь	1	1
55	ни одна из	1	1
56	или же в	1	1
57	так как в	1	1
58	можно сказать что	1	1
59	и когда ее	1	1
60	как мы уже	1	1
61	как одна из	1	1
62	не все в	1	1
63	но не только	1	1
64	но и эта	1	1
65	это и есть	1	1
66	как мы видели	1	1
