N	3gram	Ircho_Kome_3	Russkaja
1	друг с другом	1	14
2	то же время	4	10
3	в то же	4	10
4	с точки зрения	3	9
5	в том что	9	7
6	во всяком случае	3	6
7	для того чтобы	6	6
8	до сих пор	9	5
9	более или менее	1	4
10	на то что	1	4
11	бы то ни	2	4
12	в этом случае	2	3
13	вместе с тем	3	3
14	и не может	1	3
15	в конце концов	2	3
16	в настоящее время	1	2
17	они принадлежат к	1	2
18	что он не	2	2
19	таким же образом	1	2
20	о том что	4	2
21	друг от друга	1	2
22	к тому что	1	2
23	для нас важно	1	1
24	принадлежат к одному	1	1
25	в силу этого	1	1
26	состоит в том	2	1
27	в свою очередь	6	1
28	по отношению к	3	1
29	в самом деле	6	1
30	в том числе	1	1
31	то же самое	3	1
32	в том же	1	1
33	нет ибо ни	1	1
34	по отношению ко	2	1
35	обезопасить себя от	1	1
36	в этом отношении	2	1
37	том числе и	1	1
38	за то что	1	1
39	приходится признать что	1	1
40	несмотря на то	1	1
41	по крайней мере	1	1
42	только для того	2	1
43	отнюдь не является	1	1
44	и в частности	1	1
45	к себе и	1	1
46	в том чтобы	1	1
47	то ни было	2	1
48	только один из	1	1
49	друг друга в	1	1
50	но при этом	1	1
51	и в этом	1	1
52	в связи с	3	1
53	как бы то	1	1
54	мы подходим к	1	1
55	к мысли что	1	1
56	об этом и	1	1
57	само собой разумеется	2	1
58	собой разумеется что	2	1
59	речь шла о	2	1
60	с самого начала	4	1
61	вопрос о том	1	1
62	речь идет о	3	1
63	но все же	2	1
64	если этот человек	1	1
65	тем не менее	3	1
66	к тому же	4	1
