N	3gram	Tiupa_Vved_1	NovoeSre
1	в высшей степени	2	6
2	не может быть	3	4
3	подобно тому как	2	3
4	никогда не было	1	2
5	в этом смысле	1	2
6	с одной стороны	5	2
7	с другой стороны	1	2
8	ни одна из	1	2
9	по своей природе	2	1
10	и того же	1	1
11	а не к	1	1
12	и в жизни	2	1
13	а не с	1	1
14	а не в	1	1
15	одного и того	1	1
16	в том числе	1	1
17	не было и	1	1
18	что он может	1	1
19	в зависимости от	1	1
20	сами по себе	1	1
21	в отличие от	2	1
22	но и в	2	1
23	том числе и	1	1
24	заключает в себе	1	1
25	можно было бы	2	1
26	может быть только	1	1
27	в том чтобы	2	1
28	не только в	2	1
29	как будто бы	3	1
30	по природе своей	1	1
31	не в том	1	1
32	то что он	1	1
33	в нем не	1	1
34	во всяком случае	1	1
35	не хотят знать	2	1
36	о том что	4	1
37	не в духе	1	1
38	они не хотят	1	1
39	в значительной степени	1	1
40	в последние годы	1	1
41	и мы не	1	1
42	в этой системе	1	1
43	несоизмеримо более высокой	1	1
44	нового времени и	1	1
45	в нее входит	1	1
46	в том что	3	1
47	как и в	2	1
