N	3gram	Propp_Isto_2	VLabPisa
1	и т д	18	15
2	с другой стороны	2	8
3	не может быть	2	8
4	по отношению к	3	7
5	по этому поводу	1	7
6	в зависимости от	1	5
7	в связи с	4	4
8	в том что	5	4
9	о том как	1	3
10	вместе с тем	5	3
11	мы видели что	1	3
12	это и есть	1	3
13	о том что	2	3
14	в другом месте	2	2
15	следует понимать как	1	2
16	подобно тому как	3	2
17	до сих пор	6	2
18	можно было бы	3	2
19	все это только	1	2
20	с одной стороны	3	2
21	ни один из	1	2
22	во всех этих	2	2
23	из них не	1	2
24	не только не	1	2
25	мы знаем что	10	2
26	и в другом	1	2
27	и может быть	2	1
28	бросается в глаза	1	1
29	и есть то	1	1
30	отметим еще что	1	1
31	другой стороны в	1	1
32	органической связи с	1	1
33	говорит об этом	1	1
34	иметь в виду	2	1
35	об этом говорит	2	1
36	как один из	1	1
37	состоял в том	1	1
38	том как он	1	1
39	главным образом в	1	1
40	человека а не	1	1
41	что мы имеем	1	1
42	же автор не	1	1
43	что он не	4	1
44	но и в	2	1
45	т д но	2	1
46	во время сна	1	1
47	думается что и	1	1
48	со всех сторон	4	1
49	хотя оно и	1	1
50	так или иначе	1	1
51	один из них	1	1
52	может быть даже	1	1
53	не только в	4	1
54	ни к какому	1	1
55	и то же	1	1
56	так же как	4	1
57	его в зависимости	1	1
58	мы видим что	5	1
59	но вместе с	1	1
60	со всем что	1	1
61	один из его	1	1
62	как-то связана с	1	1
63	и вместе с	2	1
64	по его мнению	1	1
65	после того как	2	1
66	один из видов	1	1
67	с этим и	1	1
68	его таким образом	1	1
69	дело не в	2	1
70	к тому же	2	1
71	не в этом	1	1
72	т е в	1	1
