N	2gram	Berdyaev_V_1	Narrotol
1	не только	2	31
2	но и	5	27
3	и не	20	23
4	может быть	1	15
5	как и	4	13
6	а не	7	13
7	а в	2	13
8	в этом	4	12
9	только в	2	12
10	и в	16	11
11	тогда как	1	10
12	то есть	1	9
13	то что	9	9
14	то же	1	8
15	в том	3	8
16	уже не	2	8
17	но в	3	7
18	том что	2	7
19	у него	1	7
20	в самом	1	6
21	не в	3	6
22	в этой	1	6
23	к тому	3	6
24	в его	4	6
25	как бы	5	6
26	один из	2	6
27	жизни и	3	6
28	и на	1	5
29	так и	4	5
30	в своей	3	5
31	потому что	4	5
32	на себя	5	4
33	еще не	8	4
34	истории в	1	4
35	с его	3	4
36	но не	2	4
37	как в	1	4
38	все же	1	4
39	хотя и	5	4
40	в нем	4	4
41	в мире	5	4
42	и тем	1	4
43	в одном	1	4
44	одна из	2	4
45	не по	1	4
46	того чтобы	2	4
47	никогда не	3	4
48	в сознании	1	4
49	что на	1	4
50	в ней	4	4
51	к нему	1	4
52	того что	5	4
53	для него	2	4
54	прежде всего	2	4
55	о чем	1	4
56	мира в	2	4
57	в третьем	1	4
58	речь идет	1	3
59	и то	2	3
60	мы не	2	3
61	но как	1	3
62	в своем	1	3
63	к чему	3	3
64	в целом	1	3
65	для того	1	3
66	и с	1	3
67	в глазах	1	3
68	это не	2	3
69	в жизни	3	3
70	не всегда	1	3
71	и ее	1	3
72	их в	3	3
73	у нас	1	3
74	когда в	2	3
75	лишь в	3	3
76	между тем	2	3
77	что он	4	3
78	не было	3	3
79	как это	1	3
80	не существует	1	3
81	и все	4	3
82	что в	3	3
83	и для	3	2
84	зависимости от	1	2
85	в чем	3	2
86	если в	1	2
87	в едином	1	2
88	в смысл	2	2
89	в известном	1	2
90	роль в	1	2
91	слово это	1	2
92	и вот	1	2
93	человека в	1	2
94	не будет	2	2
95	а его	1	2
96	я в	1	2
97	для них	2	2
98	все равно	2	2
99	жизни но	1	2
100	и тогда	2	2
101	в этих	3	2
102	из нас	1	2
103	она не	1	2
104	не имеет	3	2
105	ничего не	1	2
106	как она	1	2
107	к жизни	1	2
108	они и	2	2
109	оно не	3	2
110	как мы	1	2
111	значения и	2	2
112	другой стороны	1	2
113	с ним	2	2
