N	3gram	Berdyaev_N_1	Stilisti
1	в зависимости от	1	7
2	но и в	1	3
3	заключает в себе	1	3
4	не только в	1	3
5	равно как и	2	2
6	вместе с тем	2	2
7	эти слова в	1	2
8	и для того	1	2
9	только потому что	1	2
10	в значительной степени	1	2
11	не должно быть	1	2
12	не может быть	4	2
13	о том что	1	2
14	это связано с	1	1
15	и того же	1	1
16	нужно помнить что	1	1
17	должны помнить что	1	1
18	мы должны перейти	1	1
19	должно было быть	1	1
20	до сих пор	1	1
21	и во всех	1	1
22	в человеческом обществе	1	1
23	в нем ничего	1	1
24	можно было бы	1	1
25	в наши дни	3	1
26	и в жизни	1	1
27	в своем развитии	1	1
28	и в наши	1	1
29	в большинстве случаев	1	1
30	и не могут	1	1
31	на это не	1	1
32	со всех своих	1	1
33	всех своих сторон	1	1
34	и не может	1	1
35	вопрос о том	2	1
36	с другой стороны	2	1
37	одного и того	1	1
38	та или иная	1	1
39	не будет уже	1	1
40	в социальной жизни	1	1
41	в том что	1	1
42	как и в	1	1
