N	2gram	Nazirov_Tv_2	EvropaiE
1	и в	20	37
2	в пределах	1	25
3	что в	7	21
4	не только	13	18
5	в то	10	16
6	то же	7	15
7	отношении к	1	15
8	но в	4	14
9	же время	7	14
10	но и	8	14
11	и не	9	14
12	в этом	8	12
13	в их	3	11
14	в области	1	11
15	в том	8	11
16	так и	6	10
17	отнюдь не	4	9
18	в себе	3	9
19	только в	2	9
20	прежде всего	8	9
21	не может	7	9
22	так же	5	9
23	в ее	2	8
24	думать что	1	8
25	было бы	1	8
26	в своей	6	8
27	к тому	1	8
28	между тем	3	8
29	с одной	1	8
30	так как	3	7
31	с другой	2	7
32	как и	6	7
33	может быть	8	6
34	и на	5	6
35	во всех	1	6
36	стороны и	1	6
37	на то	1	6
38	то есть	5	6
39	том что	4	6
40	вовсе не	2	6
41	и даже	5	6
42	как бы	11	6
43	с этой	3	6
44	то что	3	6
45	же как	3	5
46	столь же	1	5
47	но не	5	5
48	не в	4	5
49	в россии	2	5
50	и по	2	5
51	к которым	1	5
52	но если	2	5
53	тем самым	4	5
54	как мы	1	5
55	одной из	3	5
56	в виде	2	5
57	со стороны	1	5
58	в частности	2	5
59	и потому	4	5
60	в течение	1	5
61	то в	1	4
62	мы не	4	4
63	на путях	1	4
64	в самом	3	4
65	во многих	2	4
66	того или	1	4
67	несмотря на	1	4
68	даже в	1	4
69	не имеет	1	4
70	в процессе	2	4
71	к ней	1	4
72	той или	1	4
73	по себе	1	4
74	именно в	6	4
75	на всем	1	4
76	для удовлетворения	1	4
77	или иной	1	4
78	как это	1	4
79	для нас	1	4
80	сказать что	1	4
81	или иного	1	4
82	в применении	1	3
83	в сфере	1	3
84	из всех	1	3
85	на себя	1	3
86	и со	1	3
87	как в	4	3
88	когда он	4	3
89	и к	1	3
90	себе не	1	3
91	представляет собой	1	3
92	в известном	1	3
93	не дает	1	3
94	и мы	3	3
95	в них	1	3
96	мы видели	1	3
97	во второй	1	3
98	в которых	3	3
99	дело в	1	3
100	никогда не	11	3
101	потому что	7	3
102	ли это	1	3
103	по нашему	4	3
104	во все	1	3
105	можно было	1	3
106	приближается к	1	3
107	о том	5	3
108	как было	1	3
109	место в	3	3
110	что и	1	3
111	и только	2	3
112	известном смысле	1	3
113	в стороне	2	3
114	всяком случае	2	3
115	этот факт	2	3
116	не из	1	3
117	из них	2	3
118	в известной	4	3
119	тем что	3	3
120	и прежде	1	3
121	в свою	1	3
122	связано с	1	3
123	применении к	1	3
124	не является	3	3
125	и для	1	3
126	и от	4	3
127	в результате	1	3
128	жизни в	3	3
129	как на	1	3
130	в таком	3	3
131	во всяком	2	3
132	и отчасти	3	2
133	по преимуществу	2	2
134	с в	1	2
135	что если	1	2
136	между собой	1	2
137	он сам	3	2
138	а тем	1	2
139	но как	1	2
140	точка зрения	2	2
141	в истории	2	2
142	с этим	1	2
143	хотя и	4	2
144	и как	1	2
145	можно в	1	2
146	что это	1	2
147	в этой	5	2
148	в случае	1	2
149	и если	2	2
150	главным образом	1	2
151	он не	3	2
152	и еще	2	2
153	в силу	1	2
154	таким образом	10	2
