N	2gram	Ircho_Kome_2	Russkaja
1	не может	3	22
2	и не	14	19
3	в том	11	17
4	в этом	10	17
5	и в	26	14
6	с другом	2	14
7	друг с	2	14
8	то что	6	13
9	самим собой	1	12
10	то же	3	11
11	точки зрения	4	11
12	таким образом	6	11
13	в то	6	10
14	же время	3	10
15	но и	10	10
16	в себе	1	9
17	не только	7	9
18	том что	9	9
19	с точки	1	9
20	может быть	11	9
21	во всяком	2	9
22	того чтобы	6	8
23	прежде всего	4	8
24	как на	1	8
25	самом деле	1	7
26	отнюдь не	2	7
27	и если	2	7
28	и с	5	7
29	к тому	12	7
30	о том	6	7
31	если в	2	6
32	в своем	6	6
33	и к	2	6
34	с тем	5	6
35	и при	1	6
36	признать что	2	6
37	если бы	9	6
38	все это	3	6
39	и для	4	6
40	для того	5	6
41	что он	5	6
42	всяком случае	2	6
43	для всех	3	6
44	для него	1	6
45	вопрос о	3	5
46	и на	7	5
47	между собой	1	5
48	во всех	3	5
49	в нем	6	5
50	он не	2	5
51	было бы	8	5
52	в своей	3	5
53	никогда не	1	5
54	потому что	6	5
55	между тем	4	5
56	только в	4	5
57	хотя бы	2	5
58	конечно не	1	5
59	в последние	4	5
60	или иной	1	5
61	до сих	2	5
62	из которых	3	5
63	по существу	1	5
64	сих пор	2	5
65	а в	3	5
66	жизни в	1	5
67	бы то	2	4
68	но не	3	4
69	себя в	3	4
70	все же	4	4
71	более или	1	4
72	не в	2	4
73	в этой	3	4
74	то ни	2	4
75	том случае	1	4
76	его в	4	4
77	как и	4	4
78	которой он	1	4
79	или менее	1	4
80	в их	3	4
81	к соединению	1	4
82	от того	2	4
83	приводит к	1	4
84	в мире	2	4
85	можно было	4	4
86	в его	4	4
87	так как	4	4
88	со стороны	2	4
89	вместе с	9	4
90	что же	1	4
91	как бы	2	4
92	отказаться от	1	4
93	жизни и	3	4
94	что в	9	4
95	все что	1	4
96	и т	2	3
97	сил и	1	3
98	и этот	1	3
99	говорить о	2	3
100	и ни	1	3
101	еще не	6	3
102	из этих	4	3
103	в самом	4	3
104	что это	4	3
105	ни одна	2	3
106	главным образом	1	3
107	в другом	1	3
108	о которых	1	3
109	несмотря на	1	3
110	но если	3	3
111	таким же	1	3
112	том чтобы	1	3
113	одна из	2	3
114	связи с	3	3
115	в сознании	1	3
116	то это	2	3
117	той или	1	3
118	приходит к	1	3
119	по восстановлению	1	3
120	надо признать	3	3
121	сводится к	1	3
122	но мы	1	3
123	и во	2	3
124	что и	7	3
125	одной из	4	3
126	в качестве	5	3
127	с нею	1	3
128	в большинстве	1	3
129	из них	7	3
130	в конце	2	3
131	друг друга	3	3
132	тем что	3	3
133	именно в	1	3
134	что для	4	3
135	не было	3	3
136	в положении	1	3
137	да и	3	3
138	или в	3	3
139	о котором	1	3
140	и как	1	3
141	из этого	2	3
142	случае если	1	3
143	речь идет	3	2
144	говоря о	1	2
145	и есть	2	2
146	видеть в	1	2
147	на себя	7	2
148	но даже	1	2
149	в ней	3	2
150	время в	1	2
151	там и	1	2
152	по отношению	3	2
153	не просто	1	2
154	друг от	1	2
155	всю эту	1	2
156	с этим	5	2
157	помнить что	1	2
158	целый ряд	2	2
159	но в	3	2
160	все эти	1	2
161	сами эти	1	2
162	европейской культуры	1	2
163	того или	1	2
164	в глазах	2	2
