N	2gram	Voloshinov_1	Tragedij
1	и в	3	18
2	не только	1	8
3	и на	1	7
4	может быть	1	7
5	и не	1	7
6	же время	1	6
7	то же	1	5
8	несмотря на	1	5
9	в то	1	5
10	не может	4	5
11	но и	1	4
12	и все	1	4
13	в его	1	3
14	один из	2	3
15	для него	1	3
16	к тому	1	2
17	русской литературы	1	2
18	событий и	1	1
19	в ней	1	1
20	в центре	2	1
21	он в	1	1
22	достоевского и	2	1
23	как искусство	1	1
24	тому что	1	1
25	не менее	1	1
26	впадает в	1	1
27	связи с	1	1
28	на нее	1	1
29	ситуации и	1	1
30	и должно	1	1
31	по делу	1	1
32	мы видим	1	1
33	второй части	1	1
34	в особенности	1	1
35	а не	1	1
36	не смог	1	1
37	не из	1	1
38	бы в	1	1
